metric,reference,candidate,n_pairs,mean_delta,std_delta,wins,ties,losses
oos_f1,frozen_k1,trainable_k1,3,0.09419488767360044,0.04141976670044206,3,0,0
f1_all,frozen_k1,trainable_k1,3,0.06702635956207818,0.020276410519370035,3,0,0
f1_k,frozen_k1,trainable_k1,3,0.016170123572574375,0.00574602267245348,3,0,0
accuracy,frozen_k1,trainable_k1,3,0.08566666666666667,0.031210308126215763,3,0,0
known_recall,frozen_k1,trainable_k1,3,0.0021111111111111005,0.005167562646325979,2,0,1
false_accept_rate,frozen_k1,trainable_k1,3,-0.154,0.05723635208501672,0,0,3
false_reject_rate,frozen_k1,trainable_k1,3,-0.00211111111111111,0.005167562646325993,1,0,2
auroc,frozen_k1,trainable_k1,3,0.035602814814814754,0.013317684520657931,3,0,0
aupr_oos,frozen_k1,trainable_k1,3,0.04092689466190861,0.019388955845215047,3,0,0
