seed,gate_variant,count,known_count,oos_count,gate_false_reject,gate_false_accept,gate_known_correct,gate_known_wrong,expert_known_correct,expert_known_wrong,cascade_false_reject,cascade_false_accept,cascade_known_correct,cascade_known_wrong,gate_oos_f1,cascade_oos_f1,gate_f1_all,cascade_f1_all,gate_accuracy,cascade_accuracy
13,frozen_k1,6000,3000,3000,494,1041,2318,188,2351,155,494,1041,2351,155,0.7185035760132037,0.7185035760132037,0.7751838252001846,0.7364440520375588,0.7128333333333333,0.7183333333333334
13,trainable_k1,6000,3000,3000,472,399,2497,31,2426,102,472,399,2426,102,0.8565782973818541,0.8565782973818541,0.8523954175911279,0.8267851500986011,0.8496666666666667,0.8378333333333333
42,frozen_k1,6000,3000,3000,486,579,2208,306,2334,180,486,579,2334,180,0.8197054342305738,0.8197054342305738,0.7765962760577415,0.7761678614560599,0.7715,0.7925
42,trainable_k1,6000,3000,3000,495,279,2468,37,2382,123,495,279,2382,123,0.8754826254826255,0.8754826254826255,0.8576590966593717,0.8296794207218308,0.8648333333333333,0.8505
87,frozen_k1,6000,3000,3000,486,769,2417,97,2403,111,486,769,2403,111,0.7804792723456359,0.7804792723456359,0.8061479473885722,0.7838308118243532,0.7746666666666666,0.7723333333333333
87,trainable_k1,6000,3000,3000,480,325,2486,34,2436,84,480,325,2436,84,0.8692120227457352,0.8692120227457352,0.8595641369722073,0.8410572331837746,0.8601666666666666,0.8518333333333333
