dataset,metric,mean_delta_pp,std_delta_pp,n_pairs
banking77,accuracy,7.240259740259739,0.9482520692539075,3
banking77,f1_all,3.6764386398449402,0.35528373037778754,3
banking77,f1_k,-8.349421504151856,0.6417755101983276,3
banking77,false_accept_rate,-19.8931623931624,3.154949081000153,3
banking77,false_reject_rate,7.127192982456138,0.7931202333344334,3
banking77,known_recall,-7.127192982456144,0.7931202333344435,3
banking77,oos_f1,9.794399866375196,1.7161646538734978,3
clinc150,accuracy,-0.5964912280701765,0.46017112451242137,3
clinc150,f1_all,-4.142223412837542,1.2490453388438894,3
clinc150,f1_k,-11.994182458411666,1.597497019403944,3
clinc150,false_accept_rate,-9.371980676328505,0.2251435787001139,3
clinc150,false_reject_rate,16.28148148148148,1.0651223388455509,3
clinc150,known_recall,-16.28148148148148,1.0651223388455564,3
clinc150,oos_f1,0.3531696365452919,0.14094645662135033,3
stackoverflow,accuracy,0.8666666666666675,0.8212456663169938,3
stackoverflow,f1_all,1.0338851797814093,0.45951488885921116,3
stackoverflow,f1_k,-2.164621599936959,0.6682980291824201,3
stackoverflow,false_accept_rate,0.6555555555555544,1.7821127702606028,3
stackoverflow,false_reject_rate,-2.9000000000000017,1.4310058622443738,3
stackoverflow,known_recall,2.8999999999999986,1.4310058622443724,3
stackoverflow,oos_f1,0.845912338009506,0.8663953612805959,3
