dataset,representation,relative_separation,effective_rank,purity_at_10,same_intent_alignment,k2_minus_k1_near_oos_f1_pp,k2_minus_k1_false_accept_pp,near_collision_rate,near_false_accept_rate,near_boundary_overcoverage_rate,dataset_label,representation_label
banking77,ce,0.9141350853977572,27.312016417361534,0.9024719841618557,0.8362146758039751,8.018319875887128,4.5021645021645,0.945861143535562,0.6645749430086105,0.011595482525715,Banking77,CE
banking77,frozen,0.5473852680041046,70.99042100562009,0.8676844069187643,0.5465827472923434,25.06144199680627,-1.8290043290043283,0.9750867684115436,0.9270488018668012,0.0131618567647664,Banking77,Frozen
banking77,supcon,0.7772437470519241,40.15220102354394,0.8903985078697806,0.7420429636755119,23.21961712991474,3.4415584415584384,0.9844716726825644,0.8084797727765833,0.0059999999999999,Banking77,SupCon
clinc150,ce,0.9693718916121226,63.06994474636235,0.9683999999999999,0.9394773429400799,0.30162468391264907,-0.4410256410256312,0.7150040354214583,0.2075079568545993,0.0064102564102564,CLINC150,CE
clinc150,frozen,0.6611720383281986,149.76737223022835,0.9034,0.5219629477641772,2.8049970690436496,-2.0820512820512858,0.6819643087535127,0.361081373650407,0.012683381007675,CLINC150,Frozen
clinc150,supcon,0.8318106993599038,86.56043299957959,0.9596888888888889,0.7106155198134024,0.8004592583748361,-0.8205128205128309,0.7087217456977936,0.2666363392411295,0.0054701407994821,CLINC150,SupCon
stackoverflow,ce,0.9483638294999829,12.341983803933358,0.9276553106212425,0.8968260914476781,-10.692318768739225,24.310645948209757,0.9924242424242424,0.3713047974610353,0.0,StackOverflow,CE
stackoverflow,frozen,0.4245644645712796,148.00977909443554,0.8305277221108884,0.23807270483366016,-9.802238103935599,11.538019330863591,0.8880936475068489,0.5499348262620806,0.0274586939417781,StackOverflow,Frozen
stackoverflow,supcon,0.9088589585580156,15.554317173891647,0.9238810955243822,0.8969477935262389,-32.269471750282264,33.34758728906318,0.9831658417079144,0.2728883005075219,0.0,StackOverflow,SupCon
