dataset,kir,seed,method,method_label,ball_id,depth,majority_label,parent_id,purity,radius,sample_count,selected,split_reason,stop_reason,test_known_false_reject_count,test_oos_assignment_count,test_oos_false_accept_count,test_assignment_count,test_known_assignment_count,test_oos_assignment_count_calc,test_known_correct_count,test_known_wrong_known_count,test_known_false_reject_count_calc,test_oos_false_accept_count_calc,scoring_radius,score_median,zero_test_assignment,tiny_support_lt_20,oos_assignment_per_train,known_assignment_per_train,oos_accept_rate_within_assignment,known_reject_rate_within_assignment,false_accept_share_cell,known_false_reject_share_cell,oos_assignment_share_cell,support_quartile
clinc150,0.5,13,mogb_minilm,MOGB-Fair,31,1,international_fees,0,1.0,0.6576390740696799,97,True,,purity_reached,20,34,0,64,30,34,10,0,20,0,0.6576390740696799,1.2845555592280562,False,False,0.3505154639175257,0.3092783505154639,0.0,0.6666666666666666,0.0,0.0130039011703511,0.0098550724637681,Q4-large
clinc150,0.5,13,mogb_minilm,MOGB-Fair,42,1,plug_type,0,1.0,0.7126880544488207,98,True,,purity_reached,14,11,0,41,30,11,16,0,14,0,0.7126880544488207,1.0625725303376234,False,False,0.1122448979591836,0.3061224489795918,0.0,0.4666666666666667,0.0,0.0091027308192457,0.0031884057971014,Q4-large
clinc150,0.5,13,mogb_minilm,MOGB-Fair,59,1,spelling,0,1.0,0.8165387417414417,63,True,,purity_reached,19,199,0,229,30,199,11,0,19,0,0.8165387417414417,1.284116678023511,False,False,3.1587301587301586,0.4761904761904761,0.0,0.6333333333333333,0.0,0.0123537061118335,0.0576811594202898,Q3
clinc150,0.5,13,mogb_minilm,MOGB-Fair,76,2,application_status,1,1.0,0.5465696998545396,26,True,,purity_reached,4,11,0,18,7,11,3,0,4,0,0.5465696998545396,1.7414493682936918,False,False,0.4230769230769231,0.2692307692307692,0.0,0.5714285714285714,0.0,0.0026007802340702,0.0031884057971014,Q2
clinc150,0.5,13,mogb_minilm,MOGB-Fair,88,2,bill_due,3,1.0,0.6541328274897581,44,True,,purity_reached,14,85,0,106,21,85,7,0,14,0,0.6541328274897581,1.3497662985979093,False,False,1.9318181818181817,0.4772727272727273,0.0,0.6666666666666666,0.0,0.0091027308192457,0.0246376811594202,Q3
clinc150,0.5,13,mogb_minilm,MOGB-Fair,94,2,redeem_rewards,3,1.0,0.5102950607184789,10,True,,purity_reached,1,2,0,4,2,2,1,0,1,0,0.5102950607184789,1.3959701598485226,False,True,0.2,0.2,0.0,0.5,0.0,0.0006501950585175,0.0005797101449275,Q1-small
clinc150,0.5,13,mogb_minilm,MOGB-Fair,96,2,book_flight,4,1.0,0.6787855476733833,62,True,,purity_reached,16,56,0,76,20,56,4,0,16,0,0.6787855476733833,1.383685301678844,False,False,0.9032258064516128,0.3225806451612903,0.0,0.8,0.0,0.0104031209362808,0.016231884057971,Q3
clinc150,0.5,13,mogb_minilm,MOGB-Fair,104,2,calendar,5,1.0,0.6122741398405533,35,True,,purity_reached,11,27,0,38,11,27,0,0,11,0,0.6122741398405533,1.4241623133408243,False,False,0.7714285714285715,0.3142857142857143,0.0,1.0,0.0,0.0071521456436931,0.0078260869565217,Q2
clinc150,0.5,13,mogb_minilm,MOGB-Fair,124,2,repeat,7,1.0,0.6034103318784889,16,True,,purity_reached,4,0,0,7,7,0,3,0,4,0,0.6034103318784889,1.0065291178747218,False,True,0.0,0.4375,0.0,0.5714285714285714,0.0,0.0026007802340702,0.0,Q1-small
clinc150,0.5,13,mogb_minilm,MOGB-Fair,125,2,car_rental,8,1.0,0.6775694567056679,78,True,,purity_reached,21,52,0,80,28,52,7,0,21,0,0.6775694567056679,1.3680825431654462,False,False,0.6666666666666666,0.358974358974359,0.0,0.75,0.0,0.0136540962288686,0.0150724637681159,Q4-large
clinc150,0.5,13,mogb_minilm,MOGB-Fair,132,2,card_declined,9,1.0,0.5303105419811798,78,True,,purity_reached,17,0,0,23,23,0,6,0,17,0,0.5303105419811798,1.1728610972142346,False,False,0.0,0.2948717948717949,0.0,0.7391304347826086,0.0,0.0110533159947984,0.0,Q4-large
clinc150,0.5,13,mogb_minilm,MOGB-Fair,134,2,change_accent,10,1.0,0.5380090788811033,48,True,,purity_reached,6,7,0,15,8,7,2,0,6,0,0.5380090788811033,1.2866266900542418,False,False,0.1458333333333333,0.1666666666666666,0.0,0.75,0.0,0.0039011703511053,0.0020289855072463,Q3
clinc150,0.5,13,mogb_minilm,MOGB-Fair,154,2,change_speed,12,1.0,0.6652357067260641,38,True,,purity_reached,3,15,0,22,7,15,4,0,3,0,0.6652357067260641,1.354451032779544,False,False,0.3947368421052631,0.1842105263157894,0.0,0.4285714285714285,0.0,0.0019505851755526,0.0043478260869565,Q3
