dataset,baseline_method,gold_type,transition,count,score_delta_mean,score_delta_median,rate_within_dataset_gold_type
banking77,S2C-Frozen-K1,Known,baseline_only_correct,366,0.09518201680828665,0.09352632734425037,0.04815789473684211
banking77,S2C-Frozen-K1,Known,both_correct,5700,0.000709592556085026,0.00018624409951362164,0.75
banking77,S2C-Frozen-K1,Known,both_wrong,1152,0.052748112572413776,0.04970109137677198,0.15157894736842106
banking77,S2C-Frozen-K1,Known,s2c_only_correct,382,-0.06426452609834567,-0.06350109879708005,0.05026315789473684
banking77,S2C-Frozen-K1,OOS,baseline_only_correct,87,-0.07771509836131014,-0.05245638020109,0.011153846153846153
banking77,S2C-Frozen-K1,OOS,both_correct,4995,0.1048070987532676,0.10686390639283982,0.6403846153846153
banking77,S2C-Frozen-K1,OOS,both_wrong,1141,0.04611703984407936,0.0419458141062371,0.1462820512820513
banking77,S2C-Frozen-K1,OOS,s2c_only_correct,1577,0.14466694957848436,0.13844635259184934,0.20217948717948717
clinc150,S2C-Frozen-K1,Known,baseline_only_correct,728,0.09753059265412273,0.08501591285875632,0.06471111111111111
clinc150,S2C-Frozen-K1,Known,both_correct,7858,-0.019969679683062166,-0.018120036453311394,0.6984888888888889
clinc150,S2C-Frozen-K1,Known,both_wrong,2243,0.06382818202285263,0.05548259315170023,0.19937777777777776
clinc150,S2C-Frozen-K1,Known,s2c_only_correct,421,-0.07278670547511668,-0.0670493164233612,0.037422222222222225
clinc150,S2C-Frozen-K1,OOS,baseline_only_correct,23,-0.10583569823899192,-0.05470261362241935,0.0013333333333333333
clinc150,S2C-Frozen-K1,OOS,both_correct,15706,0.14785434685323443,0.14913760430759404,0.9104927536231884
clinc150,S2C-Frozen-K1,OOS,both_wrong,614,0.03214821306943195,0.027714652874383516,0.035594202898550725
clinc150,S2C-Frozen-K1,OOS,s2c_only_correct,907,0.13825644582746555,0.13027616052979574,0.05257971014492754
stackoverflow,S2C-Frozen-K1,Known,baseline_only_correct,486,0.09784712405888904,0.08592508675379251,0.0324
stackoverflow,S2C-Frozen-K1,Known,both_correct,11943,-0.14014104728116109,-0.13968265760820808,0.7962
stackoverflow,S2C-Frozen-K1,Known,both_wrong,2069,0.1406080025450216,0.13092392946020692,0.13793333333333332
stackoverflow,S2C-Frozen-K1,Known,s2c_only_correct,502,-0.15346284677308694,-0.13867869208382122,0.033466666666666665
stackoverflow,S2C-Frozen-K1,OOS,baseline_only_correct,299,-0.06911682969811493,-0.05851737014993508,0.019933333333333334
stackoverflow,S2C-Frozen-K1,OOS,both_correct,10245,0.1933182333772087,0.18479769418350922,0.683
stackoverflow,S2C-Frozen-K1,OOS,both_wrong,1102,-0.057111823210717706,-0.04205474727214592,0.07346666666666667
stackoverflow,S2C-Frozen-K1,OOS,s2c_only_correct,3354,0.18074700723806145,0.1666075879394588,0.2236
banking77,MOGB-MiniLM,Known,baseline_only_correct,17,0.11644750220541411,0.10032890162150288,0.0022368421052631577
banking77,MOGB-MiniLM,Known,both_correct,2511,-0.16027526165444758,-0.1662908822350765,0.33039473684210524
banking77,MOGB-MiniLM,Known,both_wrong,1501,-0.45805743855759873,-0.4181599215110583,0.1975
banking77,MOGB-MiniLM,Known,s2c_only_correct,3571,-0.4426872139905576,-0.38924913950480455,0.4698684210526316
banking77,MOGB-MiniLM,OOS,baseline_only_correct,1144,-0.469927216938993,-0.4110811142580593,0.14666666666666667
banking77,MOGB-MiniLM,OOS,both_correct,6571,-0.4695151655158685,-0.4301543394588798,0.8424358974358974
banking77,MOGB-MiniLM,OOS,both_wrong,84,-0.1477795447109488,-0.15589866828883808,0.010769230769230769
banking77,MOGB-MiniLM,OOS,s2c_only_correct,1,0.18092140850595495,0.18092140850595495,0.0001282051282051282
clinc150,MOGB-MiniLM,Known,baseline_only_correct,29,0.08395335599889783,0.06073238208217502,0.002577777777777778
clinc150,MOGB-MiniLM,Known,both_correct,3505,-0.14893693247805623,-0.1510964468506284,0.31155555555555553
clinc150,MOGB-MiniLM,Known,both_wrong,2942,-0.2131076364143825,-0.1796447728238182,0.26151111111111114
clinc150,MOGB-MiniLM,Known,s2c_only_correct,4774,-0.28343006771431045,-0.2507270993572501,0.42435555555555554
clinc150,MOGB-MiniLM,OOS,baseline_only_correct,492,-0.2508650889295032,-0.21212887505325057,0.028521739130434782
clinc150,MOGB-MiniLM,OOS,both_correct,16602,-0.15854001560032122,-0.12653618275470135,0.9624347826086956
clinc150,MOGB-MiniLM,OOS,both_wrong,145,-0.0765991902657644,-0.06593985275023573,0.008405797101449276
clinc150,MOGB-MiniLM,OOS,s2c_only_correct,11,0.052901765821956534,0.040607999348452495,0.0006376811594202899
stackoverflow,MOGB-MiniLM,Known,baseline_only_correct,7,0.03101974041419694,0.04548149121956779,0.00046666666666666666
stackoverflow,MOGB-MiniLM,Known,both_correct,4029,-0.262634117619144,-0.2676515468304437,0.2686
stackoverflow,MOGB-MiniLM,Known,both_wrong,2548,-0.11136856327287369,-0.1164782909572889,0.16986666666666667
stackoverflow,MOGB-MiniLM,Known,s2c_only_correct,8416,-0.34247797400378516,-0.32889438778523966,0.5610666666666667
stackoverflow,MOGB-MiniLM,OOS,baseline_only_correct,1285,-0.24975675208874956,-0.24054036500717968,0.08566666666666667
stackoverflow,MOGB-MiniLM,OOS,both_correct,13596,-0.06942450735409986,-0.07797501431499332,0.9064
stackoverflow,MOGB-MiniLM,OOS,both_wrong,116,-0.2187202470262719,-0.22577428045312703,0.007733333333333333
stackoverflow,MOGB-MiniLM,OOS,s2c_only_correct,3,0.17049158929686267,0.22197783161606532,0.0002
