dataset,true_label,MOGB-MiniLM__known_correct,MOGB-MiniLM__known_rejected,MOGB-MiniLM__known_wrong_intent,S2C-Frozen-K1__known_correct,S2C-Frozen-K1__known_rejected,S2C-Frozen-K1__known_wrong_intent,S2C-Trainable-K1__known_correct,S2C-Trainable-K1__known_rejected,S2C-Trainable-K1__known_wrong_intent,n_samples,mogb_minus_s2c_reject_gap_pp,mogb_minus_s2c_correct_gap_pp
banking77,extra_charge_on_statement,0.1875,0.8125,0.0,0.7125,0.275,0.0125,0.7375,0.25,0.0125,240,56.25,55.00000000000001
banking77,failed_transfer,0.475,0.525,0.0,0.875,0.075,0.05,0.85,0.15,0.0,120,37.5,37.5
banking77,fiat_currency_support,0.3125,0.6875,0.0,0.8,0.175,0.025,0.8,0.1875,0.0125,480,50.0,48.75000000000001
banking77,get_disposable_virtual_card,0.425,0.5666666666666667,0.008333333333333333,0.7583333333333333,0.16666666666666666,0.075,0.7833333333333333,0.20833333333333334,0.008333333333333333,360,35.83333333333333,35.833333333333336
banking77,get_physical_card,0.3125,0.6875,0.0,0.85,0.15,0.0,0.85,0.15,0.0,240,53.75,53.75
banking77,getting_spare_card,0.275,0.725,0.0,0.775,0.2125,0.0125,0.8,0.2,0.0,240,52.49999999999999,52.5
banking77,getting_virtual_card,0.375,0.625,0.0,0.8625,0.1,0.0375,0.8375,0.1625,0.0,240,46.25,46.25
banking77,lost_or_stolen_card,0.2,0.8,0.0,0.85,0.1125,0.0375,0.75,0.225,0.025,240,57.50000000000001,55.00000000000001
banking77,lost_or_stolen_phone,0.25,0.75,0.0,0.725,0.25,0.025,0.7,0.2833333333333333,0.016666666666666666,360,46.666666666666664,44.99999999999999
banking77,order_physical_card,0.18333333333333332,0.8166666666666667,0.0,0.925,0.041666666666666664,0.03333333333333333,0.9083333333333333,0.06666666666666667,0.025,360,75.0,72.5
banking77,passcode_forgotten,0.5583333333333333,0.44166666666666665,0.0,0.875,0.125,0.0,0.8833333333333333,0.11666666666666667,0.0,360,32.49999999999999,32.49999999999999
banking77,pending_card_payment,0.3125,0.6875,0.0,0.6875,0.2625,0.05,0.7125,0.2625,0.025,240,42.5,40.0
banking77,pending_cash_withdrawal,0.33125,0.66875,0.0,0.68125,0.225,0.09375,0.73125,0.24375,0.025,480,42.49999999999999,40.0
banking77,pending_transfer,0.2125,0.78125,0.00625,0.71875,0.09375,0.1875,0.69375,0.125,0.18125,480,65.625,48.12499999999999
banking77,pin_blocked,0.275,0.725,0.0,0.7125,0.225,0.0625,0.6875,0.275,0.0375,240,44.99999999999999,41.25
banking77,receiving_money,0.2916666666666667,0.7083333333333334,0.0,0.8083333333333333,0.14166666666666666,0.05,0.825,0.175,0.0,360,53.33333333333334,53.33333333333332
banking77,reverted_card_payment?,0.31666666666666665,0.6833333333333333,0.0,0.7833333333333333,0.15833333333333333,0.058333333333333334,0.825,0.16666666666666666,0.008333333333333333,360,51.66666666666667,50.83333333333333
banking77,supported_cards_and_currencies,0.025,0.975,0.0,0.675,0.15,0.175,0.825,0.175,0.0,120,80.0,80.0
banking77,terminate_account,0.45,0.55,0.0,0.85,0.15,0.0,0.825,0.175,0.0,240,37.50000000000001,37.49999999999999
banking77,top_up_by_bank_transfer_charge,0.225,0.775,0.0,0.85,0.125,0.025,0.775,0.1875,0.0375,240,58.75,55.00000000000001
banking77,top_up_by_card_charge,0.25,0.75,0.0,0.8875,0.075,0.0375,0.9,0.0875,0.0125,240,66.25,65.0
banking77,top_up_by_cash_or_cheque,0.275,0.725,0.0,0.8125,0.1,0.0875,0.8,0.15,0.05,240,57.49999999999999,52.5
banking77,top_up_failed,0.425,0.575,0.0,0.85,0.125,0.025,0.85,0.15,0.0,120,42.49999999999999,42.5
banking77,top_up_limits,0.575,0.425,0.0,0.925,0.075,0.0,0.85,0.15,0.0,120,27.500000000000004,27.500000000000004
banking77,top_up_reverted,0.35,0.65,0.0,0.875,0.1125,0.0125,0.825,0.175,0.0,240,47.5,47.5
banking77,topping_up_by_card,0.11875,0.88125,0.0,0.6,0.2375,0.1625,0.73125,0.25625,0.0125,480,62.5,61.24999999999999
banking77,transaction_charged_twice,0.25,0.75,0.0,0.8375,0.125,0.0375,0.875,0.125,0.0,240,62.5,62.5
banking77,transfer_fee_charged,0.33125,0.66875,0.0,0.83125,0.13125,0.0375,0.85,0.11875,0.03125,480,54.99999999999999,51.87500000000001
banking77,transfer_into_account,0.39166666666666666,0.6083333333333333,0.0,0.75,0.16666666666666666,0.08333333333333333,0.7166666666666667,0.24166666666666667,0.041666666666666664,360,36.66666666666666,32.5
banking77,transfer_not_received_by_recipient,0.05,0.95,0.0,0.8,0.175,0.025,0.775,0.225,0.0,120,72.5,72.5
banking77,transfer_timing,0.2375,0.7625,0.0,0.8125,0.1375,0.05,0.75,0.25,0.0,240,51.24999999999999,51.24999999999999
banking77,unable_to_verify_identity,0.35,0.65,0.0,0.7,0.25,0.05,0.7666666666666667,0.21666666666666667,0.016666666666666666,360,43.333333333333336,41.66666666666667
banking77,verify_my_identity,0.44375,0.55,0.00625,0.85,0.1,0.05,0.775,0.13125,0.09375,480,41.87500000000001,33.12500000000001
banking77,verify_source_of_funds,0.475,0.525,0.0,0.95,0.05,0.0,0.95625,0.04375,0.0,480,48.125,48.12500000000001
banking77,verify_top_up,0.5625,0.4375,0.0,0.925,0.075,0.0,0.95,0.05,0.0,240,38.75,38.74999999999999
banking77,virtual_card_not_working,0.35,0.6416666666666667,0.008333333333333333,0.75,0.18333333333333332,0.06666666666666667,0.6833333333333333,0.3,0.016666666666666666,360,34.16666666666667,33.333333333333336
banking77,visa_or_mastercard,0.4875,0.5125,0.0,0.775,0.175,0.05,0.7625,0.23125,0.00625,480,28.124999999999993,27.499999999999996
banking77,why_verify_identity,0.425,0.5666666666666667,0.008333333333333333,0.875,0.025,0.1,0.925,0.05,0.025,360,51.66666666666666,50.0
banking77,wrong_amount_of_cash_received,0.4,0.5875,0.0125,0.7375,0.2,0.0625,0.8,0.1875,0.0125,240,40.0,40.0
banking77,wrong_exchange_rate_for_cash_withdrawal,0.24,0.76,0.0,0.665,0.16,0.175,0.715,0.215,0.07,600,54.50000000000001,47.5
clinc150,accept_reservations,0.5,0.5,0.0,0.8333333333333334,0.16666666666666666,0.0,0.7555555555555555,0.24444444444444444,0.0,270,25.555555555555554,25.555555555555554
clinc150,account_blocked,0.2833333333333333,0.7166666666666667,0.0,0.6333333333333333,0.26666666666666666,0.1,0.5333333333333333,0.4666666666666667,0.0,180,25.0,25.0
clinc150,alarm,0.36666666666666664,0.6333333333333333,0.0,0.9,0.1,0.0,0.8666666666666667,0.1,0.03333333333333333,90,53.333333333333336,50.0
clinc150,application_status,0.6,0.4,0.0,0.8666666666666667,0.13333333333333333,0.0,0.9166666666666666,0.08333333333333333,0.0,180,31.66666666666667,31.666666666666664
clinc150,apr,0.36666666666666664,0.6333333333333333,0.0,0.7,0.3,0.0,0.7111111111111111,0.28888888888888886,0.0,270,34.44444444444444,34.44444444444445
clinc150,are_you_a_bot,0.2,0.8,0.0,0.7,0.3,0.0,0.7666666666666667,0.23333333333333334,0.0,180,56.666666666666664,56.666666666666664
clinc150,balance,0.36666666666666664,0.6333333333333333,0.0,0.7666666666666667,0.23333333333333334,0.0,0.7333333333333333,0.26666666666666666,0.0,90,36.666666666666664,36.666666666666664
clinc150,bill_balance,0.1,0.9,0.0,0.6333333333333333,0.36666666666666664,0.0,0.43333333333333335,0.5666666666666667,0.0,90,33.333333333333336,33.333333333333336
