dataset,method,gold_type,score_bin,sample_count,failure_rate,class_mass_rate,method_label
banking77,S2C-Frozen-K2,OOS,0.4–0.6,7,1.0,0.0008974358974358974,Frozen K=2
banking77,S2C-Frozen-K2,OOS,0.6–0.8,206,1.0,0.02641025641025641,Frozen K=2
banking77,S2C-Frozen-K2,OOS,0.8–1.0,2053,1.0,0.2632051282051282,Frozen K=2
banking77,S2C-Frozen-K2,OOS,1.0–1.2,3424,0.0,0.438974358974359,Frozen K=2
banking77,S2C-Frozen-K2,OOS,1.2–1.4,1592,0.0,0.2041025641025641,Frozen K=2
banking77,S2C-Frozen-K2,OOS,1.4–1.6,432,0.0,0.055384615384615386,Frozen K=2
banking77,S2C-Frozen-K2,OOS,1.6–2.0,79,0.0,0.010128205128205128,Frozen K=2
banking77,S2C-Frozen-K2,OOS,>=2.0,7,0.0,0.0008974358974358974,Frozen K=2
banking77,S2C-Trainable-K1,Known,0.4–0.6,502,0.0,0.06605263157894736,S2C Trainable K=1
banking77,S2C-Trainable-K1,Known,0.6–0.8,2829,0.0,0.37223684210526314,S2C Trainable K=1
banking77,S2C-Trainable-K1,Known,0.8–1.0,2917,0.0,0.3838157894736842,S2C Trainable K=1
banking77,S2C-Trainable-K1,Known,1.0–1.2,1056,1.0,0.13894736842105262,S2C Trainable K=1
banking77,S2C-Trainable-K1,Known,1.2–1.4,276,1.0,0.03631578947368421,S2C Trainable K=1
banking77,S2C-Trainable-K1,Known,1.4–1.6,20,1.0,0.002631578947368421,S2C Trainable K=1
banking77,S2C-Trainable-K1,OOS,0.4–0.6,3,1.0,0.0003846153846153846,S2C Trainable K=1
banking77,S2C-Trainable-K1,OOS,0.6–0.8,149,1.0,0.019102564102564102,S2C Trainable K=1
banking77,S2C-Trainable-K1,OOS,0.8–1.0,1076,1.0,0.13794871794871794,S2C Trainable K=1
banking77,S2C-Trainable-K1,OOS,1.0–1.2,3418,0.0,0.4382051282051282,S2C Trainable K=1
banking77,S2C-Trainable-K1,OOS,1.2–1.4,2500,0.0,0.32051282051282054,S2C Trainable K=1
banking77,S2C-Trainable-K1,OOS,1.4–1.6,639,0.0,0.08192307692307692,S2C Trainable K=1
banking77,S2C-Trainable-K1,OOS,1.6–2.0,15,0.0,0.0019230769230769232,S2C Trainable K=1
banking77,S2C-partition-MOGB-boundary,Known,0.4–0.6,43,0.0,0.005657894736842106,S2C partition + MOGB boundary
banking77,S2C-partition-MOGB-boundary,Known,0.6–0.8,1049,0.0,0.1380263157894737,S2C partition + MOGB boundary
banking77,S2C-partition-MOGB-boundary,Known,0.8–1.0,2955,0.0,0.3888157894736842,S2C partition + MOGB boundary
banking77,S2C-partition-MOGB-boundary,Known,1.0–1.2,2212,1.0,0.2910526315789474,S2C partition + MOGB boundary
banking77,S2C-partition-MOGB-boundary,Known,1.2–1.4,968,1.0,0.12736842105263158,S2C partition + MOGB boundary
banking77,S2C-partition-MOGB-boundary,Known,1.4–1.6,265,1.0,0.034868421052631576,S2C partition + MOGB boundary
banking77,S2C-partition-MOGB-boundary,Known,1.6–2.0,97,1.0,0.012763157894736843,S2C partition + MOGB boundary
banking77,S2C-partition-MOGB-boundary,Known,>=2.0,11,1.0,0.0014473684210526317,S2C partition + MOGB boundary
banking77,S2C-partition-MOGB-boundary,OOS,0.6–0.8,17,1.0,0.0021794871794871794,S2C partition + MOGB boundary
banking77,S2C-partition-MOGB-boundary,OOS,0.8–1.0,392,1.0,0.050256410256410255,S2C partition + MOGB boundary
banking77,S2C-partition-MOGB-boundary,OOS,1.0–1.2,2225,0.0,0.28525641025641024,S2C partition + MOGB boundary
banking77,S2C-partition-MOGB-boundary,OOS,1.2–1.4,2602,0.0,0.3335897435897436,S2C partition + MOGB boundary
banking77,S2C-partition-MOGB-boundary,OOS,1.4–1.6,1538,0.0,0.1971794871794872,S2C partition + MOGB boundary
banking77,S2C-partition-MOGB-boundary,OOS,1.6–2.0,929,0.0,0.1191025641025641,S2C partition + MOGB boundary
banking77,S2C-partition-MOGB-boundary,OOS,>=2.0,97,0.0,0.012435897435897436,S2C partition + MOGB boundary
clinc150,MOGB-MiniLM,Known,0.4–0.6,9,0.0,0.0008,MOGB-MiniLM
clinc150,MOGB-MiniLM,Known,0.6–0.8,644,0.0,0.057244444444444445,MOGB-MiniLM
clinc150,MOGB-MiniLM,Known,0.8–1.0,2899,0.0,0.2576888888888889,MOGB-MiniLM
clinc150,MOGB-MiniLM,Known,1.0–1.2,4251,1.0,0.3778666666666667,MOGB-MiniLM
clinc150,MOGB-MiniLM,Known,1.2–1.4,2277,1.0,0.2024,MOGB-MiniLM
clinc150,MOGB-MiniLM,Known,1.4–1.6,805,1.0,0.07155555555555555,MOGB-MiniLM
clinc150,MOGB-MiniLM,Known,1.6–2.0,327,1.0,0.029066666666666668,MOGB-MiniLM
clinc150,MOGB-MiniLM,Known,>=2.0,38,1.0,0.0033777777777777777,MOGB-MiniLM
clinc150,MOGB-MiniLM,OOS,0.6–0.8,3,1.0,0.00017391304347826088,MOGB-MiniLM
clinc150,MOGB-MiniLM,OOS,0.8–1.0,153,1.0,0.008869565217391304,MOGB-MiniLM
clinc150,MOGB-MiniLM,OOS,1.0–1.2,1193,0.0,0.06915942028985507,MOGB-MiniLM
clinc150,MOGB-MiniLM,OOS,1.2–1.4,6113,0.0,0.3543768115942029,MOGB-MiniLM
clinc150,MOGB-MiniLM,OOS,1.4–1.6,6208,0.0,0.35988405797101447,MOGB-MiniLM
clinc150,MOGB-MiniLM,OOS,1.6–2.0,3171,0.0,0.18382608695652175,MOGB-MiniLM
clinc150,MOGB-MiniLM,OOS,>=2.0,409,0.0,0.02371014492753623,MOGB-MiniLM
clinc150,MOGB-partition-S2C-boundary,Known,0.4–0.6,255,0.0,0.02266666666666667,MOGB partition + S2C boundary
clinc150,MOGB-partition-S2C-boundary,Known,0.6–0.8,1780,0.0,0.1582222222222222,MOGB partition + S2C boundary
clinc150,MOGB-partition-S2C-boundary,Known,0.8–1.0,3966,0.0,0.3525333333333333,MOGB partition + S2C boundary
clinc150,MOGB-partition-S2C-boundary,Known,1.0–1.2,3573,1.0,0.3176,MOGB partition + S2C boundary
clinc150,MOGB-partition-S2C-boundary,Known,1.2–1.4,1662,1.0,0.14773333333333333,MOGB partition + S2C boundary
clinc150,MOGB-partition-S2C-boundary,Known,1.4–1.6,14,1.0,0.0012444444444444445,MOGB partition + S2C boundary
clinc150,MOGB-partition-S2C-boundary,OOS,0.6–0.8,25,1.0,0.0014492753623188406,MOGB partition + S2C boundary
clinc150,MOGB-partition-S2C-boundary,OOS,0.8–1.0,406,1.0,0.02353623188405797,MOGB partition + S2C boundary
clinc150,MOGB-partition-S2C-boundary,OOS,1.0–1.2,2900,0.0,0.1681159420289855,MOGB partition + S2C boundary
clinc150,MOGB-partition-S2C-boundary,OOS,1.2–1.4,13350,0.0,0.7739130434782608,MOGB partition + S2C boundary
clinc150,MOGB-partition-S2C-boundary,OOS,1.4–1.6,569,0.0,0.03298550724637681,MOGB partition + S2C boundary
clinc150,S2C-Frozen-K1,Known,0.4–0.6,307,0.0,0.02728888888888889,Frozen K=1
clinc150,S2C-Frozen-K1,Known,0.6–0.8,2472,0.0,0.21973333333333334,Frozen K=1
clinc150,S2C-Frozen-K1,Known,0.8–1.0,6081,0.0,0.5405333333333333,Frozen K=1
clinc150,S2C-Frozen-K1,Known,1.0–1.2,2238,1.0,0.19893333333333332,Frozen K=1
clinc150,S2C-Frozen-K1,Known,1.2–1.4,146,1.0,0.012977777777777777,Frozen K=1
clinc150,S2C-Frozen-K1,Known,1.4–1.6,6,1.0,0.0005333333333333334,Frozen K=1
clinc150,S2C-Frozen-K1,OOS,0.6–0.8,83,1.0,0.004811594202898551,Frozen K=1
clinc150,S2C-Frozen-K1,OOS,0.8–1.0,1438,1.0,0.08336231884057971,Frozen K=1
clinc150,S2C-Frozen-K1,OOS,1.0–1.2,10095,0.0,0.5852173913043478,Frozen K=1
clinc150,S2C-Frozen-K1,OOS,1.2–1.4,5132,0.0,0.2975072463768116,Frozen K=1
clinc150,S2C-Frozen-K1,OOS,1.4–1.6,455,0.0,0.0263768115942029,Frozen K=1
clinc150,S2C-Frozen-K1,OOS,1.6–2.0,47,0.0,0.0027246376811594203,Frozen K=1
