dataset,seed,intent,train_count,two_mode_inertia_ratio,frozen_known_correct_rate,trainable_known_correct_rate,mogb_known_correct_rate,trainable_minus_mogb_known_gap_pp
clinc150,42,accept_reservations,100,1.051470637024839,0.8333333333333334,0.8,0.6,20.000000000000007
clinc150,42,apr,100,1.1274248447608937,0.6,0.7,0.36666666666666664,33.33333333333333
clinc150,42,book_flight,100,1.0871149578505825,0.6,0.6666666666666666,0.13333333333333333,53.333333333333336
clinc150,42,book_hotel,100,1.1356645772389786,0.6333333333333333,0.7666666666666667,0.16666666666666666,60.00000000000001
clinc150,42,calculator,100,1.0743966792258803,0.8333333333333334,0.8333333333333334,0.03333333333333333,80.0
clinc150,42,calendar,100,1.0937299312583526,0.6666666666666666,0.6333333333333333,0.4,23.33333333333333
clinc150,42,cancel,100,1.1040469267479942,0.8666666666666667,0.8,0.16666666666666666,63.33333333333334
clinc150,42,cancel_reservation,100,1.1148136220450886,0.9333333333333333,1.0,0.5,50.0
clinc150,42,card_declined,100,1.170979770153998,0.5333333333333333,0.5666666666666667,0.23333333333333334,33.33333333333333
clinc150,42,carry_on,100,1.2020036255416304,0.7,0.7666666666666667,0.43333333333333335,33.333333333333336
clinc150,42,change_language,100,1.1686598449696481,0.5666666666666667,0.8,0.1,70.0
clinc150,42,change_speed,100,1.144327743893313,0.8666666666666667,0.8333333333333334,0.3,53.33333333333334
clinc150,42,change_user_name,100,1.073161540816689,0.7,0.7,0.03333333333333333,66.66666666666666
clinc150,42,change_volume,100,1.2243615409438762,0.5666666666666667,0.6,0.16666666666666666,43.333333333333336
clinc150,42,confirm_reservation,100,1.1294652434997376,0.4666666666666667,0.6333333333333333,0.16666666666666666,46.666666666666664
clinc150,42,cook_time,100,1.0615651157558295,0.8333333333333334,0.8666666666666667,0.3,56.666666666666664
clinc150,42,credit_limit,100,1.2029786127971018,0.6,0.5666666666666667,0.13333333333333333,43.333333333333336
clinc150,42,credit_limit_change,100,1.1868872937051247,0.8666666666666667,0.8333333333333334,0.5333333333333333,30.000000000000004
clinc150,42,credit_score,100,1.2346266957285084,0.7,0.7,0.36666666666666664,33.33333333333333
clinc150,42,current_location,100,1.1705543041718574,0.7666666666666667,0.8333333333333334,0.5666666666666667,26.66666666666667
clinc150,42,damaged_card,100,1.1293886672664901,0.6666666666666666,0.7333333333333333,0.36666666666666664,36.666666666666664
clinc150,42,date,100,1.140966759043831,0.9,0.9,0.3333333333333333,56.666666666666664
clinc150,42,directions,100,1.1770024881450818,0.5,0.5666666666666667,0.03333333333333333,53.333333333333336
clinc150,42,exchange_rate,100,1.128558044416087,0.6666666666666666,0.7333333333333333,0.2,53.33333333333332
clinc150,42,expiration_date,100,1.1067540657868549,0.7666666666666667,0.8,0.5,30.000000000000004
clinc150,42,flight_status,100,1.2410459732098271,0.7,0.6333333333333333,0.2,43.33333333333333
clinc150,42,food_last,100,1.1216944043303192,0.7666666666666667,0.7333333333333333,0.03333333333333333,70.0
clinc150,42,freeze_account,100,1.2234667938585302,0.7666666666666667,0.8666666666666667,0.6666666666666666,20.000000000000007
clinc150,42,gas,100,1.161362076324308,0.7,0.6666666666666666,0.36666666666666664,30.0
clinc150,42,how_busy,100,1.1187408973633979,0.6,0.6333333333333333,0.13333333333333333,50.0
clinc150,42,ingredient_substitution,100,1.1151942879812875,0.6,0.7,0.13333333333333333,56.666666666666664
clinc150,42,ingredients_list,100,1.0885396438563384,0.6333333333333333,0.6666666666666666,0.06666666666666667,60.0
clinc150,42,international_fees,100,1.1505688042161333,0.6,0.7666666666666667,0.3333333333333333,43.33333333333334
clinc150,42,jump_start,100,1.564884607031424,0.8333333333333334,0.8333333333333334,0.8,3.3333333333333326
clinc150,42,lost_luggage,100,1.1602552850767445,0.9666666666666667,0.9333333333333333,0.7666666666666667,16.666666666666664
clinc150,42,make_call,100,1.0493532637858938,0.7333333333333333,0.7333333333333333,0.3333333333333333,40.0
clinc150,42,maybe,100,1.1603891718443313,0.8666666666666667,0.8333333333333334,0.06666666666666667,76.66666666666667
clinc150,42,meal_suggestion,100,1.1539796066960355,0.5666666666666667,0.5333333333333333,0.23333333333333334,30.0
clinc150,42,meaning_of_life,100,1.1842026621290913,0.8333333333333334,0.8333333333333334,0.5666666666666667,26.66666666666667
clinc150,42,measurement_conversion,100,1.2337109309975274,0.8666666666666667,0.8666666666666667,0.3333333333333333,53.33333333333334
clinc150,42,new_card,100,1.2720166695509043,0.6333333333333333,0.6333333333333333,0.3333333333333333,30.0
clinc150,42,next_song,100,1.1381459499690039,0.4666666666666667,0.6666666666666666,0.2,46.666666666666664
clinc150,42,no,100,1.1338990908935218,0.9333333333333333,0.9,0.26666666666666666,63.33333333333333
clinc150,42,oil_change_how,100,1.149795499280613,0.9,0.8333333333333334,0.7,13.333333333333341
clinc150,42,order_checks,100,1.3062539362914178,0.9,0.8666666666666667,0.36666666666666664,50.0
clinc150,42,order_status,100,1.2567045057235946,0.6666666666666666,0.7333333333333333,0.36666666666666664,36.666666666666664
clinc150,42,pin_change,100,1.1247502011511372,0.6333333333333333,0.5666666666666667,0.36666666666666664,20.0
clinc150,42,play_music,100,1.0880796275887266,0.5666666666666667,0.5333333333333333,0.1,43.333333333333336
clinc150,42,reminder,100,1.280362632286617,0.4666666666666667,0.6666666666666666,0.26666666666666666,40.0
clinc150,42,reminder_update,100,1.1039477212516509,0.8,0.7666666666666667,0.03333333333333333,73.33333333333334
clinc150,42,repeat,100,1.1034727923143701,0.7333333333333333,0.7333333333333333,0.3,43.33333333333333
clinc150,42,replacement_card_duration,100,1.1901517638720815,0.7,0.6666666666666666,0.23333333333333334,43.33333333333333
clinc150,42,restaurant_reservation,100,1.186551501922395,0.6,0.6666666666666666,0.0,66.66666666666666
clinc150,42,rewards_balance,100,1.1553662757414263,0.8,0.8,0.4666666666666667,33.333333333333336
clinc150,42,roll_dice,100,1.1672219402956918,0.6,0.7666666666666667,0.36666666666666664,40.00000000000001
clinc150,42,schedule_maintenance,100,1.3303427599654007,0.6333333333333333,0.5333333333333333,0.1,43.333333333333336
clinc150,42,schedule_meeting,100,1.2143230745081801,0.9333333333333333,0.7666666666666667,0.3,46.66666666666667
clinc150,42,share_location,100,1.1141857427770983,0.8,0.8666666666666667,0.13333333333333333,73.33333333333334
clinc150,42,smart_home,100,1.1741547902802196,0.6,0.6666666666666666,0.06666666666666667,60.0
clinc150,42,taxes,100,1.2121886099357697,0.9,0.9,0.5,40.0
clinc150,42,tell_joke,100,1.1108842232655878,0.6666666666666666,0.7,0.3333333333333333,36.666666666666664
clinc150,42,timer,100,1.1178937993330946,0.9,0.7666666666666667,0.6666666666666666,10.000000000000009
clinc150,42,timezone,100,1.0853258386288904,0.6333333333333333,0.7,0.4,29.999999999999993
clinc150,42,todo_list_update,100,1.092351674049364,0.7666666666666667,0.7,0.4,29.999999999999993
