dataset,seed,method,center_count,mean_radius,median_radius,min_radius,max_radius,boundary_distance,boundary_rule
clinc150,13,frozen_k1,75,22.287102887709633,22.16644277065075,21.09571201437238,24.6528965959537,mahalanobis_diag,mean_std
clinc150,13,trainable_k1,75,22.878703652374252,22.760333708750956,21.698412801421277,24.707741266523296,mahalanobis_diag,mean_std
clinc150,13,mogb_minilm,126,0.598824121768322,0.6018453814676435,0.39311811706609634,0.8165387417414417,euclidean,mean
clinc150,42,frozen_k1,75,22.183608854958152,21.99981477514607,20.627813982113658,24.35309456388414,mahalanobis_diag,mean_std
clinc150,42,trainable_k1,75,22.607248259346967,22.35744171990285,21.36729500630024,24.680251472849104,mahalanobis_diag,mean_std
clinc150,42,mogb_minilm,129,0.5992815982523712,0.616469504821882,0.3090888907903494,0.7988867104960645,euclidean,mean
clinc150,87,frozen_k1,75,22.29057371814749,22.25013431897433,20.627813982113658,24.35309456388414,mahalanobis_diag,mean_std
clinc150,87,trainable_k1,75,22.790230071675456,22.70913587650304,21.13666691928887,24.663750475793524,mahalanobis_diag,mean_std
clinc150,87,mogb_minilm,138,0.591002222163784,0.5985844099993576,0.3171675369088828,0.8053919454540035,euclidean,mean
banking77,13,frozen_k1,38,22.74977444854692,22.667661345938612,21.323579928891412,24.09732904268357,mahalanobis_diag,mean_std
banking77,13,trainable_k1,38,22.9606588523391,22.937251808260143,21.7736907291913,24.24145786444186,mahalanobis_diag,mean_std
banking77,13,mogb_minilm,102,0.4565912814163675,0.4637174668537522,0.23412466457283135,0.6585942565891238,euclidean,mean
banking77,42,frozen_k1,38,22.843408768331923,22.839463339530333,21.46434727154521,23.95467224072983,mahalanobis_diag,mean_std
banking77,42,trainable_k1,38,22.943615622147817,23.00757721352695,21.772516302312937,24.242926563960136,mahalanobis_diag,mean_std
banking77,42,mogb_minilm,94,0.46399671189085784,0.4690853507962466,0.2670717420621912,0.6788726617340256,euclidean,mean
banking77,87,frozen_k1,38,23.008124767567292,23.01826203317343,21.873680812719932,24.162828639128193,mahalanobis_diag,mean_std
banking77,87,trainable_k1,38,23.195142874809882,23.19258068719443,21.71596157220595,24.450343946529348,mahalanobis_diag,mean_std
banking77,87,mogb_minilm,87,0.4710502936394793,0.4659292285528152,0.27894912647507875,0.6588457473565935,euclidean,mean
stackoverflow,13,frozen_k1,10,21.36926280772387,21.43141474516478,20.02411955583332,22.366547809656208,mahalanobis_diag,mean_std
stackoverflow,13,trainable_k1,10,23.806007405216025,23.661910858915775,22.867404655008535,24.66794074891229,mahalanobis_diag,mean_std
stackoverflow,13,mogb_minilm,74,0.75205797559671,0.7491749622435817,0.557727174779609,0.8788442935372281,euclidean,mean
stackoverflow,42,frozen_k1,10,21.295466155634298,21.192415716765368,20.02411955583332,22.366547809656208,mahalanobis_diag,mean_std
stackoverflow,42,trainable_k1,10,23.489902752822452,23.45503884442347,22.82337658022098,24.296601647029032,mahalanobis_diag,mean_std
stackoverflow,42,mogb_minilm,78,0.749033434327474,0.7575533001722745,0.5230781846786625,0.8430645346281355,euclidean,mean
stackoverflow,87,frozen_k1,10,21.33457916861361,21.15293376874055,20.188033670903287,22.366547809656208,mahalanobis_diag,mean_std
stackoverflow,87,trainable_k1,10,23.84726963494536,23.85440629856996,22.944397177842948,24.628936925421478,mahalanobis_diag,mean_std
stackoverflow,87,mogb_minilm,74,0.7602761384119129,0.7615674087739837,0.5510647235163156,0.8705245351143992,euclidean,mean
