dataset,seed,gold_type,baseline,s2c_state,baseline_state,count,rate_within_gold_type
clinc150,13,Known,frozen_k1,Known correct,Known correct,1535,0.6822222222222222
clinc150,13,Known,frozen_k1,Known rejected,Known rejected,425,0.18888888888888888
clinc150,13,Known,frozen_k1,Known rejected,Known correct,124,0.05511111111111111
clinc150,13,Known,frozen_k1,Known correct,Known rejected,103,0.04577777777777778
clinc150,13,Known,frozen_k1,Known correct,Known wrong intent,30,0.013333333333333334
clinc150,13,Known,frozen_k1,Known rejected,Known wrong intent,24,0.010666666666666666
clinc150,13,Known,frozen_k1,Known wrong intent,Known wrong intent,8,0.0035555555555555557
clinc150,13,Known,frozen_k1,Known wrong intent,Known correct,1,0.00044444444444444447
clinc150,13,OOS,frozen_k1,OOS rejected,OOS rejected,3225,0.9347826086956522
clinc150,13,OOS,frozen_k1,OOS rejected,OOS accepted,114,0.03304347826086956
clinc150,13,OOS,frozen_k1,OOS accepted,OOS accepted,95,0.02753623188405797
clinc150,13,OOS,frozen_k1,OOS accepted,OOS rejected,16,0.00463768115942029
clinc150,13,Known,k2,Known correct,Known correct,1499,0.6662222222222223
clinc150,13,Known,k2,Known rejected,Known rejected,370,0.16444444444444445
clinc150,13,Known,k2,Known rejected,Known correct,186,0.08266666666666667
clinc150,13,Known,k2,Known correct,Known rejected,158,0.07022222222222223
clinc150,13,Known,k2,Known rejected,Known wrong intent,17,0.007555555555555556
clinc150,13,Known,k2,Known correct,Known wrong intent,11,0.004888888888888889
clinc150,13,Known,k2,Known wrong intent,Known wrong intent,5,0.0022222222222222222
clinc150,13,Known,k2,Known wrong intent,Known rejected,3,0.0013333333333333333
clinc150,13,Known,k2,Known wrong intent,Known correct,1,0.00044444444444444447
clinc150,13,OOS,k2,OOS rejected,OOS rejected,3187,0.923768115942029
clinc150,13,OOS,k2,OOS rejected,OOS accepted,152,0.044057971014492756
clinc150,13,OOS,k2,OOS accepted,OOS accepted,83,0.024057971014492755
clinc150,13,OOS,k2,OOS accepted,OOS rejected,28,0.008115942028985508
clinc150,13,Known,mogb,Known correct,Known rejected,966,0.42933333333333334
clinc150,13,Known,mogb,Known correct,Known correct,697,0.30977777777777776
clinc150,13,Known,mogb,Known rejected,Known rejected,564,0.25066666666666665
clinc150,13,Known,mogb,Known rejected,Known correct,9,0.004
clinc150,13,Known,mogb,Known wrong intent,Known rejected,8,0.0035555555555555557
clinc150,13,Known,mogb,Known correct,Known wrong intent,5,0.0022222222222222222
clinc150,13,Known,mogb,Known wrong intent,Known wrong intent,1,0.00044444444444444447
clinc150,13,OOS,mogb,OOS rejected,OOS rejected,3337,0.9672463768115942
clinc150,13,OOS,mogb,OOS accepted,OOS rejected,77,0.022318840579710144
clinc150,13,OOS,mogb,OOS accepted,OOS accepted,34,0.009855072463768115
clinc150,13,OOS,mogb,OOS rejected,OOS accepted,2,0.0005797101449275362
clinc150,13,Known,msp,Known correct,Known correct,1668,0.7413333333333333
clinc150,13,Known,msp,Known rejected,Known correct,478,0.21244444444444444
clinc150,13,Known,msp,Known rejected,Known rejected,87,0.03866666666666667
clinc150,13,Known,msp,Known rejected,Known wrong intent,8,0.0035555555555555557
clinc150,13,Known,msp,Known wrong intent,Known wrong intent,7,0.003111111111111111
clinc150,13,Known,msp,Known wrong intent,Known correct,2,0.0008888888888888889
clinc150,13,OOS,msp,OOS rejected,OOS rejected,2683,0.7776811594202898
clinc150,13,OOS,msp,OOS rejected,OOS accepted,656,0.19014492753623188
clinc150,13,OOS,msp,OOS accepted,OOS accepted,111,0.03217391304347826
clinc150,13,Known,energy,Known correct,Known correct,1667,0.7408888888888889
clinc150,13,Known,energy,Known rejected,Known correct,470,0.2088888888888889
clinc150,13,Known,energy,Known rejected,Known rejected,90,0.04
clinc150,13,Known,energy,Known rejected,Known wrong intent,13,0.0057777777777777775
clinc150,13,Known,energy,Known wrong intent,Known wrong intent,7,0.003111111111111111
clinc150,13,Known,energy,Known wrong intent,Known correct,2,0.0008888888888888889
clinc150,13,Known,energy,Known correct,Known rejected,1,0.00044444444444444447
clinc150,13,OOS,energy,OOS rejected,OOS rejected,2766,0.8017391304347826
clinc150,13,OOS,energy,OOS rejected,OOS accepted,573,0.16608695652173913
clinc150,13,OOS,energy,OOS accepted,OOS accepted,108,0.03130434782608696
clinc150,13,OOS,energy,OOS accepted,OOS rejected,3,0.0008695652173913044
clinc150,13,Known,knn,Known correct,Known correct,1653,0.7346666666666667
clinc150,13,Known,knn,Known rejected,Known correct,446,0.19822222222222222
clinc150,13,Known,knn,Known rejected,Known rejected,104,0.04622222222222222
clinc150,13,Known,knn,Known rejected,Known wrong intent,23,0.010222222222222223
clinc150,13,Known,knn,Known correct,Known rejected,9,0.004
clinc150,13,Known,knn,Known correct,Known wrong intent,6,0.0026666666666666666
clinc150,13,Known,knn,Known wrong intent,Known wrong intent,5,0.0022222222222222222
clinc150,13,Known,knn,Known wrong intent,Known correct,4,0.0017777777777777779
clinc150,13,OOS,knn,OOS rejected,OOS rejected,2695,0.7811594202898551
clinc150,13,OOS,knn,OOS rejected,OOS accepted,644,0.18666666666666668
clinc150,13,OOS,knn,OOS accepted,OOS accepted,111,0.03217391304347826
clinc150,13,Known,lof,Known correct,Known correct,1648,0.7324444444444445
clinc150,13,Known,lof,Known rejected,Known correct,475,0.2111111111111111
clinc150,13,Known,lof,Known rejected,Known rejected,68,0.030222222222222223
clinc150,13,Known,lof,Known rejected,Known wrong intent,30,0.013333333333333334
clinc150,13,Known,lof,Known correct,Known rejected,15,0.006666666666666667
clinc150,13,Known,lof,Known correct,Known wrong intent,5,0.0022222222222222222
clinc150,13,Known,lof,Known wrong intent,Known wrong intent,5,0.0022222222222222222
clinc150,13,Known,lof,Known wrong intent,Known correct,3,0.0013333333333333333
clinc150,13,Known,lof,Known wrong intent,Known rejected,1,0.00044444444444444447
clinc150,13,OOS,lof,OOS rejected,OOS rejected,2142,0.6208695652173913
clinc150,13,OOS,lof,OOS rejected,OOS accepted,1197,0.34695652173913044
clinc150,13,OOS,lof,OOS accepted,OOS accepted,110,0.03188405797101449
clinc150,13,OOS,lof,OOS accepted,OOS rejected,1,0.0002898550724637681
clinc150,42,Known,frozen_k1,Known correct,Known correct,1504,0.6684444444444444
clinc150,42,Known,frozen_k1,Known rejected,Known rejected,490,0.21777777777777776
clinc150,42,Known,frozen_k1,Known correct,Known rejected,114,0.050666666666666665
clinc150,42,Known,frozen_k1,Known rejected,Known correct,88,0.03911111111111111
clinc150,42,Known,frozen_k1,Known correct,Known wrong intent,24,0.010666666666666666
clinc150,42,Known,frozen_k1,Known wrong intent,Known wrong intent,14,0.006222222222222222
clinc150,42,Known,frozen_k1,Known rejected,Known wrong intent,9,0.004
clinc150,42,Known,frozen_k1,Known wrong intent,Known correct,5,0.0022222222222222222
clinc150,42,Known,frozen_k1,Known wrong intent,Known rejected,2,0.0008888888888888889
clinc150,42,OOS,frozen_k1,OOS rejected,OOS rejected,3197,0.9266666666666666
clinc150,42,OOS,frozen_k1,OOS accepted,OOS accepted,150,0.043478260869565216
clinc150,42,OOS,frozen_k1,OOS rejected,OOS accepted,87,0.025217391304347827
clinc150,42,OOS,frozen_k1,OOS accepted,OOS rejected,16,0.00463768115942029
clinc150,42,Known,k2,Known correct,Known correct,1464,0.6506666666666666
