dataset,seed,gold_type,count,frozen_knn_majority_share_mean,trainable_knn_majority_share_mean,frozen_knn_same_intent_share_mean,trainable_knn_same_intent_share_mean,frozen_score_mean,trainable_score_mean,frozen_correct_rate,trainable_correct_rate
clinc150,13,Known,2250,0.927511111111111,0.978311111111111,0.9053777777777777,0.9689777777777777,0.8970050475387888,0.8845770738826394,0.7377777777777778,0.7413333333333333
clinc150,13,OOS,3450,0.6519420289855073,0.758463768115942,,,1.1409327277743329,1.3524909662780544,0.9394202898550724,0.9678260869565217
clinc150,42,Known,2250,0.9135111111111112,0.9706666666666667,0.8891555555555555,0.9550666666666667,0.9079636724715711,0.8996291951671954,0.7097777777777777,0.7297777777777777
clinc150,42,OOS,3450,0.634927536231884,0.7082608695652174,,,1.1542568964121331,1.2681559989760987,0.931304347826087,0.9518840579710145
clinc150,87,Known,2250,0.912,0.9730666666666665,0.8895555555555555,0.9569777777777777,0.8921600955298711,0.8877827345199811,0.7417777777777778,0.7373333333333333
clinc150,87,OOS,3450,0.6210434782608697,0.6997971014492754,,,1.1475448954967429,1.2919034908129212,0.9350724637681159,0.9718840579710145
banking77,13,Known,1520,0.9365789473684212,0.9579605263157894,0.9119736842105264,0.9359868421052632,0.8426516101337139,0.8447846696021584,0.8019736842105263,0.7980263157894737
banking77,13,OOS,1560,0.6760256410256411,0.7381410256410257,,,1.0839291707996943,1.182752776496724,0.7243589743589743,0.8641025641025641
banking77,42,Known,1520,0.9351315789473685,0.9560526315789473,0.9139473684210526,0.9355263157894737,0.8421887450426203,0.8467007438203481,0.7907894736842105,0.7934210526315789
banking77,42,OOS,1560,0.6775000000000001,0.7391666666666666,,,1.0934728380572298,1.1611730954908472,0.7724358974358975,0.8538461538461538
banking77,87,Known,1520,0.9347368421052631,0.9586184210526315,0.9107894736842106,0.9361184210526317,0.8361729736405358,0.8387073916905,0.7940789473684211,0.8006578947368421
banking77,87,OOS,1560,0.7155769230769232,0.7674358974358976,,,1.1017652503611923,1.191527396440866,0.7993589743589744,0.8782051282051282
stackoverflow,13,Known,3000,0.8916999999999999,0.9657,0.8647999999999999,0.9369333333333334,0.9036781458887838,0.793130857691581,0.7726666666666666,0.8323333333333334
stackoverflow,13,OOS,3000,0.6013666666666667,0.7956333333333334,,,1.00880474268541,1.1525824600283754,0.653,0.867
stackoverflow,42,Known,3000,0.8814,0.9587333333333333,0.8489333333333334,0.9272333333333332,0.9068471854234109,0.80931108172586,0.736,0.8226666666666667
stackoverflow,42,OOS,3000,0.5612666666666667,0.746,,,1.0215800865602518,1.19781242185448,0.807,0.907
stackoverflow,87,Known,3000,0.8930666666666668,0.962,0.8686333333333334,0.9337,0.9061404296003309,0.795559688664536,0.8056666666666666,0.8286666666666667
stackoverflow,87,OOS,3000,0.6276333333333334,0.8204333333333333,,,1.0226075731187387,1.2055114858981808,0.7436666666666667,0.8916666666666667
