dataset,seed,ball_id,support,purity,depth,radius,test_assigned_count,test_known_count,test_oos_count,known_reject_rate,oos_false_accept_rate,known_correct_rate
clinc150,13,31,97,1.0,1,0.6576390740696799,64,30,34,0.6666666666666666,0.0,0.3333333333333333
clinc150,13,42,98,1.0,1,0.7126880544488207,41,30,11,0.4666666666666667,0.0,0.5333333333333333
clinc150,13,59,63,1.0,1,0.8165387417414417,229,30,199,0.6333333333333333,0.0,0.36666666666666664
clinc150,13,76,26,1.0,2,0.5465696998545396,18,7,11,0.5714285714285714,0.0,0.42857142857142855
clinc150,13,88,44,1.0,2,0.6541328274897581,106,21,85,0.6666666666666666,0.0,0.3333333333333333
clinc150,13,94,10,1.0,2,0.5102950607184789,4,2,2,0.5,0.0,0.5
clinc150,13,96,62,1.0,2,0.6787855476733833,76,20,56,0.8,0.0,0.2
clinc150,13,104,35,1.0,2,0.6122741398405533,38,11,27,1.0,0.0,0.0
clinc150,13,124,16,1.0,2,0.6034103318784889,7,7,0,0.5714285714285714,,0.42857142857142855
clinc150,13,125,78,1.0,2,0.6775694567056679,80,28,52,0.75,0.0,0.25
clinc150,13,132,78,1.0,2,0.5303105419811798,23,23,0,0.7391304347826086,,0.2608695652173913
clinc150,13,134,48,1.0,2,0.5380090788811033,15,8,7,0.75,0.0,0.25
clinc150,13,154,38,1.0,2,0.6652357067260641,22,7,15,0.42857142857142855,0.0,0.5714285714285714
clinc150,13,159,64,1.0,2,0.7479318329537092,87,31,56,0.6774193548387096,0.0,0.3225806451612903
clinc150,13,167,94,1.0,2,0.5806767714613655,63,30,33,0.43333333333333335,0.0,0.5666666666666667
clinc150,13,170,100,1.0,2,0.48010098617981556,66,30,36,0.7,0.0,0.3
clinc150,13,184,81,1.0,2,0.5608564608283116,65,31,34,0.7096774193548387,0.0,0.2903225806451613
clinc150,13,185,17,1.0,2,0.5438404928278063,15,11,4,1.0,0.0,0.0
clinc150,13,196,88,1.0,2,0.46841335697402475,39,30,9,0.5666666666666667,0.0,0.43333333333333335
clinc150,13,203,85,1.0,2,0.6374983746170024,52,29,23,0.896551724137931,0.0,0.10344827586206896
clinc150,13,211,45,1.0,2,0.7284989162651818,48,28,20,1.0,0.0,0.0
clinc150,13,224,95,1.0,2,0.5453694780948625,88,30,58,0.4,0.0,0.6
clinc150,13,229,46,1.0,2,0.7117855412143286,93,16,77,0.8125,0.0,0.1875
clinc150,13,236,87,1.0,2,0.6447652161553792,99,27,72,0.5555555555555556,0.0,0.4444444444444444
