dataset,seed,source_center_id,source_intent,source_boundary,radial_level,method,direction_count,acceptance_rate,score_median
clinc150,13,3,apr,frozen_k2,1.01,frozen_k1,24,0.0,2.3721103812704696
clinc150,13,3,apr,frozen_k2,1.01,frozen_k2,24,0.0,1.01
clinc150,13,3,apr,frozen_k2,1.01,mogb,24,0.0,1.2627960119030428
clinc150,13,3,apr,frozen_k2,1.15,frozen_k1,24,0.0,2.8339203807418833
clinc150,13,3,apr,frozen_k2,1.15,frozen_k2,24,0.0,1.15
clinc150,13,3,apr,frozen_k2,1.15,mogb,24,0.0,1.4304799064228344
clinc150,13,3,apr,frozen_k2,1.35,frozen_k1,24,0.0,3.443808612471515
clinc150,13,3,apr,frozen_k2,1.35,frozen_k2,24,0.0,1.35
clinc150,13,3,apr,frozen_k2,1.35,mogb,24,0.0,1.6713138417989692
clinc150,13,4,bill_due,frozen_k2,0.75,frozen_k1,24,0.0,2.309689692725904
clinc150,13,4,bill_due,frozen_k2,0.75,frozen_k2,24,1.0,0.75
clinc150,13,4,bill_due,frozen_k2,0.75,mogb,24,0.7916666666666666,0.9795261093621266
clinc150,13,4,bill_due,frozen_k2,0.9,frozen_k1,24,0.0,2.763338318191939
clinc150,13,4,bill_due,frozen_k2,0.9,frozen_k2,24,1.0,0.9
clinc150,13,4,bill_due,frozen_k2,0.9,mogb,24,0.0,1.151991467077548
clinc150,13,4,bill_due,frozen_k2,0.99,frozen_k1,24,0.0,3.0360495142502097
clinc150,13,4,bill_due,frozen_k2,0.99,frozen_k2,24,1.0,0.99
clinc150,13,4,bill_due,frozen_k2,0.99,mogb,24,0.0,1.2569163287750205
clinc150,13,4,bill_due,frozen_k2,1.01,frozen_k1,24,0.0,3.0966916513865397
clinc150,13,4,bill_due,frozen_k2,1.01,frozen_k2,24,0.0,1.01
clinc150,13,4,bill_due,frozen_k2,1.01,mogb,24,0.0,1.2803454782180976
clinc150,13,4,bill_due,frozen_k2,1.15,frozen_k1,24,0.0,3.5531500333202435
clinc150,13,4,bill_due,frozen_k2,1.15,frozen_k2,24,0.0,1.15
clinc150,13,4,bill_due,frozen_k2,1.15,mogb,24,0.0,1.4452627418682944
clinc150,13,4,bill_due,frozen_k2,1.35,frozen_k1,24,0.0,4.216638215162768
clinc150,13,4,bill_due,frozen_k2,1.35,frozen_k2,24,0.0,1.35
clinc150,13,4,bill_due,frozen_k2,1.35,mogb,24,0.0,1.6829305008934843
clinc150,13,5,bill_due,frozen_k2,0.75,frozen_k1,24,0.0,1.9247330386354604
clinc150,13,5,bill_due,frozen_k2,0.75,frozen_k2,24,1.0,0.75
clinc150,13,5,bill_due,frozen_k2,0.75,mogb,24,0.125,1.0612093231656223
clinc150,13,5,bill_due,frozen_k2,0.9,frozen_k1,24,0.0,2.3066400113378682
clinc150,13,5,bill_due,frozen_k2,0.9,frozen_k2,24,1.0,0.9
clinc150,13,5,bill_due,frozen_k2,0.9,mogb,24,0.0,1.2502780568808856
clinc150,13,5,bill_due,frozen_k2,0.99,frozen_k1,24,0.0,2.536065212841092
clinc150,13,5,bill_due,frozen_k2,0.99,frozen_k2,24,1.0,0.99
clinc150,13,5,bill_due,frozen_k2,0.99,mogb,24,0.0,1.3657726114584166
clinc150,13,5,bill_due,frozen_k2,1.01,frozen_k1,24,0.0,2.587069882733216
clinc150,13,5,bill_due,frozen_k2,1.01,frozen_k2,24,0.0,1.01
clinc150,13,5,bill_due,frozen_k2,1.01,mogb,24,0.0,1.3916292056558548
clinc150,13,5,bill_due,frozen_k2,1.15,frozen_k1,24,0.0,2.9442724124736026
clinc150,13,5,bill_due,frozen_k2,1.15,frozen_k2,24,0.0,1.15
clinc150,13,5,bill_due,frozen_k2,1.15,mogb,24,0.0,1.5733024515560508
clinc150,13,5,bill_due,frozen_k2,1.35,frozen_k1,24,0.0,3.4549402201179955
clinc150,13,5,bill_due,frozen_k2,1.35,frozen_k2,24,0.0,1.35
clinc150,13,5,bill_due,frozen_k2,1.35,mogb,24,0.0,1.8277244660319667
clinc150,13,6,book_flight,frozen_k2,0.75,frozen_k1,24,0.041666666666666664,2.1485675085267046
clinc150,13,6,book_flight,frozen_k2,0.75,frozen_k2,24,1.0,0.75
clinc150,13,6,book_flight,frozen_k2,0.75,mogb,24,1.0,0.8063027317090811
clinc150,13,6,book_flight,frozen_k2,0.9,frozen_k1,24,0.0,2.5688858789970066
clinc150,13,6,book_flight,frozen_k2,0.9,frozen_k2,24,1.0,0.9
clinc150,13,6,book_flight,frozen_k2,0.9,mogb,24,1.0,0.9520166227405852
clinc150,13,6,book_flight,frozen_k2,0.99,frozen_k1,24,0.0,2.821618097513264
clinc150,13,6,book_flight,frozen_k2,0.99,frozen_k2,24,1.0,0.9900000000000001
clinc150,13,6,book_flight,frozen_k2,0.99,mogb,24,0.0,1.0404316684693362
clinc150,13,6,book_flight,frozen_k2,1.01,frozen_k1,24,0.0,2.8778219572419657
clinc150,13,6,book_flight,frozen_k2,1.01,frozen_k2,24,0.0,1.01
clinc150,13,6,book_flight,frozen_k2,1.01,mogb,24,0.0,1.0601558153318849
clinc150,13,6,book_flight,frozen_k2,1.15,frozen_k1,24,0.0,3.2715779213314047
clinc150,13,6,book_flight,frozen_k2,1.15,frozen_k2,24,0.0,1.15
clinc150,13,6,book_flight,frozen_k2,1.15,mogb,24,0.0,1.198842292242698
clinc150,13,6,book_flight,frozen_k2,1.35,frozen_k1,24,0.0,3.834821242179211
clinc150,13,6,book_flight,frozen_k2,1.35,frozen_k2,24,0.0,1.35
clinc150,13,6,book_flight,frozen_k2,1.35,mogb,24,0.0,1.3983610881645663
clinc150,13,7,book_flight,frozen_k2,0.75,frozen_k1,24,0.0,2.4535499590230527
clinc150,13,7,book_flight,frozen_k2,0.75,frozen_k2,24,1.0,0.7500000000000001
clinc150,13,7,book_flight,frozen_k2,0.75,mogb,24,1.0,0.9597056867700362
clinc150,13,7,book_flight,frozen_k2,0.9,frozen_k1,24,0.0,2.94194859270012
clinc150,13,7,book_flight,frozen_k2,0.9,frozen_k2,24,1.0,0.9
clinc150,13,7,book_flight,frozen_k2,0.9,mogb,24,0.0,1.13803035530266
clinc150,13,7,book_flight,frozen_k2,0.99,frozen_k1,24,0.0,3.2351537217754305
clinc150,13,7,book_flight,frozen_k2,0.99,frozen_k2,24,1.0,0.99
clinc150,13,7,book_flight,frozen_k2,0.99,mogb,24,0.0,1.2459306776600156
clinc150,13,7,book_flight,frozen_k2,1.01,frozen_k1,24,0.0,3.300322981897375
clinc150,13,7,book_flight,frozen_k2,1.01,frozen_k2,24,0.0,1.01
clinc150,13,7,book_flight,frozen_k2,1.01,mogb,24,0.0,1.2699781704189959
clinc150,13,7,book_flight,frozen_k2,1.15,frozen_k1,24,0.0,3.75660799135224
clinc150,13,7,book_flight,frozen_k2,1.15,frozen_k2,24,0.0,1.15
clinc150,13,7,book_flight,frozen_k2,1.15,mogb,24,0.0,1.438320384393609
clinc150,13,7,book_flight,frozen_k2,1.35,frozen_k1,24,0.0,4.408666908823878
clinc150,13,7,book_flight,frozen_k2,1.35,frozen_k2,24,0.0,1.35
clinc150,13,7,book_flight,frozen_k2,1.35,mogb,24,0.0,1.680322696936098
clinc150,13,8,calendar,frozen_k2,0.75,frozen_k1,24,0.0,2.0825616294283424
clinc150,13,8,calendar,frozen_k2,0.75,frozen_k2,24,1.0,0.75
clinc150,13,8,calendar,frozen_k2,0.75,mogb,24,0.041666666666666664,1.160818478717956
clinc150,13,8,calendar,frozen_k2,0.9,frozen_k1,24,0.0,2.495326459390154
clinc150,13,8,calendar,frozen_k2,0.9,frozen_k2,24,1.0,0.9
clinc150,13,8,calendar,frozen_k2,0.9,mogb,24,0.0,1.3564932821838371
clinc150,13,8,calendar,frozen_k2,0.99,frozen_k1,24,0.0,2.7432319193782853
clinc150,13,8,calendar,frozen_k2,0.99,frozen_k2,24,1.0,0.99
clinc150,13,8,calendar,frozen_k2,0.99,mogb,24,0.0,1.4780076597850487
clinc150,13,8,calendar,frozen_k2,1.01,frozen_k1,24,0.0,2.798340708874686
clinc150,13,8,calendar,frozen_k2,1.01,frozen_k2,24,0.0,1.01
clinc150,13,8,calendar,frozen_k2,1.01,mogb,24,0.0,1.505183564669955
clinc150,13,8,calendar,frozen_k2,1.15,frozen_k1,24,0.0,3.1842513396016527
clinc150,13,8,calendar,frozen_k2,1.15,frozen_k2,24,0.0,1.15
clinc150,13,8,calendar,frozen_k2,1.15,mogb,24,0.0,1.6968208772509434
clinc150,13,8,calendar,frozen_k2,1.35,frozen_k1,24,0.0,3.75656045934999
clinc150,13,8,calendar,frozen_k2,1.35,frozen_k2,24,0.0,1.35
clinc150,13,8,calendar,frozen_k2,1.35,mogb,24,0.0,1.9737869005443947
clinc150,13,9,calendar,frozen_k2,0.75,frozen_k1,24,0.041666666666666664,2.084085629295301
clinc150,13,9,calendar,frozen_k2,0.75,frozen_k2,24,1.0,0.75
clinc150,13,9,calendar,frozen_k2,0.75,mogb,24,0.08333333333333333,1.032031185845967
clinc150,13,9,calendar,frozen_k2,0.9,frozen_k1,24,0.0,2.494836225005698
clinc150,13,9,calendar,frozen_k2,0.9,frozen_k2,24,1.0,0.9
clinc150,13,9,calendar,frozen_k2,0.9,mogb,24,0.0,1.207802663476319
clinc150,13,9,calendar,frozen_k2,0.99,frozen_k1,24,0.0,2.7417545611351666
clinc150,13,9,calendar,frozen_k2,0.99,frozen_k2,24,1.0,0.99
clinc150,13,9,calendar,frozen_k2,0.99,mogb,24,0.0,1.315614013835455
clinc150,13,9,calendar,frozen_k2,1.01,frozen_k1,24,0.0,2.7966608162163396
clinc150,13,9,calendar,frozen_k2,1.01,frozen_k2,24,0.0,1.01
clinc150,13,9,calendar,frozen_k2,1.01,mogb,24,0.0,1.3397811386701441
clinc150,13,9,calendar,frozen_k2,1.15,frozen_k1,24,0.0,3.1812881771458494
clinc150,13,9,calendar,frozen_k2,1.15,frozen_k2,24,0.0,1.15
clinc150,13,9,calendar,frozen_k2,1.15,mogb,24,0.0,1.5100993985445776
clinc150,13,9,calendar,frozen_k2,1.35,frozen_k1,24,0.0,3.73138842766204
clinc150,13,9,calendar,frozen_k2,1.35,frozen_k2,24,0.0,1.3499999999999999
clinc150,13,9,calendar,frozen_k2,1.35,mogb,24,0.0,1.7580622120977445
clinc150,13,10,calories,frozen_k2,0.75,frozen_k1,24,0.0,2.072052689657534
clinc150,13,10,calories,frozen_k2,0.75,frozen_k2,24,1.0,0.75
clinc150,13,10,calories,frozen_k2,0.75,mogb,24,1.0,0.9417502328770261
clinc150,13,10,calories,frozen_k2,0.9,frozen_k1,24,0.0,2.484590530408151
clinc150,13,10,calories,frozen_k2,0.9,frozen_k2,24,1.0,0.9
clinc150,13,10,calories,frozen_k2,0.9,mogb,24,0.0,1.1119809312662055
clinc150,13,10,calories,frozen_k2,0.99,frozen_k1,24,0.0,2.7322348945148094
clinc150,13,10,calories,frozen_k2,0.99,frozen_k2,24,1.0,0.99
clinc150,13,10,calories,frozen_k2,0.99,mogb,24,0.0,1.215257201508758
clinc150,13,10,calories,frozen_k2,1.01,frozen_k1,24,0.0,2.787276186743372
clinc150,13,10,calories,frozen_k2,1.01,frozen_k2,24,0.0,1.01
clinc150,13,10,calories,frozen_k2,1.01,mogb,24,0.0,1.2382955366341468
clinc150,13,10,calories,frozen_k2,1.15,frozen_k1,24,0.0,3.17263868144743
clinc150,13,10,calories,frozen_k2,1.15,frozen_k2,24,0.0,1.15
clinc150,13,10,calories,frozen_k2,1.15,mogb,24,0.0,1.4002758911711424
clinc150,13,10,calories,frozen_k2,1.35,frozen_k1,24,0.0,3.723320155329838
clinc150,13,10,calories,frozen_k2,1.35,frozen_k2,24,0.0,1.35
clinc150,13,10,calories,frozen_k2,1.35,mogb,24,0.0,1.63328536722399
clinc150,13,11,calories,frozen_k2,0.75,frozen_k1,24,0.041666666666666664,1.9097044563485406
clinc150,13,11,calories,frozen_k2,0.75,frozen_k2,24,1.0,0.75
clinc150,13,11,calories,frozen_k2,0.75,mogb,24,0.875,0.9755711243066127
clinc150,13,11,calories,frozen_k2,0.9,frozen_k1,24,0.041666666666666664,2.272639943527529
clinc150,13,11,calories,frozen_k2,0.9,frozen_k2,24,1.0,0.9
clinc150,13,11,calories,frozen_k2,0.9,mogb,24,0.0,1.1286367536929585
clinc150,13,11,calories,frozen_k2,0.99,frozen_k1,24,0.0,2.491545881092777
clinc150,13,11,calories,frozen_k2,0.99,frozen_k2,24,1.0,0.99
clinc150,13,11,calories,frozen_k2,0.99,mogb,24,0.0,1.222805462161159
clinc150,13,11,calories,frozen_k2,1.01,frozen_k1,24,0.0,2.5402792449699616
clinc150,13,11,calories,frozen_k2,1.01,frozen_k2,24,0.0,1.01
clinc150,13,11,calories,frozen_k2,1.01,mogb,24,0.0,1.2439175513454885
clinc150,13,11,calories,frozen_k2,1.15,frozen_k1,24,0.0,2.8821161181946042
clinc150,13,11,calories,frozen_k2,1.15,frozen_k2,24,0.0,1.15
clinc150,13,11,calories,frozen_k2,1.15,mogb,24,0.0,1.3932342049603528
clinc150,13,11,calories,frozen_k2,1.35,frozen_k1,24,0.0,3.3720324120934855
clinc150,13,11,calories,frozen_k2,1.35,frozen_k2,24,0.0,1.35
clinc150,13,11,calories,frozen_k2,1.35,mogb,24,0.0,1.6100794124232496
clinc150,13,12,cancel,frozen_k2,0.75,frozen_k1,24,0.0,2.402991516598852
clinc150,13,12,cancel,frozen_k2,0.75,frozen_k2,24,1.0,0.7499999999999999
clinc150,13,12,cancel,frozen_k2,0.75,mogb,24,0.0,1.0575146537826137
