dataset,kir,method,n_seeds,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,auroc_mean,auroc_std,aupr_oos_mean,aupr_oos_std
banking77,0.25,fixed_k2,5,0.8577784166123713,0.03175919520536074,0.7109974813224451,0.022029938729008977,0.8189473684210526,0.019771898690801922,0.2032758620689655,0.05330347459857209,0.8880257486388384,0.021953849487349755,0.9518511325826771,0.008967091263841138
banking77,0.25,mogb_minilm,5,0.9029919725157672,0.004345545482740958,0.5587572321670984,0.02977453622624809,0.39973684210526306,0.02262622335652819,0.01499999999999994,0.0064106870491649265,0.8690423094373866,0.02554765002981928,0.9361930928934459,0.01572097021701173
banking77,0.25,mogb_partition_ours_boundary,5,0.9205598966754222,0.004509605546132503,0.711496683111129,0.030328603017370847,0.616842105263158,0.03248961052773284,0.0401724137931034,0.0047354979196455845,0.8916474591651543,0.012543410063866613,0.9504326276363961,0.006799150330955474
banking77,0.25,ours_partition_mogb_boundary,5,0.9067732430505278,0.00960293427631379,0.6549065911705718,0.019568953029171277,0.5386842105263158,0.019216833859954898,0.0450862068965517,0.018660856263322464,0.8775311932849366,0.023857419438173138,0.9467843141034917,0.009309641814558338
banking77,0.25,random_partition,5,0.8500483735063608,0.024433958357197565,0.693146655424499,0.027109730408082518,0.8473684210526315,0.008217102629471567,0.22310344827586204,0.04080578657002089,0.8943634301270418,0.009367687944052305,0.9538458219553927,0.004879077560122819
banking77,0.25,single_centroid,5,0.8517237093485583,0.025265382256290082,0.6928544335841692,0.030262672116638627,0.8389473684210526,0.008757663838049328,0.2183620689655172,0.04175209237389306,0.8915661297640654,0.010464869829698544,0.9525432082011687,0.005210891496906986
banking77,0.25,trainable_k1,5,0.9165382964914104,0.017976090268549346,0.7851015718978598,0.025622005001927704,0.8184210526315789,0.00778431550407842,0.10327586206896551,0.03360770085085234,0.922975612522686,0.014044005787949706,0.9670141428061452,0.005979889497426333
banking77,0.5,fixed_k2,5,0.7546157036165422,0.021528536775831147,0.7616393362174011,0.010872629981106371,0.8255263157894737,0.007030552635469774,0.2905128205128205,0.03548121800378637,0.859762230094467,0.013002373982499567,0.8357888390365009,0.014816779192299043
banking77,0.5,mogb_minilm,5,0.7499368546965274,0.006406834213942431,0.48600815327809965,0.025079511841738577,0.33407894736842103,0.02139119217091644,0.01089743589743584,0.004902903378454607,0.8356215418353576,0.012156138383550084,0.7871540272941482,0.01726301690179924
banking77,0.5,mogb_partition_ours_boundary,5,0.7939747596576892,0.007797331809627127,0.6480972658162544,0.01976537364287046,0.5218421052631579,0.020199618424305312,0.03499999999999994,0.00870238051874111,0.8545895748987855,0.00975397775110571,0.8139938584826117,0.016972178918763636
banking77,0.5,ours_partition_mogb_boundary,5,0.7885946611939285,0.008579758994922712,0.6567807001762411,0.00890364478041777,0.5325,0.012154149001478353,0.05243589743589738,0.01632666007056647,0.8464349696356275,0.016610261889607274,0.8202411325534655,0.01995235126679956
banking77,0.5,random_partition,5,0.7162208519261768,0.026683360105673216,0.7472005675171393,0.016856069725892125,0.8596052631578948,0.007290471145892164,0.36500000000000005,0.04076086432457638,0.8556884278002699,0.011879021386491604,0.8304466815067443,0.011469600305176556
banking77,0.5,single_centroid,5,0.7242801509490058,0.027673309741623086,0.7451394438761987,0.01657860767276433,0.8501315789473682,0.01050985555142945,0.34846153846153843,0.043614717581839144,0.85260754048583,0.010261543173566475,0.827576850284049,0.00764610471189873
banking77,0.5,trainable_k1,5,0.8356406184886493,0.018251144545811386,0.8167355797722488,0.010483055215298546,0.8221052631578948,0.0048030821706431465,0.15743589743589742,0.03434605574205225,0.9014173414304993,0.011115850513844118,0.8863032438146086,0.010931170548119665
banking77,0.75,fixed_k2,5,0.5931096142882415,0.025728699487870394,0.802629197197889,0.007806121199534448,0.8313793103448276,0.0037502477127855584,0.3607894736842105,0.04020592767862238,0.8322200544464609,0.015458994332941428,0.5835320552322394,0.027123453886080295
banking77,0.75,mogb_minilm,5,0.4763444315858617,0.004103773735430727,0.42392825044969384,0.016952957950860673,0.28767241379310343,0.012201397797159081,0.00763157894736838,0.003767847648230626,0.7977400181488203,0.02025121227313486,0.4766882118952922,0.03278835104006226
banking77,0.75,mogb_partition_ours_boundary,5,0.5313316683894658,0.005918725520325329,0.5860713489392462,0.023848313965377736,0.45862068965517244,0.024356308956183875,0.040526315789473646,0.019302232443044447,0.8104557622504537,0.017405568283162295,0.5045400009976453,0.03570777936063576
banking77,0.75,ours_partition_mogb_boundary,5,0.5507101160126237,0.0047867738393309505,0.6567440305693094,0.005721883039152509,0.535603448275862,0.005566856652056204,0.08131578947368416,0.011635626826018,0.8209998865698729,0.013594799759587385,0.5610762868450603,0.02201410515581219
banking77,0.75,random_partition,5,0.5337882516266328,0.04240542158941039,0.7889339625187208,0.00786967569465706,0.8727586206896552,0.005121879578452769,0.49315789473684213,0.05563315986400822,0.8201661751361161,0.016038769933155308,0.5540039774819295,0.026842954656843367
banking77,0.75,single_centroid,5,0.5366071713978288,0.04167218970527396,0.7821185401081376,0.008950034871067885,0.8641379310344828,0.005211775517307507,0.48,0.054517208648106344,0.817510775862069,0.016750193763312056,0.5494501046486523,0.02380921115354771
banking77,0.75,trainable_k1,5,0.6865343253584565,0.027084540089959898,0.8413111725848881,0.00771237040458175,0.824137931034483,0.00405493269875577,0.19605263157894737,0.0458076189092874,0.8890411751361162,0.01698668856685335,0.6985107098502167,0.03324601660180583
clinc150,0.25,fixed_k2,5,0.9447183904938932,0.007981186969528386,0.7801346791980823,0.01960645733360547,0.7435087719298246,0.0065231552430098805,0.04728070175438592,0.014850555949313596,0.9344876500461681,0.009191535369763625,0.9767689785502253,0.0035092473538444586
clinc150,0.25,mogb_minilm,5,0.9238361040438378,0.0029534277865939187,0.5224035964713534,0.032761230904904355,0.37105263157894736,0.026693200095970083,0.006578947368420999,0.002176472943122702,0.9060657894736842,0.014568116456954671,0.963469654341278,0.007327991478902392
clinc150,0.25,mogb_partition_ours_boundary,5,0.9413139384002536,0.004982739043635982,0.7016229766010627,0.034783684884718016,0.6017543859649124,0.04404784186583784,0.022368421052631537,0.006138392544858933,0.9274617189904586,0.01722009706747917,0.9735223875851311,0.006607934032877375
clinc150,0.25,ours_partition_mogb_boundary,5,0.9263775447547197,0.003487826147523184,0.5666949810733997,0.01807509360809202,0.4189473684210526,0.013195851685011813,0.011798245614035039,0.005792546366957996,0.9017829332102185,0.013189108546256632,0.9630424548868696,0.005460875919826275
clinc150,0.25,random_partition,5,0.9423997495237098,0.009448493371717808,0.7878036270153732,0.025447662176897097,0.788421052631579,0.01576996845911873,0.06171052631578942,0.015022810193180873,0.9437183748845799,0.011801956644192521,0.9825638454444807,0.003452633140047349
clinc150,0.25,single_centroid,5,0.9420722511346671,0.007409448841719784,0.7843899282129962,0.01877813960270395,0.7794736842105264,0.010555515057186927,0.06035087719298242,0.013202956464477715,0.9434849953831949,0.010672880461408149,0.9825040382245194,0.0033960507649190876
clinc150,0.25,trainable_k1,5,0.9516427437131565,0.006493831244299065,0.7968993956538231,0.019459710746000586,0.7363157894736843,0.008358687192681818,0.03236842105263158,0.011023527540387055,0.9588536088027085,0.012065791586742368,0.9876229578269167,0.004416140820934182
clinc150,0.5,fixed_k2,5,0.892005798496586,0.0026452264822166512,0.8009431390043901,0.009986593104864928,0.7513777777777777,0.01311901833123612,0.06440579710144924,0.005931060927178788,0.924975458937198,0.00276875004629425,0.9370482791886309,0.003566858892018461
clinc150,0.5,mogb_minilm,5,0.8131951016346013,0.0029937394053626528,0.44953800389890197,0.017795263450771055,0.3157333333333333,0.013693649965685428,0.00904347826086952,0.0015255301295003965,0.8764096876006441,0.007663174447065298,0.8832486853189302,0.00819012602665887
clinc150,0.5,mogb_partition_ours_boundary,5,0.8555543863002324,0.004191319483426519,0.645981713026754,0.021726743482571444,0.5334222222222222,0.018977309387922695,0.02498550724637676,0.0032497394592867082,0.9052768824476651,0.00864331335379013,0.9196825244395654,0.009688153468954219
clinc150,0.5,ours_partition_mogb_boundary,5,0.8332324302971947,0.0029511509584679596,0.5640931010016157,0.015710568448621374,0.4224,0.01506070022801144,0.01686956521739124,0.0026911291335501852,0.8898238711755233,0.005910113787255629,0.9015743601911357,0.004277614314625316
clinc150,0.5,random_partition,5,0.8906911053121689,0.005027811945926729,0.8075070935100765,0.009318873313704177,0.7947555555555555,0.01425828760518244,0.08962318840579706,0.0035464333725641595,0.9302566698872786,0.0050125553876110935,0.9465447968241728,0.00698092785936055
clinc150,0.5,single_centroid,5,0.8894333056826392,0.0050275226580105145,0.8026933913946115,0.010823184897063277,0.7875555555555556,0.013799266396675584,0.0881739130434782,0.004217366402635783,0.9289202705314009,0.005174136611141686,0.9453136430594407,0.0072355336194301016
clinc150,0.5,trainable_k1,5,0.9043941395821132,0.004441963320551524,0.8181661694793956,0.009203410142646926,0.7444444444444445,0.0033847880470506565,0.036927536231884064,0.007571267501376486,0.9532673752012883,0.005488248090117034,0.9649131913639692,0.006769500983847941
clinc150,0.75,fixed_k2,5,0.8150384507030115,0.006304940998015575,0.8143458841089413,0.006901508299221047,0.7580357142857144,0.009493534468890829,0.0732478632478632,0.004952473369510487,0.9182304385429386,0.0034028459311515307,0.8623213163626972,0.004382161902789785
clinc150,0.75,mogb_minilm,5,0.6593154230507091,0.0041875520903020096,0.4179709109786164,0.015527783903498855,0.29196428571428573,0.012156927538988149,0.00829059829059824,0.0033595288900912035,0.8643049450549449,0.011809260686572367,0.75205032017729,0.015884241704918207
clinc150,0.75,mogb_partition_ours_boundary,5,0.7197434059711283,0.005944822317859748,0.5960139307329898,0.02330656846289082,0.4808928571428571,0.02038136438446493,0.018888888888888837,0.004288435454462243,0.8967573768823769,0.010832451294774045,0.8257099119541585,0.020657768166605712
clinc150,0.75,ours_partition_mogb_boundary,5,0.7004044722488024,0.0038559130111527474,0.5692900146575265,0.012163796573414327,0.4284523809523809,0.012483336398644539,0.018803418803418757,0.0028507829196851376,0.8802616758241758,0.008341803981055898,0.7930407784196932,0.01021653833672867
clinc150,0.75,random_partition,5,0.8220513451445486,0.009384997678589692,0.823453472957717,0.008768990439803441,0.8004761904761905,0.009473920672165997,0.10222222222222217,0.009398795197144358,0.9227625152625152,0.0044377797096929895,0.8812826362736683,0.008994849687023642
clinc150,0.75,single_centroid,5,0.8174656812211403,0.007954970381519925,0.8174095805265577,0.007305773913153077,0.7907142857142857,0.010045249099870947,0.101025641025641,0.0056581583906542355,0.9199905118030118,0.004358024752138887,0.8747476986909115,0.009166515334846451
clinc150,0.75,trainable_k1,5,0.828493223497581,0.005076623944875164,0.8291245798894671,0.007668826723022183,0.7511904761904763,0.008669352180731855,0.040170940170940174,0.003974588726012452,0.9500434472934473,0.004167084976489974,0.9244287014099978,0.009783406283360913
stackoverflow,0.25,fixed_k2,5,0.8666146611474034,0.04798142689533388,0.767990693403829,0.04449410575340561,0.8521333333333333,0.01548045362527998,0.19471111111111106,0.0830995832765769,0.9027892444444445,0.021474209164574497,0.9442456955268905,0.014364879545253851
stackoverflow,0.25,mogb_minilm,5,0.8944000569448456,0.005949655171098951,0.5407038655227719,0.04633819785305142,0.3261333333333333,0.048486882533091163,0.00937777777777774,0.005384935548750563,0.8672337777777779,0.021979970916551548,0.9256037956668599,0.016348535218525497
stackoverflow,0.25,mogb_partition_ours_boundary,5,0.9259960799998362,0.005335538584498718,0.7345093038010513,0.03907579262030327,0.5910666666666666,0.050757812753856484,0.020311111111111037,0.012352437656162561,0.9164517333333334,0.007589087824444525,0.9603337045725686,0.00841489365521423
stackoverflow,0.25,ours_partition_mogb_boundary,5,0.9063585472441907,0.01508885828276153,0.6905304844967871,0.03500318089700651,0.5414666666666668,0.02263919904354689,0.04435555555555554,0.02544158159537403,0.8315969481481481,0.04819398795472851,0.8999522662047736,0.036639613187128786
stackoverflow,0.25,random_partition,5,0.8911014170392451,0.04117036715235755,0.8086454974094963,0.03058047333973446,0.8609333333333333,0.01891853882072058,0.1568444444444444,0.07328641596798209,0.9205399703703705,0.014960221851013708,0.9557569260950345,0.012016898938028774
stackoverflow,0.25,single_centroid,5,0.8948207530022316,0.03765597807194649,0.8101159547533475,0.02895712604409962,0.8561333333333334,0.018241588624775956,0.14955555555555552,0.06764613810115103,0.9199174814814814,0.01420064864493514,0.9547420553298818,0.011938362913704403
stackoverflow,0.25,trainable_k1,5,0.9547969095009252,0.01210146632890303,0.8763726851882936,0.02371170428517426,0.8429333333333332,0.005899152481501018,0.03848888888888889,0.02139135627903921,0.9529569185185187,0.016086084130192177,0.9772978254353099,0.009128579142288916
