dataset,kir,variant,reference,metric,n_pairs,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,paired_t_p,wilcoxon_p,cohen_dz
clinc150,0.25,select_100,reference,false_accept_rate,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.25,select_100,reference,false_reject_rate,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.25,select_100,reference,effective_cluster_count,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.25,min_get_10,reference,oos_f1,5,-0.00035283481365562254,-0.0002540446398657803,0.0009732444774160707,-0.001186951108354406,0.00030598918619583897,2,0,3,0.46303993910242053,0.8125,-0.3625346167824002
clinc150,0.25,min_get_10,reference,f1_all,5,-0.004290840817299646,-0.004182271778920721,0.011212286137356807,-0.013713124055442116,0.0032552885266301373,2,0,3,0.4403827741879076,0.625,-0.3826909842234166
clinc150,0.25,min_get_10,reference,id_recall,5,-0.0036842105263157785,-0.0035087719298245723,0.007556089637669463,-0.009999999999999964,0.0015789473684210576,2,0,3,0.33687376563377214,0.375,-0.4875816332232006
clinc150,0.25,min_get_10,reference,false_accept_rate,5,-8.771929824561378e-05,-0.0002192982456140349,0.00039837504659177516,-0.0003947368421052628,0.00021929824561403542,2,0,3,0.6482612949673079,0.9375,-0.22019275302527153
clinc150,0.25,min_get_10,reference,false_reject_rate,5,0.0036842105263157785,0.0035087719298245723,0.007556089637669463,-0.0015789473684210576,0.009999999999999964,3,0,2,0.33687376563377214,0.375,0.4875816332232006
clinc150,0.25,min_get_10,reference,effective_cluster_count,5,2.4,3.0,3.847076812334269,-0.6,5.4,3,0,2,0.23549636025944287,0.3125,0.6238502938920436
clinc150,0.25,min_get_20,reference,oos_f1,5,0.00018992437422240548,-0.00010985311974520684,0.0008733503735297358,-0.0004309754801119503,0.0008862629922155695,2,0,3,0.6522150194143972,1.0,0.2174664143725118
clinc150,0.25,min_get_20,reference,f1_all,5,0.0004533313827574714,-0.0013068570956037417,0.006512225520543802,-0.004552384750626248,0.005459047516141191,2,0,3,0.8838420973280063,1.0,0.06961235929673641
clinc150,0.25,min_get_20,reference,id_recall,5,0.002807017543859658,0.0,0.006720695196272987,-0.0017543859649122862,0.008070175438596516,2,2,1,0.4032096051766123,0.5,0.41766773553669134
clinc150,0.25,min_get_20,reference,false_accept_rate,5,0.0002192982456140349,0.0002192982456140349,0.00034674097150969095,-4.38596491228075e-05,0.0004824561403508773,3,1,1,0.23019964108049937,0.375,0.6324555320336749
