variant,n_cells,mean_oos_f1,std_oos_f1,mean_f1_all,std_f1_all,mean_id_recall,std_id_recall,mean_false_accept_rate,std_false_accept_rate,mean_effective_cluster_count,std_effective_cluster_count,mean_delta_vs_reference_oos_f1,mean_delta_vs_single_oos_f1
default_mahalanobis_mean,45,0.728258070031634,0.16998459528475746,0.42821295347962135,0.07717783899724447,0.28203728750356094,0.05519748143273426,0.006093335443539289,0.0034469233084247902,99.22222222222223,52.28979080300687,-0.005642308321685526,-0.058181040303843475
default_mean_std,45,0.7865009242882045,0.14645921068897502,0.678226106622405,0.06545744747692599,0.5756423938197985,0.07347973173414768,0.04086986812486694,0.019632655695862263,99.22222222222223,52.28979080300687,0.052600545934885015,6.181395272705718e-05
get_085,45,0.7367476274199106,0.1633838483760786,0.4547923416627478,0.06940739010894192,0.320549857082041,0.05906574006122663,0.010689337712310436,0.0064073881137278795,72.42222222222222,46.83650911264188,0.0028472490665909945,-0.04969148291556696
get_090,45,0.7473696496490302,0.1623095671861081,0.5262834707988961,0.07222071103408932,0.3777378458918689,0.05915039178959522,0.013255287261152748,0.007790345485475877,91.22222222222223,57.61742511400242,0.013469271295710693,-0.03906946068644726
get_095,45,0.7412287872160168,0.16498519970130404,0.4962511655611227,0.07299010936762919,0.3463665908065182,0.05557279834935648,0.01040971444851873,0.0056786642870165875,87.17777777777778,53.60982308600851,0.007328408862697367,-0.045210323119460584
min_get_10,45,0.7341460218154007,0.16752903145304016,0.464135165172988,0.07465374499013457,0.31321177416721885,0.058697402648198484,0.00920740705520684,0.005091185411853545,105.11111111111111,54.77027321716433,0.0002456434620811749,-0.052293088520076775
min_get_20,45,0.7353787800862815,0.16677266503480637,0.46990786601226175,0.07190378488058285,0.3194876596023904,0.05576510286288979,0.009655825408633216,0.004916789496055053,101.26666666666667,50.57955030534484,0.001478401732962024,-0.05106033024919593
min_select_20,45,0.7267367326688696,0.17134229477599824,0.42309627711108144,0.08200634935728578,0.282817990858372,0.05855914182296439,0.008309165824944778,0.0043595232101057745,53.86666666666667,31.186827055957163,-0.007163645684449871,-0.05970237766660782
min_select_5,45,0.7367368318603478,0.1660563052986607,0.4765459180840624,0.07913362691702408,0.32369029918346315,0.06595358652631413,0.009390344398950621,0.004591937794607781,193.7111111111111,103.58036454459851,0.002836453507028288,-0.04970227847512966
select_085,45,0.7339003783533194,0.16731467471971828,0.4625803032971015,0.07314123558691897,0.31211538376592823,0.05725890461472354,0.009046646282496778,0.004516470357647579,99.22222222222223,52.28979080300687,0.0,-0.05253873198215796
select_095,45,0.7339003783533194,0.16731467471971828,0.4625803032971015,0.07314123558691897,0.31211538376592823,0.05725890461472354,0.009046646282496778,0.004516470357647579,99.22222222222223,52.28979080300687,0.0,-0.05253873198215796
select_100,45,0.7339003783533194,0.16731467471971828,0.4625803032971015,0.07314123558691897,0.31211538376592823,0.05725890461472354,0.009046646282496778,0.004516470357647579,99.22222222222223,52.28979080300687,0.0,-0.05253873198215796
