dataset,kir,k,reference,metric,n_pairs,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,paired_t_p,wilcoxon_p,cohen_dz
clinc150,0.25,1,single,oos_f1,5,-0.011351274587500714,-0.008896704827374258,0.00624844738104308,-0.016858651346367392,-0.006930877059064899,0,0,5,0.015321382319285062,0.0625,-1.8166552257347806
clinc150,0.25,1,single,f1_all,5,-0.17549768042932073,-0.17650444355247819,0.015083683015135047,-0.18756398401033075,-0.1645146877605132,0,0,5,1.2968502302722328e-05,0.0625,-11.634935595850525
clinc150,0.25,1,single,id_recall,5,-0.3124561403508771,-0.3131578947368421,0.008867896109543966,-0.31947368421052635,-0.30543859649122795,0,0,5,1.5555038384988017e-07,0.0625,-35.234528741783514
clinc150,0.25,1,single,false_accept_rate,5,-0.046754385964912284,-0.049342105263157895,0.011602514559606411,-0.05530701754385966,-0.037456140350877194,0,0,5,0.0008400126823709528,0.0625,-4.02967699154504
clinc150,0.25,1,single,false_reject_rate,5,0.3124561403508772,0.31315789473684214,0.008867896109543966,0.30543859649122806,0.31947368421052635,5,0,0,1.5555038384988017e-07,0.0625,35.23452874178353
clinc150,0.25,1,single,effective_cluster_count,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.25,2,single,oos_f1,5,-0.01569470637994761,-0.015955059284250117,0.005305791523702376,-0.019791776990446854,-0.011597635769448366,0,0,5,0.0027086788373391797,0.0625,-2.9580329927844318
clinc150,0.25,2,single,f1_all,5,-0.21769494713959664,-0.22494557918889635,0.012383817368635227,-0.22679797979184763,-0.20732872835954633,0,0,5,2.5024445819868923e-06,0.0625,-17.578985595423713
clinc150,0.25,2,single,id_recall,5,-0.36052631578947364,-0.35964912280701755,0.009447657556376308,-0.3689473684210526,-0.35333333333333333,0,0,5,1.1307390495571988e-07,0.0625,-38.16039199538422
clinc150,0.25,2,single,false_accept_rate,5,-0.04855263157894736,-0.05087719298245614,0.009325462896462704,-0.055701754385964905,-0.0412719298245614,0,0,5,0.000311154650845991,0.0625,-5.206458072699442
clinc150,0.25,2,single,false_reject_rate,5,0.36052631578947364,0.35964912280701755,0.009447657556376292,0.35333333333333333,0.3689473684210526,5,0,0,1.1307390495571906e-07,0.0625,38.16039199538428
clinc150,0.25,2,single,effective_cluster_count,5,38.0,38.0,0.0,38.0,38.0,5,0,0,0.0,0.0625,0.0
clinc150,0.25,3,single,oos_f1,5,-0.01818009160390619,-0.01727432170361498,0.0065606640885134985,-0.02344721871003408,-0.013223488924809356,0,0,5,0.003449331066076697,0.0625,-2.7710749031849
clinc150,0.25,3,single,f1_all,5,-0.2420848074786915,-0.250305434929595,0.020247680646663317,-0.2567021665316123,-0.22694863175751942,0,0,5,1.1635961458705094e-05,0.0625,-11.956174719625748
clinc150,0.25,3,single,id_recall,5,-0.38473684210526315,-0.39035087719298245,0.01695956845389052,-0.39543859649122803,-0.3703508771929823,0,0,5,9.038387893995705e-07,0.0625,-22.68553254472726
clinc150,0.25,3,single,false_accept_rate,5,-0.048815789473684215,-0.05350877192982456,0.01079985415641982,-0.056842105263157895,-0.03973684210526316,0,0,5,0.0005392840476143451,0.0625,-4.5200415456227585
clinc150,0.25,3,single,false_reject_rate,5,0.38473684210526315,0.39035087719298245,0.0169595684538905,0.37035087719298243,0.39543859649122803,5,0,0,9.038387893995641e-07,0.0625,22.685532544727288
clinc150,0.25,3,single,effective_cluster_count,5,76.0,76.0,0.0,76.0,76.0,5,0,0,0.0,0.0625,0.0
clinc150,0.25,4,single,oos_f1,5,-0.02014862085792559,-0.01814660811138924,0.006157245401030409,-0.024989466203952038,-0.015307775511899147,0,0,5,0.001855862808213062,0.0625,-3.2723433200427157
