dataset,kir,k,reference,metric,n_pairs,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,paired_t_p,wilcoxon_p,cohen_dz
clinc150,0.25,1,adaptive,oos_f1,5,0.006884872503328721,0.007262409109222268,0.0026222812881939923,0.00481070088248583,0.008841659271952485,5,0,0,0.0042042382696798036,0.0625,2.625527831177274
clinc150,0.25,1,adaptive,f1_all,5,0.08648865131232222,0.07447381442082035,0.025920759355048097,0.06835765966446732,0.10689535827003023,5,0,0,0.0017245068439460346,0.0625,3.336655771833261
clinc150,0.25,1,adaptive,id_recall,5,0.09596491228070177,0.08947368421052637,0.018665875197572436,0.08210526315789476,0.10982456140350876,5,0,0,0.0003268577268183222,0.0625,5.141195430963899
clinc150,0.25,1,adaptive,false_accept_rate,5,0.007017543859649122,0.007236842105263158,0.002192982456140351,0.005307017543859649,0.008728070175438597,5,0,0,0.002018725144058221,0.0625,3.1999999999999993
clinc150,0.25,1,adaptive,false_reject_rate,5,-0.09596491228070177,-0.08947368421052637,0.018665875197572436,-0.10982456140350876,-0.08210526315789476,0,0,5,0.0003268577268183222,0.0625,-5.141195430963899
clinc150,0.25,1,adaptive,effective_cluster_count,5,-28.8,-28.0,6.180614856144977,-34.2,-24.8,0,0,5,0.00047924668549872236,0.0625,-4.65973057217213
clinc150,0.25,2,adaptive,oos_f1,5,0.002541440710881826,0.0011934507325584987,0.004491254537752982,-0.0007647553119649375,0.006352937446831098,3,0,2,0.2744472884543763,0.4375,0.5658643235467419
clinc150,0.25,2,adaptive,f1_all,5,0.04429138460204633,0.047076756623004035,0.03602910415703774,0.017592417694311923,0.07141510549478589,5,0,0,0.05143526752860178,0.0625,1.2293223947227863
clinc150,0.25,2,adaptive,id_recall,5,0.047894736842105254,0.0491228070175439,0.030136398654343092,0.02421052631578948,0.07157894736842103,5,0,0,0.023719558643465342,0.0625,1.5892654391603267
clinc150,0.25,2,adaptive,false_accept_rate,5,0.005219298245614035,0.005043859649122807,0.005127547524247778,0.0013596491228070177,0.009210526315789475,4,1,0,0.08515412805485396,0.125,1.017893685223272
clinc150,0.25,2,adaptive,false_reject_rate,5,-0.047894736842105254,-0.0491228070175439,0.030136398654343092,-0.07157894736842103,-0.02421052631578948,0,0,5,0.023719558643465342,0.0625,-1.5892654391603267
clinc150,0.25,2,adaptive,effective_cluster_count,5,9.2,10.0,6.180614856144977,3.8,13.2,4,0,1,0.029147939352435082,0.125,1.488525043888319
clinc150,0.25,3,adaptive,oos_f1,5,5.605548692324547e-05,-0.0011209391534291457,0.004726692295693994,-0.002951590047496855,0.004158037966850059,2,0,3,0.9801141826983422,0.8125,0.011859347597962299
clinc150,0.25,3,adaptive,f1_all,5,0.019901524262951487,0.007986622709564517,0.043362249875598974,-0.009565713410904597,0.05692560809682008,3,0,2,0.36277227938343615,0.625,0.4589596785232902
clinc150,0.25,3,adaptive,id_recall,5,0.023684210526315818,0.015789473684210575,0.03552902307206777,-0.002105263157894699,0.05315789473684211,3,0,2,0.2103236137804086,0.3125,0.6666158672101482
clinc150,0.25,3,adaptive,false_accept_rate,5,0.004956140350877193,0.005043859649122808,0.003578662484361655,0.0024122807017543857,0.00793859649122807,5,0,0,0.03633503528790025,0.0625,1.3849141606773363
clinc150,0.25,3,adaptive,false_reject_rate,5,-0.023684210526315818,-0.015789473684210575,0.03552902307206777,-0.05315789473684211,0.002105263157894699,2,0,3,0.2103236137804086,0.3125,-0.6666158672101482
clinc150,0.25,3,adaptive,effective_cluster_count,5,47.2,48.0,6.180614856144977,41.8,51.2,5,0,0,6.897722617670681e-05,0.0625,7.636780659948768
clinc150,0.25,4,adaptive,oos_f1,5,-0.0019124737670961566,-0.002078529673362972,0.004767173697953175,-0.005668183400612148,0.0017250531436051376,2,0,3,0.420399950650966,0.625,-0.4011755996886148
clinc150,0.25,4,adaptive,f1_all,5,-0.004665580687359694,0.009460655645801008,0.04424765251303059,-0.0429755256975141,0.026804570224130318,3,0,2,0.8251861566115986,1.0,-0.10544244547178445
