k,planned_cells,complete_cells,missing_or_invalid_cells,mean_oos_f1,std_oos_f1,mean_f1_all,std_f1_all,mean_id_recall,std_id_recall,mean_false_accept_rate,std_false_accept_rate,mean_effective_cluster_count,std_effective_cluster_count,mean_delta_vs_adaptive_oos_f1,mean_delta_vs_single_oos_f1
1,45,45,0,0.780766570713136,0.13492224154564128,0.6616170235992491,0.044887888191693405,0.538463402759773,0.05242312671868605,0.052129989241396696,0.03736338394939305,41.111111111111114,33.57638660388782,0.04686619235981653,-0.005672539622341415
2,45,45,0,0.7589741106284742,0.15121988431374556,0.6230119708353835,0.04758864090321612,0.4997739095503766,0.0563890168879221,0.07348126062924452,0.07305177828840481,82.22222222222223,67.15277320777564,0.025073732275154696,-0.027464999707003255
3,45,45,0,0.7476723915639446,0.15762162362559248,0.5922052578889138,0.05006831083830751,0.46705548561697985,0.054124992233521775,0.0770344918259119,0.08625935715423272,123.33333333333333,100.72915981166345,0.013772013210625027,-0.038766718771532926
4,45,45,0,0.7482044923686595,0.15441916321760193,0.5812097979137817,0.05901200262678392,0.45469646306058886,0.06402299040153343,0.06939641807526287,0.07927833280196936,164.44444444444446,134.30554641555128,0.014304114015339913,-0.03823461796681804
