dataset,kir,component,n_seeds,mean_oos_f1,std_oos_f1,mean_f1_all,std_f1_all,mean_id_recall,std_id_recall,mean_false_accept_rate,std_false_accept_rate,mean_false_reject_rate,std_false_reject_rate
banking77,0.25,euclidean_mean,5,0.9029919725157672,0.004345545482740988,0.5587572321670984,0.029774536226248087,0.39973684210526317,0.02262622335652818,0.015,0.0064106870491648996,0.6002631578947368,0.02262622335652818
banking77,0.25,euclidean_mean_std,5,0.9142495277743048,0.005409869261180829,0.7131081311027104,0.03297227106321498,0.6494736842105263,0.032425602038975744,0.06129310344827586,0.005094601488652547,0.3505263157894737,0.03242560203897573
banking77,0.25,mahalanobis_diag_mean,5,0.900614314790511,0.003997525867502805,0.5313369825711074,0.03204082315112256,0.3689473684210526,0.025810947021556244,0.01146551724137931,0.005141791537395397,0.6310526315789474,0.025810947021556244
banking77,0.25,mahalanobis_diag_mean_std,5,0.9205598966754222,0.0045096055461324395,0.7114966831111289,0.030328603017370847,0.616842105263158,0.03248961052773284,0.04017241379310345,0.004735497919645609,0.3831578947368421,0.03248961052773283
banking77,0.5,euclidean_mean,5,0.7499368546965275,0.006406834213942432,0.48600815327809965,0.02507951184173856,0.3340789473684211,0.021391192170916416,0.010897435897435897,0.004902903378454601,0.6659210526315789,0.021391192170916416
banking77,0.5,euclidean_mean_std,5,0.7995330718663713,0.007394173758361308,0.6821940912906762,0.015366532376046063,0.5728947368421052,0.018452745293431706,0.05679487179487179,0.015321719725018416,0.42710526315789477,0.0184527452934317
banking77,0.5,mahalanobis_diag_mean,5,0.7436267247925106,0.006774352895816721,0.4506540373076991,0.02654711928676523,0.3026315789473684,0.022580266186487515,0.006025641025641026,0.0028161387995498458,0.6973684210526316,0.022580266186487515
banking77,0.5,mahalanobis_diag_mean_std,5,0.7939747596576892,0.007797331809627127,0.6480972658162543,0.01976537364287046,0.5218421052631579,0.020199618424305312,0.034999999999999996,0.008702380518741133,0.47815789473684217,0.020199618424305302
banking77,0.75,euclidean_mean,5,0.4763444315858617,0.004103773735430716,0.42392825044969384,0.01695295795086065,0.2876724137931035,0.012201397797159091,0.0076315789473684215,0.003767847648230619,0.7123275862068965,0.012201397797159091
banking77,0.75,euclidean_mean_std,5,0.5472226642871021,0.004504020578926504,0.6306726513208039,0.02206122947444366,0.5128448275862069,0.024389468327116692,0.06315789473684211,0.029670979694157055,0.48715517241379314,0.02438946832711671
banking77,0.75,mahalanobis_diag_mean,5,0.4661917681188867,0.002168131535645237,0.3846467063538503,0.014166877110734643,0.2554310344827586,0.010414635156638846,0.005263157894736842,0.0037216146378239337,0.7445689655172414,0.010414635156638846
