class_count,uniform_probability,maximum_true_probability,uniform_ce,minimum_possible_ce,probability_headroom
5,0.2,0.24300137024939306,1.6094379124341003,1.4146881967710958,0.043001370249393045
8,0.125,0.14147983067742112,2.0794415416798357,1.9555981114407308,0.01647983067742112
10,0.1,0.11045386335810778,2.3025850929940455,2.203157371383621,0.010453863358107773
11,0.09090909090909091,0.09951858699236991,2.3978952727983707,2.307410848319858,0.008609496083279003
13,0.07692307692307693,0.08305280190091957,2.5649493574615367,2.4882787059733324,0.006129724977842643
14,0.07142857142857142,0.07670185683580795,2.639057329615259,2.56782936183015,0.005273285407236525
15,0.06666666666666667,0.07125106001949333,2.70805020110221,2.6415455824774727,0.004584393352826663
19,0.05263157894736842,0.055471514853590365,2.9444389791664407,2.891885635866754,0.0028399359062219465
38,0.02631578947368421,0.02701724781412683,3.6375861597263857,3.6112798089981184,0.0007014583404426206
55,0.01818181818181818,0.01851536323764582,4.007333185232471,3.9891544462486017,0.0003335450558276387
57,0.017543859649122806,0.01785431305641916,4.04305126783455,4.025510172133189,0.0003104534072963551
58,0.017241379310344827,0.017541175893466356,4.060443010546419,4.043204253608694,0.00029979658312152824
74,0.013513513513513514,0.013697350814463952,4.304065093204169,4.290552836053691,0.00018383730095043738
75,0.013333333333333334,0.013512285279017214,4.31748811353631,4.304155986687584,0.00017895194568388027
109,0.009174311926605505,0.009258863582267216,4.6913478822291435,4.682173961152446,8.45516556617111e-05
110,0.00909090909090909,0.009173927029019681,4.700480365792417,4.691389836946085,8.301793811059041e-05
111,0.009009009009009009,0.009090534584710597,4.709530201312334,4.700521562322816,8.152557570158779e-05
