dataset,kir,seed,metric_max_abs_delta,score_max_abs_delta,accepted_label_mismatch,diagnostic_label_mismatch,passed,reference_metrics_sha256,reference_predictions_sha256
banking77,0.5,87,0.0,4.440892098500626e-16,0,0,True,e79437d915f9791e4db36cda9746b2d1a12566aec1343e0ead3da3937dbe314f,0ee3d5538d8bcd1c5d09f387e484c7b0fc14a8d87ff00a96751a2a3c228786e7
banking77,0.5,100,0.0,4.440892098500626e-16,0,0,True,2742979c27af4fc0daa2e871863791337ef84eb5725bf2beface28af09d9698b,0c2693c3baf86cfcaea8d067ac1ffa937d30622bc7b0acf6198b9d8a2441d3fe
banking77,0.5,123,0.0,4.440892098500626e-16,0,0,True,9c057dd6d378edf0a586ece9f10eac7721e837fcf8c3e1cd33d5e904894b27d7,5b40eba05d7fa9798e5be5a9ff71a641c86f698f2db1754d7d4b83ea385f057a
banking77,0.75,13,0.0,4.440892098500626e-16,0,0,True,b9c8eb9214416bd76b782565dd1c167734f9f353cdf56968317913dd06aba9f1,c1a5d65d29af20a0103172be1f3b52895549626cc180d0435b2acf3bb623a534
banking77,0.75,42,0.0,4.440892098500626e-16,0,0,True,d5694a9f258196e66d0b38b61912c3b48b0ee3fc1906a08126952d56023dfa0d,a29a734de2a9968dae09ccf7d55700b19317594f3605b9940c7aae4b94bae468
banking77,0.75,87,0.0,4.440892098500626e-16,0,0,True,c1c85167096dadaf18ec6ef0cc19e1a7006d1337b9e5191297cfd930b13f4bb5,d5c814d51b42ef845ff4ebc938780bb798feb3ea683de66f3259683c8950f612
banking77,0.75,100,0.0,4.440892098500626e-16,0,0,True,72e0519175a715fddb8d5b133646c7764010ef3e92cadfe756dd5f4118bb453b,0ed8b90fadabffdd74f995c5d487eb635563c4a2b288ab0a4913c178e9ba34b8
banking77,0.75,123,0.0,4.440892098500626e-16,0,0,True,72cf038038082e2dfbba08d3dab68a23c2bd096ef5cc96706f4f2f224823b555,73bdb02610e5b0a1f4ca830eff728ef198837e2a5372e8460bf5359fbb3e5023
stackoverflow,0.25,13,0.0,2.220446049250313e-16,0,0,True,3508b412ca7ddce619ac7318b189b7fb89aefe501bd927df387e3a5f14b3a98f,abd82f00e6c6f4a9a649d7b18a0491644d68f83fca2cc6ab5fae52452bd93d40
stackoverflow,0.25,42,0.0,2.220446049250313e-16,0,0,True,c019d5e6d441039f7261628e1bbf3bab6b579d680aa14da582e31759657e1a8e,0ba962e76ee72121083be9493756995675b0fa6355c308e0a67f3881d0f10b80
stackoverflow,0.25,87,0.0,2.220446049250313e-16,0,0,True,243233b0c912541b4c45795529e0177c9f831e66e216158f84e69c67b063e362,6af72f461691b78f94ccc12d2e28fb62deb0651866bc58fad5007b5af3adb419
stackoverflow,0.25,100,0.0,2.220446049250313e-16,0,0,True,59f0dbb7331f0931fb6c763c5155db0f70780c3304b8e1b0ab8262de8c24b070,956c8ffbd2aa7bdbea73feee59220d54e2c753d46787700f860bfb1ec5e132a8
stackoverflow,0.25,123,0.0,2.220446049250313e-16,0,0,True,08f874a35278b9c3820a9f45c41b5bc44f7aeb02e1422be4589c57820046d9b1,323b0cd2193624bec099b8278d0a8776be86a3275eb0d150c49b93e28a550cf7
