dataset,kir,loss_variant,mean_loss_mean,mean_loss_std,mean_true_probability_mean,mean_true_probability_std,mean_probability_margin_mean,mean_probability_margin_std,nearest_class_accuracy_mean,nearest_class_accuracy_std,mean_gradient_l2_mean,mean_gradient_l2_std,mean_distance_span_mean,mean_distance_span_std
banking77,0.25,official_l1,2.9201312309559246,0.00024555217687569894,0.05392831058839268,1.3197108776105095e-05,0.0007578474131665,3.496127753836648e-05,0.928515625,0.011459535477895286,0.048047308845376856,0.0003306728364804942,0.6966177566801652,0.016326945352867085
banking77,0.25,raw_tau_0.05,0.23167521246311001,0.04172238824186674,0.8968172988763019,0.010757177288061413,0.8307271463320124,0.01931533731877894,0.928515625,0.011459535477895286,2.530946374654892,0.27654487837493774,0.6966177566801652,0.016326945352867085
banking77,0.25,raw_tau_0.10,0.3856841937927558,0.023382224940055006,0.7616951302650528,0.007711689296006557,0.6819043933066574,0.01531966481243413,0.928515625,0.011459535477895286,2.601883862684104,0.09846512454217568,0.6966177566801652,0.016326945352867085
banking77,0.25,raw_tau_0.20,1.0108254908449352,0.012006844767060458,0.41173384536184443,0.0028245144025182047,0.3170953518926658,0.006776781130964557,0.928515625,0.011459535477895286,3.0578617349908255,0.015258054660748008,0.6966177566801652,0.016326945352867085
banking77,0.25,raw_tau_0.50,2.0170517081523984,0.007126118776368553,0.13877566138324202,0.0008375840560011354,0.06315399436344504,0.0017865445790743385,0.928515625,0.011459535477895286,1.772155314546453,0.001513949705227966,0.6966177566801652,0.016326945352867085
banking77,0.25,raw_tau_1.00,2.462717766183895,0.004183188259600579,0.08624111438335222,0.0003295474230749024,0.02219046118413264,0.0007906367934623584,0.928515625,0.011459535477895286,0.939100407492281,0.0003119603883685955,0.6966177566801652,0.016326945352867085
banking77,0.5,official_l1,3.6250852865991354,0.00025152497449660785,0.026647067528530976,6.70409318104393e-06,0.00015278427885026,6.058726331876261e-06,0.878125,0.012962924614097746,0.02371062786643264,9.706174628367151e-05,0.7307795051284857,0.013777063920211295
banking77,0.5,raw_tau_0.05,0.39798030956231234,0.038792521141678964,0.8323083327019262,0.013013080033367243,0.7339277699488244,0.020083725272126037,0.878125,0.012962924614097746,4.027822857112193,0.3090700020711193,0.7307795051284857,0.013777063920211295
banking77,0.5,raw_tau_0.10,0.6233890730828814,0.03213246093392942,0.6581489245263656,0.015231772271975454,0.5658620338420075,0.018911357756445812,0.878125,0.012962924614097746,3.648759987622674,0.1617501453306543,0.7307795051284857,0.013777063920211295
banking77,0.5,raw_tau_0.20,1.4651519145437453,0.03856190565244679,0.2817288007935837,0.01067839139614194,0.20514782345927784,0.011089333183597542,0.878125,0.012962924614097746,3.66911542126932,0.0536296666591691,0.7307795051284857,0.013777063920211295
banking77,0.5,raw_tau_0.50,2.64145957179216,0.02219810213739391,0.07535078285901324,0.001786655211881746,0.030583277214490456,0.0016090362659832924,0.878125,0.012962924614097746,1.8756699534793673,0.0035692145484338424,0.7307795051284857,0.013777063920211295
banking77,0.5,raw_tau_1.00,3.1256354733281584,0.011756869677905457,0.04458697537552162,0.0005436279056246896,0.00993072218149198,0.00046774184468725583,0.878125,0.012962924614097746,0.9684138764384658,0.000544902338115021,0.7307795051284857,0.013777063920211295
banking77,0.75,official_l1,4.0345472328964105,0.021785474262802754,0.017697152993355843,0.0003890436938730912,5.6964966162079004e-05,2.046142221747449e-06,0.83828125,0.01723017163864787,0.015621740478463958,0.00033865379518891034,0.7573966756271473,0.015480083517894927
banking77,0.75,raw_tau_0.05,0.620172566372798,0.0776736403849461,0.7845564953379397,0.018796496428066318,0.6612353940661714,0.030876151265244484,0.83828125,0.01723017163864787,5.1470965102041815,0.45985489634326454,0.7573966756271473,0.015480083517894927
banking77,0.75,raw_tau_0.10,0.8391793132514532,0.04685299293840836,0.5927137775125304,0.011241241115260666,0.4922057044571667,0.016679235710766818,0.83828125,0.01723017163864787,4.308954594296718,0.12636738358422084,0.7573966756271473,0.015480083517894927
banking77,0.75,raw_tau_0.20,1.783620458600474,0.018596811460370052,0.21941695329414596,0.003206561143572203,0.15286912179372672,0.0035331384092969717,0.83828125,0.01723017163864787,3.9619770742208686,0.015445682219016411,0.7573966756271473,0.015480083517894927
banking77,0.75,raw_tau_0.50,3.0263165467271795,0.013903804762225632,0.0519351954263933,0.0007354804892185491,0.019211571901446463,0.0004146592218616224,0.83828125,0.01723017163864787,1.914097198542607,0.0011433532174839143,0.7573966756271473,0.015480083517894927
banking77,0.75,raw_tau_1.00,3.5224239385780636,0.017074814848089613,0.030084320075226816,0.0005179209459515406,0.00593861258425548,0.00016229377376644473,0.83828125,0.01723017163864787,0.9786637404652432,0.0003365020112360945,0.7573966756271473,0.015480083517894927
clinc150,0.25,official_l1,3.626300463078318,0.00019547605156389138,0.02661461142890418,5.187436261973316e-06,0.00017856386701083998,6.065939139028668e-06,0.9744140625,0.008035157199501661,0.022520646693879882,6.521188302465533e-05,0.6496118351041817,0.004265331021621249
clinc150,0.25,raw_tau_0.05,0.11639030806024794,0.027340629328596752,0.9267181152665982,0.014393168559384701,0.8918013449177715,0.022457759520586252,0.9744140625,0.008035157199501661,1.6889796187497974,0.34323075622839616,0.6496118351041817,0.004265331021621249
clinc150,0.25,raw_tau_0.10,0.46748364415809573,0.04512230305253366,0.6885053037488378,0.0204770859416673,0.6332448425203956,0.025139135621565188,0.9744140625,0.008035157199501661,3.2360285148741497,0.21508147558119195,0.6496118351041817,0.004265331021621249
clinc150,0.25,raw_tau_0.20,1.475743118321713,0.037379820344072494,0.26089864551989067,0.005241850015366803,0.20422009416023776,0.005836087125174019,0.9744140625,0.008035157199501661,3.7581375848198997,0.026438583209232282,0.6496118351041817,0.004265331021621249
clinc150,0.25,raw_tau_0.50,2.681015334588543,0.01609592183728614,0.07102160665169735,0.0008067378808070223,0.03256532955708624,0.0009321128561085709,0.9744140625,0.008035157199501661,1.8836047546703398,0.0016239165345468495,0.6496118351041817,0.004265331021621249
clinc150,0.25,raw_tau_1.00,3.150048671371399,0.008166902258240183,0.0432683862918528,0.0003008307015427357,0.01126900672231774,0.0003526657151341227,0.9744140625,0.008035157199501661,0.969656821967219,0.0003042686093245267,0.6496118351041817,0.004265331021621249
clinc150,0.5,official_l1,4.30351799552133,0.0074614440466953,0.01352123275137638,0.00010074888656580232,4.1999840420256725e-05,2.640207136196128e-06,0.9490234375,0.01748837766265026,0.01139693264654454,8.060372690506686e-05,0.6795601597679177,0.012546483371262978
clinc150,0.5,raw_tau_0.05,0.23355269928531372,0.046764759124600645,0.8810436235105046,0.019312541465295607,0.8285232988191215,0.027768896861302256,0.9490234375,0.01748837766265026,2.709614109615699,0.43723379027910075,0.6795601597679177,0.012546483371262978
clinc150,0.5,raw_tau_0.10,0.712049738376221,0.05922000990420295,0.5917274274225806,0.020290798257859257,0.5358025498711699,0.024830059340775184,0.9490234375,0.01748837766265026,4.188860308524523,0.2136773345669168,0.6795601597679177,0.012546483371262978
clinc150,0.5,raw_tau_0.20,1.9669613542293518,0.050006818851790806,0.17145454627153306,0.006523463069924632,0.13169367461208217,0.007559902208337277,0.9490234375,0.01748837766265026,4.179069591882429,0.03303348384876922,0.6795601597679177,0.012546483371262978
clinc150,0.5,raw_tau_0.50,3.3025100084766974,0.025476617482091478,0.038572216307325755,0.0009005539218929607,0.016831306343365878,0.0009948934508706747,0.9490234375,0.01748837766265026,1.9362900609359333,0.0017367223559938468,0.6795601597679177,0.012546483371262978
clinc150,0.5,raw_tau_1.00,3.7991589049279226,0.015900372909181115,0.02266910350498576,0.00034818712682590565,0.00552980435134226,0.0003280840698284958,0.9490234375,0.01748837766265026,0.9840097183898908,0.0003085873023738022,0.6795601597679177,0.012546483371262978
clinc150,0.75,official_l1,4.700096304228117,0.008157248184945322,0.00909465187347128,7.441878792291396e-05,1.7479212253036876e-05,4.3220150749029447e-07,0.9216796875,0.004754164626811745,0.0076251199018480004,6.182457466405583e-05,0.6938413275163109,0.008931370683936556
clinc150,0.75,raw_tau_0.05,0.33782007725009133,0.023012859700041393,0.842318988804139,0.00660420897179223,0.7786922015663948,0.009303936089438665,0.9216796875,0.004754164626811745,3.53385575017219,0.14236489712647965,0.6938413275163109,0.008931370683936556
