dataset,kir,workpoint,radius_multiplier_mean,radius_multiplier_std,calibration_known_recall_mean,calibration_known_recall_std,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,f1_k_mean,f1_k_std,accuracy_mean,accuracy_std,id_recall_mean,id_recall_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std,auroc_mean,auroc_std,aupr_oos_mean,aupr_oos_std
banking77,0.25,calibration_coverage_0.80,1.3855766121003046,0.061329587191627545,0.7988653460526469,0.0010967028425937807,0.8409018664347027,0.05115300235574721,0.6796177718241759,0.06934827080694679,0.6711291352657272,0.07037707131374783,0.7766883116883117,0.06388493395662183,0.8034210526315789,0.02005446185872891,0.22508620689655165,0.0778673068700301,0.19657894736842102,0.02005446185872892,0.8690423094373866,0.025547650029819256,0.9361930928934459,0.01572097021701168
banking77,0.25,calibration_coverage_0.85,1.4440673186368502,0.05500705937570281,0.8481481213760006,0.0012800901676231929,0.8004027685633861,0.05808469594684182,0.6544622955881618,0.06936705013485844,0.6467812180631501,0.07009042299929831,0.7318831168831169,0.06773640846852261,0.8410526315789474,0.022414812573713038,0.29508620689655174,0.0794914536346597,0.1589473684210526,0.02241481257371296,0.8690423094373866,0.025547650029819256,0.9361930928934459,0.01572097021701168
banking77,0.25,calibration_coverage_0.90,1.5410117320228136,0.05193709453658166,0.8982468344782655,0.0013625153217566024,0.7028565218410695,0.05808255134803909,0.6036003763048184,0.05627967405412372,0.5983763686450159,0.056545513667259184,0.6358441558441559,0.05843280959044757,0.8952631578947369,0.018079541091913315,0.4371551724137931,0.06953188773939656,0.1047368421052631,0.01807954109191332,0.8690423094373866,0.025547650029819256,0.9361930928934459,0.01572097021701168
banking77,0.25,calibration_coverage_0.95,1.7186338331119635,0.12186369915632278,0.9475296098016193,0.0008794775407004961,0.46788356815108506,0.13535247278930831,0.5155630770792758,0.06510229326588043,0.5180725249176016,0.06224126811816816,0.4596753246753247,0.08583515435054284,0.95,0.012023465054274382,0.6817241379310344,0.1086803681158336,0.04999999999999996,0.012023465054274396,0.8690423094373866,0.025547650029819256,0.9361930928934459,0.01572097021701168
banking77,0.25,default_radius,1.0,0.0,0.3572754290953093,0.05184460355313402,0.9029919725157672,0.004345545482740943,0.5587572321670984,0.029774536226248104,0.5406396142540106,0.031148861337724744,0.8401948051948052,0.0074900845233082216,0.3997368421052631,0.022626223356528193,0.01499999999999994,0.0064106870491649265,0.6002631578947368,0.022626223356528186,0.8690423094373866,0.025547650029819256,0.9361930928934459,0.01572097021701168
banking77,0.5,calibration_coverage_0.80,1.4973218480343093,0.00861183735639955,0.799345191585536,0.0005524310541583704,0.7038634021407306,0.029860043289215044,0.7209576265053848,0.015156069834261805,0.7214074745149809,0.014892377332865891,0.7042857142857143,0.022404244245887453,0.8202631578947368,0.013645567908508145,0.361025641025641,0.043140597018482635,0.17973684210526314,0.013645567908508124,0.8356215418353576,0.012156138383550072,0.7871540272941482,0.01726301690179925
banking77,0.5,calibration_coverage_0.85,1.5870976513690265,0.01662713097501941,0.8494061841123454,0.0008498414136598507,0.623686946116193,0.045747418272258575,0.7045281098455008,0.015514940681106714,0.7066555088910089,0.01486780215131289,0.6566233766233767,0.02929068118101557,0.8715789473684211,0.01694893135977097,0.4884615384615385,0.05717539079267007,0.12842105263157894,0.01694893135977095,0.8356215418353576,0.012156138383550072,0.7871540272941482,0.01726301690179925
banking77,0.5,calibration_coverage_0.90,1.6897424140116424,0.026176044014476426,0.8986549963789642,0.0002847003255217313,0.5112829142320454,0.027783702163072858,0.6785456206527393,0.010967796464104044,0.6829472708217048,0.010649922231190186,0.5980519480519481,0.017307052603672202,0.9146052631578947,0.011255577257101579,0.6276923076923077,0.02527543862135021,0.08539473684210522,0.011255577257101548,0.8356215418353576,0.012156138383550072,0.7871540272941482,0.01726301690179925
banking77,0.5,calibration_coverage_0.95,1.8477800292301267,0.05268520739013994,0.9491200293098141,0.000563121315785047,0.3273727324544052,0.02947916860970128,0.6463659282844106,0.006989160115587566,0.6547604860694107,0.00645598306539649,0.5247402597402597,0.011051845040495402,0.9532894736842106,0.011376063464335893,0.795,0.02267002382610427,0.04671052631578942,0.011376063464335921,0.8356215418353576,0.012156138383550072,0.7871540272941482,0.01726301690179925
banking77,0.5,default_radius,1.0,0.0,0.30251184312721874,0.024199847648368383,0.7499368546965275,0.006406834213942418,0.48600815327809965,0.02507951184173857,0.47906266113550944,0.025582384875183526,0.6651298701298701,0.01093003941032308,0.33407894736842103,0.02139119217091644,0.01089743589743584,0.004902903378454608,0.6659210526315789,0.021391192170916395,0.8356215418353576,0.012156138383550072,0.7871540272941482,0.01726301690179925
banking77,0.75,calibration_coverage_0.80,1.5734804195387722,0.0426785097232521,0.7995217593358986,0.0004758198583554944,0.5287792142058547,0.03500684204167804,0.7311707893991077,0.02542253772308152,0.7346602993162328,0.025614600426924056,0.6885064935064935,0.017909604166571426,0.8043965517241378,0.017174979901055668,0.42552631578947364,0.047873766374969956,0.19560344827586204,0.017174979901055615,0.7977400181488203,0.020251212273134873,0.4766882118952923,0.03278835104006226
banking77,0.75,calibration_coverage_0.85,1.666562511993428,0.04529564192937553,0.849576437150288,0.0005589658621126693,0.4712026565122325,0.02979073771660086,0.7297228098628731,0.027717463942911975,0.7341800538861599,0.028116792740063363,0.678051948051948,0.017356621765466384,0.8526724137931033,0.01667830548825548,0.5531578947368422,0.031819261053035466,0.1473275862068965,0.01667830548825547,0.7977400181488203,0.020251212273134873,0.4766882118952923,0.03278835104006226
banking77,0.75,calibration_coverage_0.90,1.8000737527281419,0.07568799810910015,0.8993586354006446,0.0005126887230117985,0.357866874298799,0.02541263803895517,0.7215524654253958,0.03168906491881992,0.7278229066517163,0.03182436942413195,0.6572727272727272,0.02111463263355038,0.9056034482758621,0.014499041544443212,0.7189473684210527,0.02586120529012852,0.09439655172413788,0.014499041544443236,0.7977400181488203,0.020251212273134873,0.4766882118952923,0.03278835104006226
banking77,0.75,calibration_coverage_0.95,2.002240624324032,0.07311362375178009,0.9494133132150339,0.0005822548198324714,0.22338068793265956,0.03258123181077142,0.7126238840010559,0.030401390364555053,0.7210591115194764,0.03073452037788672,0.6391558441558441,0.020143742601553407,0.953103448275862,0.010520244059777745,0.8560526315789474,0.023438048239201977,0.04689655172413788,0.010520244059777754,0.7977400181488203,0.020251212273134873,0.4766882118952923,0.03278835104006226
banking77,0.75,default_radius,1.0,0.0,0.25963774465336986,0.012704590299878424,0.4763444315858617,0.0041037737354307265,0.42392825044969384,0.016952957950860666,0.4230245231887255,0.01717652787796857,0.4599350649350649,0.009159067315142913,0.2876724137931034,0.012201397797159093,0.00763157894736838,0.003767847648230625,0.7123275862068965,0.012201397797159093,0.7977400181488203,0.020251212273134873,0.4766882118952923,0.03278835104006226
clinc150,0.25,calibration_coverage_0.80,1.2325458058290155,0.038022270841342534,0.8,0.0,0.9133190181081531,0.02004884260594773,0.7514623983787464,0.02604503024407732,0.7472030136490252,0.026261460697611032,0.8650877192982456,0.028560412069520192,0.8050877192982456,0.025802001969469433,0.11802631578947367,0.036755000936947876,0.19491228070175437,0.025802001969469374,0.9060657894736842,0.014568116456954692,0.963469654341278,0.00732799147890243
