method,dataset,kir,seeds,reported_known,reported_open,reported_f1_score,accuracy,metric_contract,status,contract_layer,direct_comparable,source
MOGB-official-fixed-local,stackoverflow,0.50,0,51.5333,79.9676,68.3502,75.1667,mode_manifest_normalized,complete_local_compatibility_not_strict,official_mogb_bert_local,false,../artifacts/s2c/external/mogb_exact_reproduction_v1/audit/official_fixed/mode_manifest.json
MOGB-corrected-loss-diagnostic,stackoverflow,0.50,0,59.2000,80.9571,72.6392,77.2500,mode_manifest_normalized,complete_adapted_diagnostic_not_official,official_mogb_bert_corrected_loss,false,../artifacts/s2c/external/mogb_corrected_subcentroid_loss_v1/audit/official_fixed/mode_manifest.json
MOGB-official-fixed-local,banking77,0.75,0,43.7069,53.1049,59.1627,57.0779,mode_manifest_normalized,complete_local_compatibility_not_strict,official_mogb_bert_local,false,../artifacts/s2c/external/mogb_exact_reproduction_banking_v1/audit/official_fixed/mode_manifest.json
MOGB-official-logic-compat,stackoverflow,0.50,13|42|87|100|123,37.5916,72.0512,40.7243,61.4880,native_results_csv,complete_non_strict_five_seed,official_mogb_logic_compatibility,false,../artifacts/s2c/external/mogb_official_converged_v1/stackoverflow/kir_0.50/seed_42/results/results.csv
MOGB-official-logic-compat,banking77,0.50,13|42|87|100|123,17.9685,69.2843,19.2843,55.4880,native_results_csv,complete_non_strict_five_seed,official_mogb_logic_compatibility,false,../artifacts/s2c/external/mogb_official_converged_v1/banking77/kir_0.50/seed_42/results/results.csv
MOGB-official-logic-smoke,stackoverflow,0.50,0,9.4776,67.3376,14.7376,51.7000,native_results_csv,one_epoch_engineering_smoke,official_mogb_logic_smoke,false,../artifacts/s2c/external/mogb_official_modernized_smoke_v1/stackoverflow/kir_0.50/seed_0/results/results.csv
MOGB-official-logic-smoke,banking77,0.50,0,,,,,native_results_csv,blocked_no_metric,official_mogb_logic_smoke,false,../artifacts/s2c/external/mogb_official_modernized_smoke_v1/MOGB_OFFICIAL_MODERNIZED_CLOSEOUT.md
