dataset,kir,method,method_label,oos_f1,f1_all,f1_k,known_recall,false_accept_rate,false_reject_rate,accuracy,auroc,aupr_oos,oos_f1_std,f1_all_std,f1_k_std,known_recall_std,false_accept_rate_std,false_reject_rate_std,accuracy_std,auroc_std,aupr_oos_std,n_seeds,oos_recall,oos_precision,contract_layer,backbone,supervision,dataset_label
banking77,0.5,fixed_k2,Frozen K=2,0.7546157036165422,0.7616393362174011,0.7618241686542658,0.8255263157894737,0.2905128205128205,0.1744736842105262,0.7479220779220779,0.859762230094467,0.8357888390365009,0.0215285367758311,0.0108726299811063,0.0107594872427671,0.0070305526354697,0.0354812180037863,0.0070305526354697,0.0152054158756485,0.0130023739824995,0.014816779192299,5,0.7094871794871795,0.8058752043612318,same_protocol_fair,MiniLM,Known-only,Banking77
banking77,0.5,mogb_minilm,MOGB-MiniLM,0.7499368546965275,0.4860081532780996,0.4790626611355094,0.334078947368421,0.0108974358974358,0.6659210526315789,0.6651298701298701,0.8356215418353576,0.7871540272941482,0.0064068342139424,0.0250795118417385,0.0255823848751835,0.0213911921709164,0.0049029033784546,0.0213911921709163,0.010930039410323,0.01215613838355,0.0172630169017992,5,0.9891025641025643,0.6039107920425767,same_protocol_fair,MiniLM,Known-only,Banking77
banking77,0.5,mogb_partition_ours_boundary,MOGB partition + S2C,0.7939747596576892,0.6480972658162543,0.6442583843993744,0.5218421052631579,0.0349999999999999,0.478157894736842,0.7438311688311688,0.8545895748987855,0.8139938584826117,0.0077973318096271,0.0197653736428704,0.0201208439280535,0.0201996184243053,0.0087023805187411,0.0201996184243053,0.0110747129226042,0.0097539777511057,0.0169721789187636,5,0.9650000000000001,0.6744442076294013,same_protocol_fair,MiniLM,Known-only,Banking77
banking77,0.5,ours_partition_mogb_boundary,S2C partition + MOGB,0.7885946611939285,0.656780700176241,0.6533119117284072,0.5325,0.0524358974358973,0.4674999999999999,0.7361038961038961,0.8464349696356275,0.8202411325534655,0.0085797589949226,0.0089036447804177,0.0089557547104225,0.0121541490014783,0.0163266600705664,0.0121541490014783,0.0087161871074855,0.0166102618896072,0.0199523512667995,5,0.9475641025641027,0.6753017082195661,same_protocol_fair,MiniLM,Known-only,Banking77
banking77,0.5,random_partition,Random K=2,0.7162208519261768,0.7472005675171391,0.7480158231905856,0.8596052631578948,0.365,0.1403947368421051,0.7205194805194806,0.8556884278002699,0.8304466815067443,0.0266833601056732,0.0168560697258921,0.0167262071378153,0.0072904711458921,0.0407608643245763,0.0072904711458921,0.0200910811869827,0.0118790213864915,0.0114696003051765,5,0.635,0.8212664607452749,same_protocol_fair,MiniLM,Known-only,Banking77
banking77,0.5,single_centroid,Frozen single,0.7242801509490058,0.7451394438761987,0.7456883726374406,0.8501315789473685,0.3484615384615384,0.1498684210526315,0.7238961038961038,0.85260754048583,0.827576850284049,0.0276733097416231,0.0165786076727643,0.0164100507474245,0.0105098555514294,0.0436147175818391,0.0105098555514294,0.0211632531890922,0.0102615431735664,0.0076461047118987,5,0.6515384615384616,0.8153058171649031,same_protocol_fair,MiniLM,Known-only,Banking77
banking77,0.5,trainable_k1,S2C Trainable K=1,0.8356406184886493,0.8167355797722488,0.816238078753396,0.8221052631578948,0.1574358974358974,0.1778947368421052,0.8216883116883118,0.9014173414304992,0.8863032438146086,0.0182511445458114,0.0104830552152985,0.0103370998388801,0.0048030821706431,0.0343460557420522,0.0048030821706431,0.0152638844883759,0.0111158505138441,0.0109311705481196,5,0.8425641025641026,0.8288299898156692,same_protocol_fair,MiniLM,Known-only,Banking77
clinc150,0.5,fixed_k2,Frozen K=2,0.892005798496586,0.8009431390043901,0.7997289702111607,0.7513777777777777,0.0644057971014492,0.2486222222222222,0.856561403508772,0.924975458937198,0.9370482791886308,0.0026452264822166,0.0099865931048649,0.0100984080398306,0.0131190183312361,0.0059310609271787,0.013119018331236,0.0044531693369707,0.0027687500462942,0.0035668588920184,5,0.9355942028985508,0.8522980778080446,same_protocol_fair,MiniLM,Known-only,CLINC150
clinc150,0.5,mogb_minilm,MOGB-MiniLM,0.8131951016346013,0.4495380038989019,0.4446892425957592,0.3157333333333333,0.0090434782608695,0.6842666666666666,0.7237894736842105,0.8764096876006441,0.8832486853189302,0.0029937394053626,0.017795263450771,0.0179936853620809,0.0136936499656854,0.0015255301295003,0.0136936499656854,0.0057689695389555,0.0076631744470653,0.0081901260266588,5,0.9909565217391305,0.6895085294403063,same_protocol_fair,MiniLM,Known-only,CLINC150
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + S2C,0.8555543863002324,0.645981713026754,0.6431874107164409,0.5334222222222222,0.0249855072463767,0.4665777777777777,0.7985263157894738,0.9052768824476652,0.9196825244395654,0.0041913194834265,0.0217267434825714,0.0219645803509541,0.0189773093879226,0.0032497394592867,0.0189773093879226,0.0072818642065027,0.0086433133537901,0.0096881534689542,5,0.9750144927536233,0.7621720290137844,same_protocol_fair,MiniLM,Known-only,CLINC150
