dataset,kir,delta_oos_f1,delta_known_recall,delta_false_accept_rate,delta_false_reject_rate,n_s2c_seeds,n_adb_seeds
banking77,0.25,0.08853275078245992,-0.0563157894736841,-0.1607758620689656,0.05631578947368421,5,5
banking77,0.5,0.08595857798983997,-0.06934210526315776,-0.17923076923076922,0.06934210526315789,5,5
banking77,0.75,0.023861219707857595,-0.07939655172413806,-0.1621052631578948,0.0793965517241379,5,5
clinc150,0.25,0.03565375508227997,-0.1735087719298245,-0.10346491228070182,0.1735087719298246,5,5
clinc150,0.5,0.01050969988181405,-0.16399999999999992,-0.1065507246376812,0.16399999999999998,5,5
clinc150,0.75,-0.01911211046391026,-0.16416666666666657,-0.1347008547008547,0.1641666666666666,5,5
stackoverflow,0.25,0.023441209538583974,0.007733333333333148,-0.041822222222222295,-0.0077333333333333976,5,5
stackoverflow,0.5,0.004587685884882897,0.02519999999999989,0.010733333333333303,-0.0252,5,5
stackoverflow,0.75,0.02604244842315473,0.032711111111111246,0.006799999999999903,-0.03271111111111111,5,5
