method,dataset,kir,oos_f1,oos_f1_std,f1_all,accuracy,known_recall,false_accept_rate,false_reject_rate,n_seeds,backbone,contract_layer
DA-ADB,stackoverflow,0.5,0.724751963943307,0.0624428338489039,0.7402448154852288,0.7223333333333333,0.7596666666666666,0.2906666666666667,0.2403333333333333,3,BERT/TextOIR,same_data_external_compatibility
S2C-Trainable-K1,stackoverflow,0.5,0.882099305880165,0.0171794516723691,0.8669365605576065,0.8723333333333333,0.8367777777777777,0.0817777777777777,0.1632222222222221,3,MiniLM,same_data_external_compatibility
ADB,stackoverflow,0.5,0.7496820404988094,0.0192406742906418,,,0.8914473684210525,0.3366666666666666,0.1085526315789473,5,BERT/TextOIR,external_backbone_reference
