dataset,method,known_cls_ratio,oos_f1,oos_f1_std,accuracy,known_f1,f1_all,n_seeds,dataset_label,contract_layer,backbone,supervision
banking,ADB,0.25,0.8411502237846099,0.02304294114991012,0.7826839826839826,0.7064041745358197,0.7131414769982592,3,Banking source key,textoir_native_compatibility,BERT/TextOIR,Known-only
banking,ADB,0.5,0.7865106061295885,0.0017202194656187025,0.792965367965368,0.8170930097780561,0.8163088455819416,3,Banking source key,textoir_native_compatibility,BERT/TextOIR,Known-only
banking,ADB,0.75,0.653805928950431,0.026723234745549232,0.8032467532467532,0.8558476042316472,0.8524231690573894,3,Banking source key,textoir_native_compatibility,BERT/TextOIR,Known-only
banking,DOC,0.25,0.7577788907864796,0.04868229925158889,0.6952380952380953,0.6588286927799637,0.6637762026802895,3,Banking source key,textoir_native_compatibility,BERT/TextOIR,Known-only
banking,DOC,0.5,0.7257390956627493,0.020349328262360696,0.7477272727272727,0.7878760320658723,0.786282777286305,3,Banking source key,textoir_native_compatibility,BERT/TextOIR,Known-only
banking,DOC,0.75,0.6419990358033952,0.017285364775053595,0.7914502164502165,0.842031985637483,0.8386415966572444,3,Banking source key,textoir_native_compatibility,BERT/TextOIR,Known-only
banking,MSP,0.25,0.4128980187218451,0.11155541693929852,0.4344155844155844,0.5238782350084662,0.5183292241941351,3,Banking source key,textoir_native_compatibility,BERT/TextOIR,Known-only
banking,MSP,0.5,0.4466851197541984,0.017417365958013145,0.6116883116883117,0.7342753179432585,0.7269012102973852,3,Banking source key,textoir_native_compatibility,BERT/TextOIR,Known-only
banking,MSP,0.75,0.5119110127289471,0.006451140483456998,0.7814935064935066,0.8559848804784443,0.8501531200081138,3,Banking source key,textoir_native_compatibility,BERT/TextOIR,Known-only
oos,ADB,0.25,0.9276479573423244,0.015740589691665856,0.8880116959064327,0.777981028961248,0.7818186425094806,3,CLINC150,textoir_native_compatibility,BERT/TextOIR,Known-only
oos,ADB,0.5,0.8922072261528883,0.009277866601900912,0.8712865497076024,0.8536785873752791,0.8541855431486688,3,CLINC150,textoir_native_compatibility,BERT/TextOIR,Known-only
oos,ADB,0.75,0.8523537365757087,0.007604528628484523,0.8714619883040936,0.8896653495916679,0.8893351583260399,3,CLINC150,textoir_native_compatibility,BERT/TextOIR,Known-only
oos,DOC,0.25,0.9222791426254435,0.014778621741127528,0.8804093567251462,0.7724619336469521,0.7763034005438366,3,CLINC150,textoir_native_compatibility,BERT/TextOIR,Known-only
oos,DOC,0.5,0.8836442094192712,0.0027369779107242,0.8616374269005848,0.8450644294274507,0.8455720581115536,3,CLINC150,textoir_native_compatibility,BERT/TextOIR,Known-only
oos,DOC,0.75,0.8428745105704638,0.004699965783393468,0.8625730994152047,0.881542281897104,0.8812000892304966,3,CLINC150,textoir_native_compatibility,BERT/TextOIR,Known-only
oos,MSP,0.25,0.6320192769536112,0.051168591466959935,0.5664327485380117,0.5217300140120772,0.5245579438310909,3,CLINC150,textoir_native_compatibility,BERT/TextOIR,Known-only
oos,MSP,0.5,0.6167993800114183,0.018824509366928623,0.6539181286549708,0.7160891769694039,0.7147827322725883,3,CLINC150,textoir_native_compatibility,BERT/TextOIR,Known-only
oos,MSP,0.75,0.6654906369343272,0.03856218905277273,0.7735087719298246,0.8420420967505882,0.8404796944513292,3,CLINC150,textoir_native_compatibility,BERT/TextOIR,Known-only
stackoverflow,ADB,0.25,0.9015921400644924,0.024927282295885835,0.8568333333333333,0.7688167454795107,0.7909459779103409,3,StackOverflow,textoir_native_compatibility,BERT/TextOIR,Known-only
stackoverflow,ADB,0.5,0.8698264740642864,0.023373904179488206,0.8568888888888889,0.847804383564716,0.8498063917919497,3,StackOverflow,textoir_native_compatibility,BERT/TextOIR,Known-only
stackoverflow,ADB,0.75,0.74629486396856,0.01407434334399062,0.8313333333333333,0.870055143618393,0.8623201261402783,3,StackOverflow,textoir_native_compatibility,BERT/TextOIR,Known-only
stackoverflow,DOC,0.25,0.6131110462919783,0.13179002321032532,0.5711111111111111,0.5851383834707602,0.5898004939409632,3,StackOverflow,textoir_native_compatibility,BERT/TextOIR,Known-only
stackoverflow,DOC,0.5,0.7167404987917974,0.0507632821412656,0.7398333333333333,0.7721496411377525,0.7671124463790294,3,StackOverflow,textoir_native_compatibility,BERT/TextOIR,Known-only
stackoverflow,DOC,0.75,0.6624069582590634,0.026112933226435847,0.8079999999999999,0.8566593138767044,0.8445185416506019,3,StackOverflow,textoir_native_compatibility,BERT/TextOIR,Known-only
stackoverflow,MSP,0.25,0.13467509357858032,0.03633216912948747,0.2876111111111111,0.44104952740590425,0.3899871217680169,3,StackOverflow,textoir_native_compatibility,BERT/TextOIR,Known-only
stackoverflow,MSP,0.5,0.33486943626951354,0.05366068790346434,0.552,0.6731722053253111,0.6424174081384204,3,StackOverflow,textoir_native_compatibility,BERT/TextOIR,Known-only
stackoverflow,MSP,0.75,0.3819974957746594,0.10486334867582608,0.7333333333333334,0.814786967308999,0.7877376253381029,3,StackOverflow,textoir_native_compatibility,BERT/TextOIR,Known-only
