dataset,kir,component,metric,n_seeds,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,bootstrap_seed,bootstrap_samples
stackoverflow,0.5,euclidean_mean_std,false_reject_rate,5,-0.2892,-0.2693333333333333,0.054072790446458976,-0.33666666666666667,-0.2576,0,0,5,20260725,10000
stackoverflow,0.5,euclidean_mean_std,accuracy,5,0.11103333333333332,0.09716666666666662,0.032958180572760155,0.08743333333333334,0.1377,5,0,0,20260725,10000
stackoverflow,0.5,euclidean_mean_std,auroc,5,0.062402266666666664,0.056122111111111206,0.0288143253314419,0.04299622222222219,0.08880177777777779,5,0,0,20260725,10000
stackoverflow,0.5,euclidean_mean_std,aupr_oos,5,0.08919534560563629,0.08684171186766498,0.03202937379719466,0.06418497530195895,0.11716906882046155,5,0,0,20260725,10000
stackoverflow,0.75,euclidean_mean_std,oos_f1,5,0.22679637572313677,0.22186401709598402,0.03214343689226095,0.2013291234777773,0.2528454686228274,5,0,0,20260725,10000
stackoverflow,0.75,euclidean_mean_std,f1_all,5,0.32351973426271385,0.33669921026639593,0.046165181292079395,0.28860849870232497,0.35843096982310285,5,0,0,20260725,10000
stackoverflow,0.75,euclidean_mean_std,f1_k,5,0.3299679581653523,0.34277656853488125,0.047493233511839504,0.29389974429454785,0.36776672098946406,5,0,0,20260725,10000
stackoverflow,0.75,euclidean_mean_std,id_recall,5,0.3961333333333334,0.41044444444444445,0.03686297617319686,0.3675111111111112,0.42475555555555566,5,0,0,20260725,10000
stackoverflow,0.75,euclidean_mean_std,false_accept_rate,5,0.0637333333333333,0.04466666666666659,0.0464222169033559,0.02786666666666664,0.09959999999999995,5,0,0,20260725,10000
stackoverflow,0.75,euclidean_mean_std,false_reject_rate,5,-0.39613333333333334,-0.41044444444444445,0.03686297617319688,-0.42475555555555566,-0.3675111111111111,0,0,5,20260725,10000
