dataset,kir,method,representation,boundary_source,oos_f1,f1_all,f1_k,id_recall,false_accept_rate,false_reject_rate,accuracy,auroc,aupr_oos,oos_f1_std,f1_all_std,f1_k_std,id_recall_std,false_accept_rate_std,false_reject_rate_std,accuracy_std,auroc_std,aupr_oos_std,n_seeds
banking77,0.25,euclidean_mean,frozen_minilm,mogb_component,0.9029919725157672,0.5587572321670984,0.5406396142540106,0.3997368421052631,0.01499999999999994,0.6002631578947368,0.8401948051948052,0.8690423094373866,0.9361930928934459,0.004345545482740943,0.029774536226248104,0.031148861337724744,0.022626223356528193,0.0064106870491649265,0.022626223356528186,0.0074900845233082216,0.025547650029819256,0.01572097021701168,5
banking77,0.25,euclidean_mean_std,frozen_minilm,mogb_component,0.9142495277743048,0.7131081311027104,0.7025217418042055,0.6494736842105263,0.0612931034482758,0.3505263157894737,0.8659740259740261,0.8800010208711434,0.9427130423824842,0.005409869261180804,0.03297227106321495,0.0344310762087158,0.03242560203897574,0.005094601488652548,0.032425602038975744,0.00972509642222929,0.02156149579896614,0.014192856051763717,5
banking77,0.25,mahalanobis_diag_mean,frozen_minilm,mogb_component,0.900614314790511,0.5313369825711074,0.5119013335069283,0.3689473684210526,0.01146551724137926,0.6310526315789474,0.8353896103896105,0.8891362295825772,0.9493217374739571,0.003997525867502814,0.03204082315112257,0.03354069965159745,0.02581094702155628,0.005141791537395393,0.025810947021556233,0.007157599897743058,0.013347129856345586,0.008310553810432953,5
banking77,0.25,mahalanobis_diag_mean_std,frozen_minilm,mogb_component,0.9205598966754222,0.7114966831111289,0.7004933560814293,0.616842105263158,0.0401724137931034,0.38315789473684203,0.8742857142857142,0.8916474591651543,0.9504326276363961,0.004509605546132505,0.03032860301737084,0.03172498444892061,0.03248961052773283,0.0047354979196455845,0.03248961052773284,0.007874297040858383,0.012543410063866606,0.006799150330955473,5
banking77,0.25,trainable_k1,trainable_minilm,s2c_k1,0.9165382964914104,0.7851015718978599,0.7781838495508309,0.8184210526315789,0.10327586206896547,0.18157894736842103,0.8752597402597402,0.922975612522686,0.9670141428061454,0.017976090268549384,0.02562200500192768,0.026107672824781616,0.007784315504078432,0.033607700850852316,0.007784315504078434,0.023364670465048185,0.014044005787949693,0.0059798894974264,5
banking77,0.5,euclidean_mean,frozen_minilm,mogb_component,0.7499368546965275,0.48600815327809965,0.47906266113550944,0.33407894736842103,0.01089743589743584,0.6659210526315789,0.6651298701298701,0.8356215418353576,0.7871540272941482,0.006406834213942418,0.02507951184173857,0.025582384875183526,0.02139119217091644,0.004902903378454608,0.021391192170916395,0.01093003941032308,0.012156138383550072,0.01726301690179925,5
banking77,0.5,euclidean_mean_std,frozen_minilm,mogb_component,0.7995330718663713,0.6821940912906762,0.6791062233807895,0.5728947368421052,0.056794871794871735,0.42710526315789477,0.7566883116883117,0.8447145748987854,0.8002225730703192,0.007394173758361315,0.015366532376046063,0.015674077109609757,0.01845274529343171,0.015321719725018421,0.018452745293431685,0.008740944763877304,0.009032928777716687,0.014736374300723422,5
banking77,0.5,mahalanobis_diag_mean,frozen_minilm,mogb_component,0.7436267247925106,0.450654037307699,0.4429442297423093,0.3026315789473684,0.006025641025640981,0.6973684210526316,0.6522077922077922,0.8488981950067476,0.8070250978181093,0.006774352895816725,0.026547119286765206,0.02707386560011314,0.022580266186487515,0.0028161387995498605,0.022580266186487515,0.011722982488889602,0.014199636134358457,0.020801861107167675,5
banking77,0.5,mahalanobis_diag_mean_std,frozen_minilm,mogb_component,0.7939747596576892,0.6480972658162543,0.6442583843993744,0.5218421052631579,0.03499999999999994,0.47815789473684206,0.7438311688311688,0.8545895748987855,0.8139938584826117,0.007797331809627128,0.019765373642870485,0.0201208439280535,0.020199618424305323,0.008702380518741112,0.020199618424305302,0.011074712922604237,0.009753977751105713,0.01697217891876366,5
banking77,0.5,trainable_k1,trainable_minilm,s2c_k1,0.8356406184886493,0.8167355797722488,0.816238078753396,0.8221052631578948,0.15743589743589742,0.17789473684210522,0.8216883116883118,0.9014173414304993,0.8863032438146086,0.01825114454581141,0.010483055215298541,0.010337099838880103,0.004803082170643177,0.034346055742052295,0.004803082170643149,0.015263884488375939,0.011115850513844113,0.010931170548119639,5
banking77,0.75,euclidean_mean,frozen_minilm,mogb_component,0.4763444315858617,0.42392825044969384,0.4230245231887255,0.2876724137931034,0.00763157894736838,0.7123275862068965,0.4599350649350649,0.7977400181488203,0.4766882118952923,0.0041037737354307265,0.016952957950860666,0.01717652787796857,0.012201397797159093,0.003767847648230625,0.012201397797159093,0.009159067315142913,0.020251212273134873,0.03278835104006226,5
banking77,0.75,euclidean_mean_std,frozen_minilm,mogb_component,0.5472226642871021,0.6306726513208039,0.6321114442006952,0.5128448275862069,0.06315789473684208,0.48715517241379314,0.6101948051948052,0.8031945326678767,0.48414648479301575,0.00450402057892655,0.022061229474443667,0.022421001516715403,0.024389468327116713,0.029670979694157038,0.02438946832711672,0.011879745458860391,0.01798180319891166,0.031234943562438337,5
banking77,0.75,mahalanobis_diag_mean,frozen_minilm,mogb_component,0.46619176811888663,0.38464670635385023,0.3832407570130738,0.2554310344827586,0.0052631578947367995,0.7445689655172414,0.4368831168831169,0.8126056034482758,0.5084103416646986,0.0021681315356452645,0.014166877110734657,0.014374341309227052,0.010414635156638846,0.0037216146378239046,0.010414635156638834,0.007111797879872765,0.019736581171057952,0.03656944936061024,5
banking77,0.75,mahalanobis_diag_mean_std,frozen_minilm,mogb_component,0.5313316683894659,0.5860713489392462,0.5870151365349321,0.45862068965517244,0.040526315789473646,0.5413793103448276,0.5781818181818181,0.8104557622504537,0.5045400009976453,0.005918725520325323,0.023848313965377746,0.02418144226771593,0.024356308956183872,0.019302232443044447,0.024356308956183896,0.014288296696932715,0.017405568283162302,0.03570777936063577,5
banking77,0.75,trainable_k1,trainable_minilm,s2c_k1,0.6865343253584566,0.8413111725848881,0.8439797389163782,0.8241379310344827,0.1960526315789473,0.1758620689655172,0.7968831168831169,0.8890411751361162,0.6985107098502167,0.02708454008995989,0.0077123704045817245,0.0074778817530542505,0.004054932698755789,0.0458076189092874,0.004054932698755768,0.012071199777073513,0.016986688566853328,0.03324601660180583,5
clinc150,0.25,euclidean_mean,frozen_minilm,mogb_component,0.9238361040438375,0.5224035964713533,0.5118395831141827,0.37105263157894736,0.006578947368420999,0.6289473684210527,0.8688771929824561,0.9060657894736842,0.963469654341278,0.0029534277865939165,0.032761230904904334,0.03354694706319405,0.026693200095970083,0.0021764729431227024,0.02669320009597005,0.005504132586605538,0.014568116456954692,0.00732799147890243,5
clinc150,0.25,euclidean_mean_std,frozen_minilm,mogb_component,0.9436326807582848,0.7380475306719918,0.7326373951434052,0.6601754385964913,0.03083333333333328,0.33982456140350875,0.9064561403508773,0.9334534472145275,0.9755439565368803,0.005310729051824191,0.02863769170817991,0.029262203719864783,0.03312840979970495,0.007174438548249596,0.033128409799704946,0.008969185646786027,0.012939282729297445,0.006292825917982395,5
clinc150,0.25,mahalanobis_diag_mean,frozen_minilm,mogb_component,0.9199555090496478,0.47425988769849514,0.4625310555576753,0.3275438596491228,0.00504385964912276,0.6724561403508772,0.861438596491228,0.9077009849184364,0.9648126094390875,0.0028252728347434174,0.03602418827574281,0.036898427378752555,0.028516193366005426,0.0015506727657599827,0.028516193366005426,0.005439162392742671,0.02328813734821135,0.010161123275710294,5
