k,distance,boundary,rule,fusion,fusion_weight,threshold,utility,known_coverage,known_correct_accept_rate,known_wrong_accept_rate
1,euclidean,mean_std_0.0,nearest_sphere,none,0.0,1.2181033230234433,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,none,0.25,1.2181033230234433,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,none,0.5,1.2181033230234433,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,none,1.0,1.2181033230234433,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,none,2.0,1.2181033230234433,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.0,1.2181033230234433,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.25,1.429449474566506,0.652,0.852,0.812,0.04
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.5,1.6471852307261885,0.662,0.852,0.814,0.038
1,euclidean,mean_std_0.0,nearest_sphere,ratio,1.0,2.116365712779663,0.672,0.852,0.816,0.036
1,euclidean,mean_std_0.0,nearest_sphere,ratio,2.0,3.045903915582984,0.692,0.852,0.82,0.032
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.0,1.2181033230234433,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.25,3.726253271641736,0.692,0.852,0.82,0.032
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.5,6.144246801203433,0.692,0.852,0.82,0.032
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,10.587399759177993,0.692,0.852,0.82,0.032
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,2.0,19.71535522721156,0.692,0.852,0.82,0.032
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.0,1.2181033230234433,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.25,1.2181033230234433,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.5,1.2181033230234433,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,1.0,1.2181033230234433,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,2.0,1.8041080050612783,0.692,0.852,0.82,0.032
1,euclidean,mean_std_0.0,normalized_union,none,0.0,1.2181033230234433,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,normalized_union,none,0.25,1.2181033230234433,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,normalized_union,none,0.5,1.2181033230234433,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,normalized_union,none,1.0,1.2181033230234433,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,normalized_union,none,2.0,1.2181033230234433,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,normalized_union,ratio,0.0,1.2181033230234433,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,normalized_union,ratio,0.25,1.429449474566506,0.652,0.852,0.812,0.04
1,euclidean,mean_std_0.0,normalized_union,ratio,0.5,1.6471852307261885,0.662,0.852,0.814,0.038
1,euclidean,mean_std_0.0,normalized_union,ratio,1.0,2.116365712779663,0.672,0.852,0.816,0.036
1,euclidean,mean_std_0.0,normalized_union,ratio,2.0,3.044769614885312,0.692,0.852,0.82,0.032
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.0,1.2181033230234433,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.25,3.612056210310982,0.652,0.852,0.812,0.04
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.5,5.900793746848616,0.652,0.852,0.812,0.04
