dataset,kir,recipe,coverage_target,k,distance,boundary,rule,fusion,fusion_weight,f1_u_mean,f1_u_std,f1_k_mean,f1_k_std,accuracy_mean,accuracy_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,baseline,delta_pp
stackoverflow,0.5,existing,0.85,1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,2.0,0.8638859638301687,0.02932980226677283,0.8455105626511079,0.013330755176947472,0.8532554257095158,0.024180324167872646,0.8368011979977191,0.005327377547234035,0.11395662943982844,0.05767876298002119,88.86,-2.4714036169831246
stackoverflow,0.25,no_projection,0.85,4,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.5,0.9290942967175145,0.006730627559209136,0.7824861791954105,0.029642721491794415,0.889259877573734,0.011861576379953404,0.8314052880724624,0.01163365095932257,0.08360796742555959,0.013838372946201802,92.65,0.25942967175144815
stackoverflow,0.75,no_projection,0.85,1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,2.0,0.7363183365103433,0.03909297711920394,0.8774311521590321,0.0041426006532357534,0.8353923205342237,0.014340428329297958,0.8390345495501723,0.0041442285234125804,0.13329884140083592,0.08052768450582094,74.55,-0.91816634896567
