dataset,seed,split,k,radius_lambda,threshold,acceptance_mode,oos_f1,known_f1,accuracy,known_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos
clinc150,13,val,1,0.5,0.8,nearest_sphere,0.715374271627073,0.24224198814243147,0.59,0.156,0.0025,0.844,0.9247170833333331,0.9156135315868079
clinc150,13,test,1,0.5,0.8,nearest_sphere,0.7738322211630124,0.2532491655948706,0.6549090909090909,0.15777777777777777,0.0009230769230769231,0.8422222222222222,0.9303135726495726,0.9444074357925558
clinc150,13,val,1,0.5,0.81,nearest_sphere,0.7184334908845375,0.25937210333051763,0.5961290322580645,0.16866666666666666,0.0025,0.8313333333333334,0.9247170833333331,0.9156135315868079
clinc150,13,test,1,0.5,0.81,nearest_sphere,0.7766084668739536,0.2719765264933455,0.6603636363636364,0.1711111111111111,0.0009230769230769231,0.8288888888888889,0.9303135726495726,0.9444074357925558
clinc150,13,val,1,0.5,0.82,nearest_sphere,0.7230664549784531,0.28865309473934836,0.6058064516129033,0.19,0.00375,0.81,0.9247170833333331,0.9156135315868079
clinc150,13,test,1,0.5,0.82,nearest_sphere,0.7809867629362214,0.30257922667028525,0.6689090909090909,0.19333333333333333,0.0015384615384615385,0.8066666666666666,0.9303135726495726,0.9444074357925558
clinc150,13,val,1,0.5,0.83,nearest_sphere,0.7269406392694064,0.3111310422300066,0.6135483870967742,0.208,0.005,0.792,0.9247170833333331,0.9156135315868079
clinc150,13,test,1,0.5,0.83,nearest_sphere,0.7844275178333938,0.32728936219211435,0.6756363636363636,0.21022222222222223,0.0018461538461538461,0.7897777777777778,0.9303135726495726,0.9444074357925558
clinc150,13,val,1,0.5,0.84,nearest_sphere,0.7316624511381927,0.33788190973849536,0.6229032258064516,0.228,0.005625,0.772,0.9247170833333331,0.9156135315868079
clinc150,13,test,1,0.5,0.84,nearest_sphere,0.7869966035904901,0.34376632270772467,0.6805454545454546,0.2222222222222222,0.0018461538461538461,0.7777777777777778,0.9303135726495726,0.9444074357925558
