index,dataset,kir,method,target_known_recall,achieved_known_recall_mean,achieved_known_recall_std,achieved_known_recall_count,oos_f1_mean,oos_f1_std,oos_f1_count,false_accept_rate_mean,false_accept_rate_std,false_accept_rate_count,false_reject_rate_mean,false_reject_rate_std,false_reject_rate_count,auroc_mean,auroc_std,auroc_count,aupr_oos_mean,aupr_oos_std,aupr_oos_count
0,banking77,0.25,energy,0.75,0.75,0.0,5,0.9016316550471313,0.011281894842730003,5,0.11172413793103449,0.02015610525554312,5,0.25,0.0,5,0.895912999092559,0.012951935396491766,5,0.956283693061402,0.006776928075703968,5
1,banking77,0.25,energy,0.85,0.85,0.0,5,0.8565289549277129,0.015108673125964202,5,0.2138793103448276,0.023929984822453478,5,0.15,0.0,5,0.895912999092559,0.012951935396491766,5,0.956283693061402,0.006776928075703968,5
2,banking77,0.25,energy,0.9,0.9,0.0,5,0.7988869758598023,0.02306251852436176,5,0.31258620689655175,0.03275209780793365,5,0.1,0.0,5,0.895912999092559,0.012951935396491766,5,0.956283693061402,0.006776928075703968,5
3,banking77,0.25,energy,0.95,0.95,0.0,5,0.6571991683652528,0.051665712148424775,5,0.5007758620689655,0.0579652441582113,5,0.05,0.0,5,0.895912999092559,0.012951935396491766,5,0.956283693061402,0.006776928075703968,5
4,banking77,0.25,knn,0.75,0.75,0.0,5,0.9201034560772854,0.015974830290833218,5,0.0778448275862069,0.02937777487083517,5,0.25,0.0,5,0.9174242286751362,0.016162011299529818,5,0.9657240289708284,0.007110700198820014,5
5,banking77,0.25,knn,0.85,0.85,0.0,5,0.8854514318986662,0.021700063390832313,5,0.16594827586206898,0.036320889928308536,5,0.15,0.0,5,0.9174242286751362,0.016162011299529818,5,0.9657240289708284,0.007110700198820014,5
6,banking77,0.25,knn,0.9,0.9,0.0,5,0.8285264932204711,0.05846991960150656,5,0.26620689655172414,0.08450617638144077,5,0.1,0.0,5,0.9174242286751362,0.016162011299529818,5,0.9657240289708284,0.007110700198820014,5
7,banking77,0.25,knn,0.95,0.95,0.0,5,0.6982476482914182,0.06716675501129951,5,0.4516379310344828,0.07721619143661658,5,0.05,0.0,5,0.9174242286751362,0.016162011299529818,5,0.9657240289708284,0.007110700198820014,5
8,banking77,0.25,lof,0.75,0.75,0.0,5,0.900083507376553,0.008469668574172426,5,0.11456896551724138,0.015194806164076344,5,0.25,0.0,5,0.8985009641560799,0.012710382862907967,5,0.9571083119452325,0.008644811938536123,5
9,banking77,0.25,lof,0.85,0.85,0.0,5,0.8429502482722754,0.026324177300615845,5,0.23491379310344832,0.0413972662191137,5,0.15,0.0,5,0.8985009641560799,0.012710382862907967,5,0.9571083119452325,0.008644811938536123,5
10,banking77,0.25,lof,0.9,0.9,0.0,5,0.7898698214028927,0.0363823340916634,5,0.3246551724137931,0.051895728312862835,5,0.1,0.0,5,0.8985009641560799,0.012710382862907967,5,0.9571083119452325,0.008644811938536123,5
11,banking77,0.25,lof,0.95,0.95,0.0,5,0.6853751403649874,0.06452430199899856,5,0.46706896551724136,0.07757818445113832,5,0.05,0.0,5,0.8985009641560799,0.012710382862907967,5,0.9571083119452325,0.008644811938536123,5
12,banking77,0.25,msp,0.75,0.75,0.0,5,0.9083755328899519,0.013317759606005928,5,0.09948275862068964,0.024244300726500717,5,0.25,0.0,5,0.9028337114337568,0.01302097289308862,5,0.9590935961029754,0.005295158143418519,5
13,banking77,0.25,msp,0.85,0.85,0.0,5,0.8757370324507028,0.0229119789085443,5,0.1821551724137931,0.038394261966626604,5,0.15,0.0,5,0.9028337114337568,0.01302097289308862,5,0.9590935961029754,0.005295158143418519,5
