dataset,representation,k_gate,distance,boundary,seed_count,oos_precision_mean,oos_precision_std,oos_recall_mean,oos_recall_std,oos_f1_mean,oos_f1_std,id_recall_mean,id_recall_std,auroc_mean,auroc_std,aupr_oos_mean,aupr_oos_std,fpr95_mean,fpr95_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std,scoring_seconds_mean,scoring_seconds_std,samples_per_second_mean,samples_per_second_std,peak_rss_kib_mean,peak_rss_kib_std,effective_cluster_count_mean,effective_cluster_count_std,minimum_cluster_size_mean,minimum_cluster_size_std
banking77,frozen_minilm,1,euclidean,mean_std,3,0.7757355237662524,0.19507659891196932,0.6653297423487986,0.12003061195278532,0.7155458070933964,0.1527259774218194,0.8518980641258318,0.012606498648200435,0.8525682616687608,0.04011604824128655,0.7850419977361985,0.20020255352242672,0.4952586206896552,0.11087057510952662,0.3346702576512014,0.12003061195278536,0.14810193587416817,0.01260649864820042,0.16202143599124005,0.07426377869381473,22492.797137282992,11765.556716447858,1844804.0,24470.4138093331,38.333333333333336,19.5021366350801,35.333333333333336,2.8867513459481287
banking77,frozen_minilm,1,mahalanobis_diag,mean_std,3,0.7942050370024869,0.17633799974332595,0.7642685404935858,0.09819424394109252,0.7776075368474822,0.1360432003113517,0.8466727162734422,0.010535023165528503,0.8747562415654522,0.034074800493480925,0.8132348117306027,0.17716757883439363,0.44919086509376893,0.11258663771749636,0.23573145950641414,0.09819424394109247,0.15332728372655777,0.010535023165528507,0.3236919856475045,0.16317005413516686,11592.028617361653,6449.912286315568,1856084.0,4932.880699956163,38.333333333333336,19.5021366350801,35.333333333333336,2.8867513459481287
banking77,frozen_minilm,2,euclidean,mean_std,3,0.772261940444926,0.19242645067785613,0.7657128841112507,0.076319214325697,0.7655878284843143,0.13499368113143273,0.8214987900786449,0.010051991579749913,0.8763227503994292,0.029764325739164776,0.8026450900354289,0.19004919766808673,0.40798548094373865,0.08796075073004544,0.2342871158887493,0.07631921432569701,0.17850120992135513,0.01005199157974991,0.3731327810091898,0.14277885469671453,9265.857143288124,4042.4761379184465,1858932.0,0.0,76.66666666666667,39.0042732701602,10.666666666666666,4.725815626252609
banking77,frozen_minilm,2,mahalanobis_diag,mean_std,3,0.7765733210771144,0.18153956988752476,0.8122646082491818,0.09507143034664343,0.7918960566258265,0.14077173496036266,0.8118874773139746,0.02051746261954179,0.8876431061628429,0.028757783185148197,0.8132636380288195,0.18535689392103105,0.3816772534785239,0.08797383935219241,0.18773539175081824,0.09507143034664339,0.1881125226860254,0.020517462619541772,0.705560976290144,0.31659128256465346,5084.706297653099,2486.5801494656625,1858932.0,0.0,76.66666666666667,39.0042732701602,10.666666666666666,4.725815626252609
clinc150,frozen_minilm,1,euclidean,mean_std,3,0.8570910779391593,0.10360607675629609,0.911216449242765,0.02390362557973832,0.8819718824471211,0.06692356343310127,0.7981868560289612,0.007904437261967238,0.9300790868564995,0.01651159509146032,0.9324810308053155,0.05909796660697699,0.30622660818713454,0.0740895752783247,0.08878355075723497,0.023903625579738304,0.2018131439710387,0.007904437261967249,0.5702059549900392,0.2676308715007099,11832.061296915328,6085.893472448823,1742573.3333333333,73604.83031250961,75.0,37.0,100.0,0.0
clinc150,frozen_minilm,1,mahalanobis_diag,mean_std,3,0.8419333209519282,0.11223399764385653,0.9317391630320692,0.02130410035144655,0.8827292014835734,0.07231044876463726,0.766301239209134,0.01139116891263442,0.9273018179581491,0.015974656257409663,0.9230176403476171,0.0645582208463306,0.2928745474798106,0.08217146181293604,0.06826083696793078,0.02130410035144654,0.23369876079086604,0.01139116891263442,1.1596111429777618,0.5700390759236025,5922.130577291986,3199.1598573430088,1768364.0,43481.050953260084,75.0,37.0,100.0,0.0
clinc150,frozen_minilm,2,euclidean,mean_std,3,0.8450895032952791,0.10998823127893347,0.9380789115114058,0.013917380411192367,0.8871515252258326,0.06799243524706437,0.7702857142857142,0.012068211274087361,0.9307293981172052,0.011998088781151281,0.9302421108476842,0.056097223605722134,0.26316492620439985,0.04721405315148525,0.061921088488594206,0.013917380411192408,0.22971428571428573,0.012068211274087352,1.2052452916589875,0.5675919300538508,5619.740612360185,2940.5382587527733,1769381.3333333333,43098.414696289394,150.0,74.0,12.0,1.7320508075688772
clinc150,frozen_minilm,2,mahalanobis_diag,mean_std,3,0.8226373961749037,0.12126047310763058,0.9551193549648928,0.00973907080310839,0.8811288590053986,0.07532696794547407,0.7201176552492342,0.011350889738855731,0.9270843515599877,0.015628519138113018,0.9260352112874415,0.05662588150241557,0.2603046505151768,0.041749674586034444,0.044880645035107275,0.009739070803108362,0.2798823447507658,0.011350889738855742,2.4015214673321075,1.1559518257742583,2852.4086079679373,1548.6475335448015,1772694.6666666667,40353.26174342458,150.0,74.0,12.0,1.7320508075688772
stackoverflow,frozen_minilm,1,euclidean,mean_std,3,0.8338700792443837,0.13233582553975068,0.8859259259259259,0.044878620020889916,0.857082414089256,0.09103552628974032,0.862,0.009614803401237338,0.9322796790123457,0.010673651046269085,0.8600536889129479,0.11620624127221435,0.19685185185185186,0.03353647973850309,0.11407407407407408,0.04487862002088995,0.13799999999999998,0.009614803401237304,0.13108038560797772,0.033855883870088914,48091.45720446889,13573.53231289963,1858932.0,0.0,10.0,5.0,600.0,0.0
stackoverflow,frozen_minilm,1,mahalanobis_diag,mean_std,3,0.8109968813936452,0.15179491657549354,0.9064074074074074,0.03423418501831632,0.852544637782907,0.1007700574904236,0.8375925925925926,0.01254243824787055,0.9250450987654321,0.014863743530385682,0.8612071731606804,0.10995327817664788,0.20551851851851852,0.03678303643729437,0.09359259259259259,0.03423418501831631,0.16240740740740742,0.012542438247870557,0.18476856569759548,0.07775357096490904,37218.751180210405,17390.59472248576,1858932.0,0.0,10.0,5.0,600.0,0.0
