dataset,data_seed,pair_count,mean_nearest_known_cosine,p05_nearest_known_cosine,mean_gate_score_margin
banking77_oos,42,3080,0.557931732049665,0.1869532759043838,0.2557284553913003
clinc150,42,3250,0.489011200517959,0.2825083242303133,0.21067688357118722
stackoverflow,42,2997,0.4353720001745943,0.2975815026212483,0.07400009222872737
