dataset,kir,data_seed,shape,k_gate,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95,near_oos_f1,medium_oos_f1,far_oos_f1,mean_radius,minimum_cluster_size,covariance_condition_median,covariance_shrinkage_median,device,status
banking77_oos,50,42,euclidean,1,0.8167130919220056,0.894,0.7139610389610389,0.9033194805194804,0.9639581183204764,0.419,0.06980802792321117,0.7854406130268199,0.956089478044739,0.8024945593149223,96,,,cpu,complete
banking77_oos,50,42,euclidean,2,0.8015492438214681,0.831,0.7055194805194805,0.8755496753246752,0.9517825693317814,0.451,0.4305732484076433,0.6884202148826104,0.925264012997563,0.7305867098637175,11,,,cpu,complete
banking77_oos,50,42,mahalanobis_diag,1,0.8615603341034299,0.877,0.787012987012987,0.9132051948051949,0.968195046791366,0.375,0.13114754098360656,0.8686440677966102,0.9494035376388318,23.224650549020193,96,,,cpu,complete
banking77_oos,50,42,mahalanobis_diag,2,0.8462633451957295,0.838,0.772077922077922,0.9018785714285713,0.9635389047082874,0.377,0.34959349593495936,0.8039358600583091,0.9309504467912266,22.822596102625266,11,,,cpu,complete
banking77_oos,50,42,mahalanobis_full,1,0.8772180881511162,0.157,0.9951298701298701,0.9152454545454545,0.9695428447566815,0.349,0.5052143684820394,0.7769291545957335,0.732465883846398,10.591253849059544,96,441.9036768837903,0.13825946666853112,cuda,complete
banking77_oos,50,42,mahalanobis_full,2,0.8691232528589581,0.075,0.9993506493506493,0.9080821428571428,0.9663503905023527,0.403,0.4898183819482664,0.7617821272212207,0.7138880296937828,7.945978324297148,11,283.57517671813184,0.2264909881460084,cuda,complete
stackoverflow,50,42,euclidean,1,0.8418375995931514,0.8600066822586034,0.8284951618284951,0.9162675315921781,0.8720399985703993,0.24590711660541262,0.3881527669524552,0.8477852348993289,0.7576633892423366,0.9468807377862338,598,,,cpu,complete
stackoverflow,50,42,euclidean,2,0.7304412309974045,0.8573337788172403,0.6573239906573239,0.8739395370423324,0.7996785884721086,0.3194119612429001,0.3098134630981346,0.7078584283143371,0.7126710291493159,0.9217666556265514,173,,,cpu,complete
stackoverflow,50,42,mahalanobis_diag,1,0.8435800230756552,0.8292682926829268,0.8538538538538538,0.9133612953637457,0.8881461000338005,0.2509188105579686,0.40509915014164305,0.8392116182572614,0.7193849533223503,21.19333410918688,598,,,cpu,complete
stackoverflow,50,42,mahalanobis_diag,2,0.7940709370037057,0.8596725693284331,0.7507507507507507,0.902501900497223,0.8674287348600297,0.28399599064483794,0.40030911901081917,0.7752424415288077,0.7404803749267721,21.104148170749784,173,,,cpu,complete
stackoverflow,50,42,mahalanobis_full,1,0.7377028868789494,0.29936518543267626,0.9933266599933267,0.8765228085865129,0.8616063093935937,0.4340126962913465,0.3618242222893386,0.6212367045249685,0.3845024948635163,17.29888443546553,598,137.53493036737575,0.1387880614040982,cuda,complete
stackoverflow,50,42,mahalanobis_full,2,0.6911781708868078,0.11025726695623121,0.9973306639973306,0.8334557968147455,0.8148943683475249,0.5957233544938189,0.3129181677817808,0.5644211903204709,0.3297256481248427,14.847946919794904,173,75.11003489596425,0.22423708574754617,cuda,complete
