dataset,kir,seed,intent,train_sample_count,k1_radius,k1_distance_variance,k2_cluster_count,k2_cluster_1_sample_count,k2_cluster_2_sample_count,k2_cluster_1_radius,k2_cluster_2_radius,k2_cluster_1_distance_variance,k2_cluster_2_distance_variance,bootstrap_ari_mean,silhouette,silhouette_reason,known_reject_count_k1,known_reject_count_k2,known_recall_delta,newly_accepted_oos_count,recovered_known_count,net_benefit_recovered_known_minus_new_oos,cluster_size_imbalance,radius_ratio
stackoverflow,0.5,13,ajax,600,23.631845248291008,21.14569678447925,2,155,445,21.911425119353897,22.28856347310577,6.16577183215631,8.609362095400233,0.9393148374034852,0.1647816408470369,defined,54,20,0.1133333333333333,135,34,-101,2.870967741935484,1.0172119500077041
stackoverflow,0.5,13,apache,600,23.431038789376704,18.81303738579835,2,398,202,23.353033616909,23.918813616096813,17.94011773755866,24.93753673473192,0.9236781640573396,0.0552705049110204,defined,52,42,0.0333333333333333,0,13,13,1.9702970297029703,1.0242272592276045
stackoverflow,0.5,13,excel,600,23.211935690349755,16.46225750173522,2,452,148,22.33308027015628,24.225551168539315,8.911168307530076,29.195840633925148,0.8007009803620144,0.0986744939217856,defined,47,27,0.0666666666666666,0,22,22,3.054054054054054,1.0847384631000474
stackoverflow,0.5,13,hibernate,600,24.59070791951008,35.29652694926131,2,513,87,22.51078457661937,22.25788176572844,10.319566028229108,8.334676875706224,0.9883711210055596,0.3016540514311264,defined,38,11,0.09,49,27,-22,5.896551724137931,1.0113623934906661
stackoverflow,0.5,13,linq,600,24.450460144235755,32.90958405900547,2,518,82,22.38547168708473,22.08869501426557,9.375746135435362,7.228217166852411,0.960897763313466,0.2930058098689974,defined,47,8,0.13,7,39,32,6.317073170731708,1.0134356815840633
stackoverflow,0.5,13,oracle,600,23.691976467029377,21.900728318398656,2,460,140,22.041467789328888,22.112803093306365,7.011391088741426,7.37957804536698,0.9840676570520795,0.1933481493000004,defined,57,12,0.15,22,45,23,3.2857142857142856,1.0032364135029161
stackoverflow,0.5,13,osx,600,23.042604944421534,14.736782651288449,2,419,181,22.00523207365591,21.60956219986374,6.754580493320465,4.577881829698745,0.8991215691685934,0.1174787063977272,defined,49,17,0.1066666666666666,414,32,-382,2.314917127071823,1.0183099440022283
stackoverflow,0.5,13,qt,600,24.47415942481061,33.289759465869764,2,550,50,22.617736091363447,21.12808075997424,11.126583775946647,2.582828551540409,0.9926726997156766,0.3609784306025264,defined,23,6,0.0566666666666666,106,17,-89,11.0,1.0705059464847968
stackoverflow,0.5,13,scala,600,24.667940743227867,36.58948065309687,2,482,118,22.2243686430066,21.38389273443761,8.232930684771418,3.5677787786441466,0.998461777635696,0.2866113697147666,defined,58,20,0.1266666666666666,208,38,-170,4.084745762711864,1.0393041584620115
stackoverflow,0.5,13,sharepoint,600,22.867404638381156,13.112874916972428,2,398,202,21.986599874528395,21.69398350162915,6.639453260038002,4.997453915869127,0.912858778446998,0.1104087332645434,defined,47,16,0.1033333333333333,228,31,-197,1.9702970297029703,1.013488365236254
stackoverflow,0.5,42,ajax,600,23.483571961143628,19.39982170146945,2,152,448,21.93994254264737,22.2449429265682,6.3321660205908925,8.316714437651958,0.9753233098927828,0.1591130396917774,defined,56,21,0.1166666666666666,98,35,-63,2.9473684210526314,1.013901603585696
stackoverflow,0.5,42,apache,600,23.286038145377688,17.225233830623612,2,389,211,23.130801103107416,23.88954794539279,15.621573703939909,24.50777602304815,0.901295571670144,0.0537096244213468,defined,50,40,0.0333333333333333,0,14,14,1.8436018957345972,1.0328024454882991
stackoverflow,0.5,42,cocoa,600,22.962928648006937,13.985195340745022,2,213,387,21.4396156380342,22.017025058111283,3.803103903876514,6.831192929639498,0.9819760885445048,0.1172289098615646,defined,65,29,0.12,269,36,-233,1.8169014084507042,1.0269318923354553
stackoverflow,0.5,42,excel,600,23.42650573273709,18.7826391206758,2,246,354,23.467813543063805,23.383791979522645,19.24851919378125,18.33082237373576,0.4151131406211145,0.0555255136735778,defined,43,28,0.05,0,18,18,1.4390243902439024,1.00359315390826
stackoverflow,0.5,42,linq,600,24.296601650371176,30.44933584345097,2,527,73,22.38766444894827,21.995547284353112,9.385091785454156,6.662852014831098,0.9305602702306552,0.2937859513746653,defined,44,6,0.1266666666666666,9,38,29,7.219178082191781,1.0178271156214467
stackoverflow,0.5,42,oracle,600,23.640327380366134,21.26095564958654,2,462,138,21.792665098039503,21.78111568857061,5.577217040050074,5.4522266747809605,0.987625987824404,0.1975425119138827,defined,57,15,0.14,35,42,7,3.347826086956522,1.0005302487546566
stackoverflow,0.5,42,sharepoint,600,22.82337653791164,12.732658187999116,2,382,218,21.961248889796217,21.874150821265214,6.497673214675854,5.960928444057496,0.8727022990908655,0.1027059574084859,defined,43,12,0.1033333333333333,109,32,-77,1.7522935779816513,1.0039817805611146
stackoverflow,0.5,42,spring,600,23.79714623911413,23.25418286983569,2,481,119,22.11614899566005,21.84044008094275,7.491093597530552,5.776798180932529,0.9584915786676392,0.2089961302968569,defined,38,6,0.1066666666666666,195,32,-163,4.042016806722689,1.0126237801846254
stackoverflow,0.5,42,svn,600,23.81044966269624,23.447017948715764,2,365,235,22.498933022399648,24.809633757461143,10.16808719294044,39.17812978578738,0.9714828228030736,0.0921975843405999,defined,43,25,0.06,0,22,22,1.553191489361702,1.1027026807342815
stackoverflow,0.5,42,visual-studio,600,23.37208144180641,18.142006654869224,2,467,133,22.02926102809816,21.741390036371502,6.912105399448821,5.244097049755044,0.9485898039579436,0.1697232052913504,defined,56,16,0.1333333333333333,38,40,2,3.511278195488722,1.0132406893600212
stackoverflow,0.5,87,apache,600,23.3838146495731,18.25781929046614,2,192,408,23.68844400489546,23.266401930321,21.9037524760814,16.98560526474508,0.9420542877394578,0.0467913221040451,defined,52,39,0.0433333333333333,1,14,13,2.125,1.0181395505776272
