x,y,spearman
bootstrap_ari_mean,bootstrap_ari_mean,1.0
bootstrap_ari_mean,silhouette,0.6956618464961067
bootstrap_ari_mean,cluster_size_imbalance,0.632246613617514
bootstrap_ari_mean,radius_ratio,0.012235817575083427
bootstrap_ari_mean,newly_accepted_oos_count,0.4209197970048087
bootstrap_ari_mean,recovered_known_count,0.494483329529324
bootstrap_ari_mean,net_benefit_recovered_known_minus_new_oos,-0.20658953850344744
bootstrap_ari_mean,known_recall_delta,0.5002234248489814
silhouette,bootstrap_ari_mean,0.6956618464961067
silhouette,silhouette,1.0
silhouette,cluster_size_imbalance,0.9144320082204734
silhouette,radius_ratio,-0.11501668520578419
silhouette,newly_accepted_oos_count,0.42539766718571087
silhouette,recovered_known_count,0.5613656554350036
silhouette,net_benefit_recovered_known_minus_new_oos,-0.11999112204025664
silhouette,known_recall_delta,0.582665592864181
cluster_size_imbalance,bootstrap_ari_mean,0.632246613617514
cluster_size_imbalance,silhouette,0.9144320082204735
cluster_size_imbalance,cluster_size_imbalance,1.0
cluster_size_imbalance,radius_ratio,-0.025369980271874905
cluster_size_imbalance,newly_accepted_oos_count,0.31053199339124354
cluster_size_imbalance,recovered_known_count,0.4933103301750028
cluster_size_imbalance,net_benefit_recovered_known_minus_new_oos,-0.018817504668595653
cluster_size_imbalance,known_recall_delta,0.5104205328748462
radius_ratio,bootstrap_ari_mean,0.012235817575083427
radius_ratio,silhouette,-0.11501668520578419
radius_ratio,cluster_size_imbalance,-0.025369980271874905
radius_ratio,radius_ratio,1.0
radius_ratio,newly_accepted_oos_count,-0.13567946648133725
radius_ratio,recovered_known_count,-0.3047604650435464
radius_ratio,net_benefit_recovered_known_minus_new_oos,-0.00934995756157844
radius_ratio,known_recall_delta,-0.2896616714047554
newly_accepted_oos_count,bootstrap_ari_mean,0.4209197970048087
newly_accepted_oos_count,silhouette,0.42539766718571087
newly_accepted_oos_count,cluster_size_imbalance,0.31053199339124354
newly_accepted_oos_count,radius_ratio,-0.13567946648133727
newly_accepted_oos_count,newly_accepted_oos_count,1.0
newly_accepted_oos_count,recovered_known_count,0.43157224095402924
newly_accepted_oos_count,net_benefit_recovered_known_minus_new_oos,-0.8739920830781807
newly_accepted_oos_count,known_recall_delta,0.4445617312890031
recovered_known_count,bootstrap_ari_mean,0.494483329529324
recovered_known_count,silhouette,0.5613656554350036
recovered_known_count,cluster_size_imbalance,0.4933103301750027
recovered_known_count,radius_ratio,-0.30476046504354637
recovered_known_count,newly_accepted_oos_count,0.4315722409540292
recovered_known_count,recovered_known_count,1.0
recovered_known_count,net_benefit_recovered_known_minus_new_oos,-0.009927506254567097
recovered_known_count,known_recall_delta,0.9955343741570417
net_benefit_recovered_known_minus_new_oos,bootstrap_ari_mean,-0.20658953850344744
net_benefit_recovered_known_minus_new_oos,silhouette,-0.11999112204025664
net_benefit_recovered_known_minus_new_oos,cluster_size_imbalance,-0.01881750466859565
net_benefit_recovered_known_minus_new_oos,radius_ratio,-0.00934995756157844
net_benefit_recovered_known_minus_new_oos,newly_accepted_oos_count,-0.8739920830781807
net_benefit_recovered_known_minus_new_oos,recovered_known_count,-0.009927506254567097
net_benefit_recovered_known_minus_new_oos,net_benefit_recovered_known_minus_new_oos,1.0
net_benefit_recovered_known_minus_new_oos,known_recall_delta,-0.025641035838690717
known_recall_delta,bootstrap_ari_mean,0.5002234248489814
known_recall_delta,silhouette,0.582665592864181
known_recall_delta,cluster_size_imbalance,0.5104205328748462
known_recall_delta,radius_ratio,-0.28966167140475535
known_recall_delta,newly_accepted_oos_count,0.4445617312890031
known_recall_delta,recovered_known_count,0.9955343741570418
known_recall_delta,net_benefit_recovered_known_minus_new_oos,-0.025641035838690717
known_recall_delta,known_recall_delta,1.0
