dataset,method,kir,seed,source,predictions,oos_f1,known_f1,accuracy,oos_precision,oos_recall,known_recall,false_accept_rate,known_count,oos_count,oos_false_accepts,known_false_rejects,known_score_q10,known_score_q50,known_score_q90,oos_score_q10,oos_score_q50,oos_score_q90
banking77,Ours,0.25,13,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir25_seed13/Ours.json,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir25_seed13/Ours.npz,91.25028261361066,75.58979576540122,86.42857142857143,95.95815501664289,86.98275862068967,88.81578947368422,13.017241379310345,760,2320,302,85,0.590692903273542,0.7969985549876881,1.147312773460327,1.0752081381611136,1.4017964093463533,1.6481291284681647
banking77,Ours,0.25,42,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir25_seed42/Ours.json,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir25_seed42/Ours.npz,91.37813985064494,77.1047104964844,86.81818181818181,96.18866126727012,87.02586206896552,89.47368421052632,12.974137931034482,760,2320,301,80,0.622883269046893,0.812729767281311,1.0878331248426132,1.0546496522021642,1.2807581275325415,1.471831788391089
banking77,Ours,0.25,87,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir25_seed87/Ours.json,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir25_seed87/Ours.npz,89.47490168864215,73.81518325648526,84.18831168831169,96.5551672491263,83.36206896551724,90.92105263157895,16.637931034482758,760,2320,386,69,0.5870880254879597,0.781738523887955,1.1014612566836246,1.06102677960986,1.3275759067497193,1.552248686126903
banking77,Ours,0.5,13,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir50_seed13/Ours.json,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir50_seed13/Ours.npz,82.6936026936027,81.27803557286273,81.33116883116884,87.09219858156028,78.71794871794872,88.02631578947368,21.28205128205128,1520,1560,332,182,0.6215087521220697,0.8193100423466084,1.1060226720615292,0.9908745638454654,1.2444636894941725,1.4719293144550356
banking77,Ours,0.5,42,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir50_seed42/Ours.json,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir50_seed42/Ours.npz,82.4543260944502,80.90448043633388,80.84415584415584,89.18717375093213,76.66666666666667,90.46052631578947,23.333333333333332,1520,1560,364,145,0.6167342066712576,0.8107489071752896,1.1035703085086697,1.0026625173700998,1.2466141481089132,1.4888773672841256
banking77,Ours,0.5,87,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir50_seed87/Ours.json,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir50_seed87/Ours.npz,82.34487487144327,79.56611645849364,80.12987012987013,88.50405305821666,76.98717948717949,89.73684210526316,23.01282051282051,1520,1560,359,156,0.6238733438054717,0.8213213583874139,1.0788182634930663,0.9686579150277119,1.1839974096795207,1.388087120457121
banking77,Ours,0.75,13,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir75_seed13/Ours.json,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir75_seed13/Ours.npz,73.74166161309886,83.45313292028858,80.58441558441558,68.39145106861643,80.0,87.88793103448276,20.0,2320,760,152,281,0.6348871729195013,0.8253932809483995,1.0807713054454897,0.9847566103261269,1.1892130492961863,1.408922392633308
banking77,Ours,0.75,42,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir75_seed42/Ours.json,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir75_seed42/Ours.npz,68.81155613919894,84.94720038248924,80.45454545454545,68.67627785058977,68.94736842105263,89.69827586206897,31.05263157894737,2320,760,236,239,0.6221787571756705,0.8180642843255811,1.0931701367074276,0.9322799246718102,1.1642686077252455,1.3772629358062074
banking77,Ours,0.75,87,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir75_seed87/Ours.json,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir75_seed87/Ours.npz,77.15491259795057,85.19744625069708,83.01948051948051,71.19021134593993,84.21052631578947,88.83620689655173,15.789473684210526,2320,760,120,259,0.5946505079133398,0.8085804619280044,1.1176224287932128,1.047818840921008,1.2690968000024467,1.4648391706577462
banking77,MOGB-official-compatible,0.25,13,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/banking77/kir25_seed13/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/banking77/kir25_seed13/predictions.npz,91.07142857142857,63.197137447394304,85.64935064935065,86.04294478527608,96.72413793103448,52.10526315789473,3.2758620689655173,760,2320,76,364,0.6798177778720856,0.9799378514289856,1.809933853149414,1.30188809633255,2.1479268074035645,3.1559801816940305
banking77,MOGB-official-compatible,0.25,42,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/banking77/kir25_seed42/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/banking77/kir25_seed42/predictions.npz,91.44471347861179,64.30877201371824,86.23376623376623,85.96358118361154,97.67241379310346,51.31578947368421,2.327586206896552,760,2320,54,370,0.6630683302879333,0.9871340990066528,1.8025746464729309,1.466373574733734,2.211628556251526,2.9473771810531617
banking77,MOGB-official-compatible,0.25,87,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/banking77/kir25_seed87/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/banking77/kir25_seed87/predictions.npz,90.51094890510949,61.4200476256532,84.74025974025975,85.45176110260337,96.20689655172414,50.0,3.793103448275862,760,2320,88,380,0.6550011217594147,1.0003248155117035,1.8235059976577759,1.2476576209068297,2.070144772529602,2.8966808795928953
