method,dataset,kir,n,status,oos_f1_mean,oos_f1_std,known_f1_mean,known_f1_std,accuracy_mean,accuracy_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,oos_recall_mean,oos_recall_std
Ours,banking77,0.25,3,complete,90.70110805096591,0.8686285744467076,75.50322983945696,1.3443381544648751,85.81168831168831,1.1588680712710877,89.73684210526316,0.8793832305159355,14.209770114942529,1.7170592234399211,85.79022988505749,1.7170592234399265
Ours,banking77,0.5,3,complete,82.49760121983205,0.1456189681889619,80.58287748923009,0.7349549216221603,80.76839826839826,0.4933450787896779,89.4078947368421,1.0206207261596552,22.542735042735043,0.9009901129191458,77.45726495726495,0.900990112919143
Ours,banking77,0.75,3,complete,73.23604345008279,3.424873383988274,84.53259318449163,0.7701002511075079,81.35281385281384,1.1797033231541572,88.80747126436783,0.7393494442683106,22.280701754385962,6.4364688869628575,77.71929824561403,6.436468886962855
MOGB-official-compatible,banking77,0.25,3,complete,91.00903031838328,0.38375272087574974,62.97531902892191,1.1897015607931916,85.54112554112555,0.614505176042352,51.140350877192986,0.8683767488255832,3.1321839080459775,0.6068595425845653,96.86781609195403,0.6068595425845691
MOGB-official-compatible,banking77,0.5,0,unavailable,,,,,,,,,,,,
MOGB-official-compatible,banking77,0.75,0,unavailable,,,,,,,,,,,,
MOGB-official-compatible,clinc150,0.25,0,unavailable,,,,,,,,,,,,
MOGB-official-compatible,clinc150,0.5,0,unavailable,,,,,,,,,,,,
MOGB-official-compatible,clinc150,0.75,0,unavailable,,,,,,,,,,,,
MOGB-official-compatible,stackoverflow,0.25,0,unavailable,,,,,,,,,,,,
MOGB-official-compatible,stackoverflow,0.5,0,unavailable,,,,,,,,,,,,
MOGB-official-compatible,stackoverflow,0.75,0,unavailable,,,,,,,,,,,,
