dataset,seed,gate,oos_f1,known_macro_f1,id_recall,oos_false_accept_rate,known_false_reject_rate,delta_oos_f1,delta_known_macro_f1,delta_id_recall,delta_oos_false_accept_rate,delta_known_false_reject_rate,interpretation
banking77_oos,13,best_controlled_baseline,0.8024132730015083,0.8554845256603681,0.904,0.3090909090909091,0.096,-0.030490665165587738,0.011596687293974894,-0.0050000000000000044,0.04383116883116883,0.0050000000000000044,paired reference or controlled comparison
banking77_oos,13,ce_recon_selected_k,0.8924515698062793,0.7871469263037622,0.764,0.13246753246753246,0.236,0.059547631639183196,-0.0567409120626311,-0.14500000000000002,-0.1327922077922078,0.145,OOS rejection improves while ID recall/known macro-F1 trade off
banking77_oos,13,frozen_k1,0.8329039381670961,0.8438878383663933,0.909,0.26525974025974025,0.091,0.0,0.0,0.0,0.0,0.0,paired reference or controlled comparison
banking77_oos,13,frozen_selected_k,0.8882861501949483,0.7955614128352735,0.801,0.14935064935064934,0.199,0.05538221202785221,-0.048326425531119765,-0.10799999999999998,-0.1159090909090909,0.10800000000000001,paired reference or controlled comparison
banking77_oos,42,best_controlled_baseline,0.8977135980746089,0.8453990499475623,0.874,0.15227272727272728,0.126,0.03615326397117902,0.02174720058512314,-0.0030000000000000027,-0.06071428571428569,0.0030000000000000027,paired reference or controlled comparison
banking77_oos,42,ce_recon_selected_k,0.9025641025641026,0.7769303489357037,0.763,0.11428571428571428,0.237,0.04100376846067266,-0.04672150042673551,-0.11399999999999999,-0.09870129870129869,0.11399999999999999,OOS rejection improves while ID recall/known macro-F1 trade off
banking77_oos,42,frozen_k1,0.8615603341034299,0.8236518493624392,0.877,0.21298701298701297,0.123,0.0,0.0,0.0,0.0,0.0,paired reference or controlled comparison
banking77_oos,42,frozen_selected_k,0.9048397645519948,0.7589868816561121,0.731,0.10162337662337663,0.269,0.04327943044856486,-0.06466496770632713,-0.14600000000000002,-0.11136363636363635,0.14600000000000002,paired reference or controlled comparison
banking77_oos,87,best_controlled_baseline,0.824995418728239,0.8193971914961261,0.874,0.26915584415584415,0.126,-0.025220098513140332,0.013220622067606547,-0.0050000000000000044,0.03766233766233765,0.0050000000000000044,paired reference or controlled comparison
banking77_oos,87,ce_recon_selected_k,0.889500860585198,0.8121788133162192,0.854,0.16103896103896104,0.146,0.03928534334381861,0.006002243887699654,-0.025000000000000022,-0.07045454545454546,0.024999999999999994,OOS rejection improves while ID recall/known macro-F1 trade off
banking77_oos,87,frozen_k1,0.8502155172413793,0.8061765694285196,0.879,0.2314935064935065,0.121,0.0,0.0,0.0,0.0,0.0,paired reference or controlled comparison
banking77_oos,87,frozen_selected_k,0.8502155172413793,0.8061765694285196,0.879,0.2314935064935065,0.121,0.0,0.0,0.0,0.0,0.0,paired reference or controlled comparison
