dataset,gate,stage,seed_count,count_mean,count_std,rate_mean,rate_std,count_total
banking77_oos,best_controlled_baseline,correct_known_prediction,3,794.0,22.516660498395403,0.1946078431372549,0.005518789337842019,2382
banking77_oos,best_controlled_baseline,correct_oos_rejection,3,2330.0,251.00398403212648,0.571078431372549,0.061520584321599577,6990
banking77_oos,best_controlled_baseline,known_rejected_by_gate,3,116.0,17.320508075688775,0.028431372549019607,0.0042452225675707785,348
banking77_oos,best_controlled_baseline,known_wrong_domain,3,0.0,0.0,0.0,0.0,0
banking77_oos,best_controlled_baseline,known_wrong_expert,3,90.0,12.12435565298214,0.022058823529411766,0.0029716557972995442,270
banking77_oos,best_controlled_baseline,oos_accepted_by_gate,3,750.0,251.00398403212648,0.18382352941176472,0.06152058432159963,2250
banking77_oos,ce_recon_selected_k,correct_known_prediction,3,713.0,35.79106033634656,0.17475490196078433,0.008772318709888864,2139
banking77_oos,ce_recon_selected_k,correct_oos_rejection,3,2661.3333333333335,72.59017380701972,0.6522875816993464,0.0177917092664264,7984
banking77_oos,ce_recon_selected_k,known_rejected_by_gate,3,206.33333333333334,52.2525916422653,0.0505718954248366,0.012807007755457183,619
banking77_oos,ce_recon_selected_k,known_wrong_domain,3,0.0,0.0,0.0,0.0,0
banking77_oos,ce_recon_selected_k,known_wrong_expert,3,80.66666666666667,17.21433511156714,0.01977124183006536,0.004219199782246848,242
banking77_oos,ce_recon_selected_k,oos_accepted_by_gate,3,418.6666666666667,72.59017380701972,0.10261437908496732,0.017791709266426405,1256
banking77_oos,frozen_k1,correct_known_prediction,3,779.6666666666666,24.00694344004112,0.19109477124183005,0.005884054764715955,2339
banking77_oos,frozen_k1,correct_oos_rejection,3,2351.3333333333335,81.63536815212713,0.5763071895424837,0.020008668664737033,7054
banking77_oos,frozen_k1,known_rejected_by_gate,3,111.66666666666667,17.925772879665004,0.027369281045751634,0.004393571784231618,335
banking77_oos,frozen_k1,known_wrong_domain,3,0.0,0.0,0.0,0.0,0
banking77_oos,frozen_k1,known_wrong_expert,3,108.66666666666667,9.814954576223638,0.026633986928104574,0.00240562612162344,326
banking77_oos,frozen_k1,oos_accepted_by_gate,3,728.6666666666666,81.63536815212713,0.17859477124183007,0.020008668664737043,2186
banking77_oos,frozen_selected_k,correct_known_prediction,3,712.0,49.68903299521938,0.17450980392156862,0.012178684557651805,2136
banking77_oos,frozen_selected_k,correct_oos_rejection,3,2584.6666666666665,202.32729260614676,0.6334967320261439,0.04959002269758499,7754
banking77_oos,frozen_selected_k,known_rejected_by_gate,3,196.33333333333334,74.03602726600971,0.04812091503267974,0.01814608511421807,589
banking77_oos,frozen_selected_k,known_wrong_domain,3,0.0,0.0,0.0,0.0,0
banking77_oos,frozen_selected_k,known_wrong_expert,3,91.66666666666667,25.383721817994566,0.02246732026143791,0.006221500445586903,275
banking77_oos,frozen_selected_k,oos_accepted_by_gate,3,495.3333333333333,202.32729260614676,0.12140522875816993,0.04959002269758499,1486
clinc150,best_controlled_baseline,correct_known_prediction,3,1785.3333333333333,66.65083145267832,0.3246060606060606,0.012118332991396058,5356
clinc150,best_controlled_baseline,correct_oos_rejection,3,2987.0,10.583005244258363,0.5430909090909091,0.0019241827716833385,8961
clinc150,best_controlled_baseline,known_rejected_by_gate,3,339.6666666666667,75.40778032360674,0.06175757575757576,0.013710505513383042,1019
clinc150,best_controlled_baseline,known_wrong_domain,3,54.333333333333336,3.0550504633038935,0.00987878787878788,0.0005554637206007076,163
clinc150,best_controlled_baseline,known_wrong_expert,3,70.66666666666667,8.962886439832502,0.012848484848484849,0.0016296157163331823,212
clinc150,best_controlled_baseline,oos_accepted_by_gate,3,263.0,10.583005244258363,0.047818181818181815,0.0019241827716833398,789
clinc150,ce_recon_selected_k,correct_known_prediction,3,1568.0,27.2213151776324,0.28509090909090906,0.0049493300322968085,4704
clinc150,ce_recon_selected_k,correct_oos_rejection,3,3150.3333333333335,30.02221399786054,0.5727878787878788,0.005458584363247406,9451
