source_name,experiment_name,result_path,columns_or_fields,source_commit,result_sha256,status,note
table_gate_fixed,kir_fixed_boundary,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cluster_separability_v19/kir_k_fixed_boundary.csv,"dataset,kir,distance,k,seed,oos_f1,id_recall,auroc,fpr95",fc236e08df209e2184ed89d62cc2f4aaec696b82,933c74fcdd37574ef0139cc0cdd46ee67bf9d89343080db0fe4fd84132152a14,complete,Fixed-boundary KIR×K 主比较
table_representation,representation_fixed,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/minilm_semantic_collision_v22/representation_fixed_results.csv,"representation,dataset,seed,k,oos_f1,near_oos_f1,id_recall,collision_rate",fc236e08df209e2184ed89d62cc2f4aaec696b82,edc29d2e45c9ff7eb105b176f71a624eae8002ec314877dc88e4874ffbd42800,complete,Frozen/CE/SupCon 表示对照
table_ce_recon,ce_recon_fixed,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/minilm_representation_analysis/adaptation/fixed_results.csv,"representation,dataset,seed,k,oos_f1,near_oos_f1,id_recall",fc236e08df209e2184ed89d62cc2f4aaec696b82,b323fecb0816594b8a3c5338d31f4035b1ddd03d579b07ab490fcbb41e0d41fa,complete,CE-Recon 表示保持结果
figure_collision,representation_collision,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/minilm_semantic_collision_v22/collision_decomposition_by_bucket.csv,"bucket,representation,collision_rate,false_accept_rate",fc236e08df209e2184ed89d62cc2f4aaec696b82,a5ff2b63d44fb65e058303003a97974d95451ed12cc9f805fe627db201a0018b,complete,表示碰撞—OOS 可分性机制图
table_cascade_smoke,cascade_k1,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/end_to_end_smoke/clinc150/kir50_seed42/k1/eval_results.json,"oos_f1,known_macro_f1,overall_accuracy,gate_id_recall,gate_oos_rejection",deb85e561db93f60b85cff4868911a82d45c52ab,8ee1ca08c1d51eaaf278fa0f6f860d55d36fbdbbccbc04a22c64f69dd947a747,representative_smoke_only,历史 CLINC150 Cascade smoke
table_cascade_representative,cascade_representative,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/end_to_end_representative,"eval_results.json:metrics.oos_f1,metrics.known_macro_f1,metrics.overall_accuracy,metrics.gate_id_recall,metrics.gate_oos_rejection",deb85e561db93f60b85cff4868911a82d45c52ab,b6c901a9c26f147ffffc366f1a5b5ec1ab7fe227c97efffb04d59f19183c813a,12_unit_smoke,三数据集代表性 Cascade；下游组件配置见各 run_manifest
table_external_hard_oos,hard_negative_external,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/external_validation/hard_negative_oos/external_hard_negative_summary.csv,"dataset,method,standard_oos_f1,hard_negative_oos_f1,hard_negative_oos_recall",deb85e561db93f60b85cff4868911a82d45c52ab,3ca3711089fa973f2d2a77bc6cd23fb3340a4e928a1c9302863e43aae93a0617,expanded_clinc_banking,外部 hard-negative 验证；StackOverflow 无兼容公开文件
table_mogb_status,mogb_protocol_audit,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/external_validation/mogb_protocol_audit.json,"status,blockers,repo_head",deb85e561db93f60b85cff4868911a82d45c52ab,602dd7f288caaf2f7fba9d38ad6f8bca90e358cb273f8331993a5d1e71209bd9,audited_not_reproduced,MOGB 协议审计；无数字时只放附录
table_cascade_full,cascade_full_kir50,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv,"dataset,kir_seed,gate,oos_f1,known_macro_f1,overall_accuracy,id_recall,oos_false_accept_rate,known_false_reject_rate,router_error_rate,expert_error_rate",deddee5b2acf34f5b93232ae8ea50c8c8436ee33,36f1d39f4ff8b6982358f805617b1486d245c928b0dd7d20e502eb5f9c089219,complete_36_units,KIR50; 3 datasets x 3 seeds x 4 Gate; test仅最终评估
figure_cascade_error_decomposition,cascade_full_kir50_error_decomposition,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_error_decomposition.csv,"dataset,kir_seed,gate,stage,count,rate",deddee5b2acf34f5b93232ae8ea50c8c8436ee33,eef0441e863e6ac0eece3d1c47cf7e6475c55bfe13b250d4f9b90245acb9eacf,complete_36_units,Gate/Router/Expert错误阶段分解
