k,distance,boundary,rule,fusion_weight,threshold,utility,known_coverage,correct_accept_rate
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.4,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.45,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.5,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.55,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.6,0.0017196904557179708,0.0017196904557179708,0.0017196904557179708
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.65,0.004299226139294927,0.004299226139294927,0.004299226139294927
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.7,0.027515047291487533,0.027515047291487533,0.027515047291487533
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.75,0.06276870163370593,0.06276870163370593,0.06276870163370593
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.8,0.12553740326741186,0.1298366294067068,0.1289767841788478
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.85,0.18142734307824593,0.20722269991401548,0.20206362854686155
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.9,0.24935511607910577,0.30524505588993983,0.294067067927773
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.95,0.3447979363714531,0.4350816852966466,0.4170249355116079
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.0,0.413585554600172,0.5812553740326741,0.5477214101461737
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.05,0.470335339638865,0.6895958727429062,0.645743766122098
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.1,0.5064488392089423,0.7773000859845228,0.7231298366294067
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.15,0.5124677558039553,0.8478073946689596,0.7807394668959587
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.2,0.5167669819432502,0.8950988822012038,0.819432502149613
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.25,0.4944110060189166,0.9329320722269991,0.8452278589853827
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.3,0.4892519346517627,0.9621668099742047,0.8675838349097162
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.35,0.4832330180567498,0.9733447979363714,0.8753224419604472
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.4,0.469475494411006,0.9853826311263972,0.882201203783319
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.45,0.468615649183147,0.9888220120378332,0.884780739466896
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.5,0.471195184866724,0.9914015477214101,0.8873602751504729
