k,distance,boundary,rule,fusion_weight,threshold,utility,known_coverage,correct_accept_rate
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.4,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.45,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.5,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.55,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.6,0.002,0.002,0.002
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.65,0.006,0.006,0.006
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.7,0.016,0.026,0.024
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.75,0.052,0.062,0.06
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.8,0.14,0.16,0.156
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.85,0.24,0.27,0.264
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.9,0.32,0.4,0.384
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.95,0.444,0.534,0.516
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.0,0.516,0.646,0.62
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.05,0.568,0.708,0.68
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.1,0.616,0.766,0.736
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.15,0.64,0.81,0.776
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.2,0.634,0.834,0.794
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.25,0.634,0.864,0.818
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.3,0.628,0.888,0.836
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.35,0.626,0.916,0.858
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.4,0.626,0.936,0.874
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.45,0.576,0.956,0.88
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.5,0.572,0.962,0.884
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.55,0.568,0.968,0.888
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.6,0.578,0.978,0.898
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.65,0.556,0.986,0.9
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.7,0.562,0.992,0.906
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.75,0.554,0.994,0.906
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.8,0.554,0.994,0.906
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.85,0.53,1.0,0.906
