k,distance,boundary,rule,fusion_weight,threshold,utility,known_coverage,correct_accept_rate
1,euclidean,mean_std_0.0,nearest_sphere,0.25,0.85,0.02406417112299465,0.02406417112299465,0.02406417112299465
1,euclidean,mean_std_0.0,nearest_sphere,0.25,0.9,0.0481283422459893,0.0481283422459893,0.0481283422459893
1,euclidean,mean_std_0.0,nearest_sphere,0.25,0.95,0.0855614973262032,0.09893048128342247,0.0962566844919786
1,euclidean,mean_std_0.0,nearest_sphere,0.25,1.0,0.16310160427807488,0.17647058823529413,0.17379679144385027
1,euclidean,mean_std_0.0,nearest_sphere,0.25,1.05,0.24598930481283424,0.25935828877005346,0.25668449197860965
1,euclidean,mean_std_0.0,nearest_sphere,0.25,1.1,0.3315508021390374,0.3449197860962567,0.3422459893048128
1,euclidean,mean_std_0.0,nearest_sphere,0.25,1.15,0.3582887700534759,0.42513368983957217,0.4117647058823529
1,euclidean,mean_std_0.0,nearest_sphere,0.25,1.2,0.4625668449197861,0.5294117647058824,0.516042780748663
1,euclidean,mean_std_0.0,nearest_sphere,0.25,1.25,0.5588235294117647,0.6390374331550802,0.6229946524064172
1,euclidean,mean_std_0.0,nearest_sphere,0.25,1.3,0.606951871657754,0.7005347593582888,0.6818181818181818
1,euclidean,mean_std_0.0,nearest_sphere,0.25,1.35,0.6818181818181818,0.7754010695187166,0.7566844919786097
1,euclidean,mean_std_0.0,nearest_sphere,0.25,1.4,0.7005347593582888,0.820855614973262,0.7967914438502673
1,euclidean,mean_std_0.0,nearest_sphere,0.25,1.45,0.679144385026738,0.8663101604278075,0.8288770053475936
1,euclidean,mean_std_0.0,nearest_sphere,0.25,1.5,0.6711229946524064,0.9117647058823529,0.8636363636363636
1,euclidean,mean_std_0.0,nearest_sphere,0.25,1.55,0.6818181818181818,0.9358288770053476,0.8850267379679144
1,euclidean,mean_std_0.0,nearest_sphere,0.25,1.6,0.6657754010695187,0.946524064171123,0.8903743315508021
1,euclidean,mean_std_0.0,nearest_sphere,0.25,1.65,0.6764705882352942,0.9705882352941176,0.9117647058823529
1,euclidean,mean_std_0.0,nearest_sphere,0.25,1.7,0.6737967914438503,0.9812834224598931,0.9197860962566845
1,euclidean,mean_std_0.0,nearest_sphere,0.25,1.75,0.679144385026738,0.9866310160427807,0.9251336898395722
1,euclidean,mean_std_0.0,nearest_sphere,0.25,1.8,0.6818181818181818,0.9893048128342246,0.9278074866310161
1,euclidean,mean_std_0.0,nearest_sphere,0.25,1.85,0.6871657754010695,0.9946524064171123,0.9331550802139037
1,euclidean,mean_std_0.0,nearest_sphere,0.25,1.9,0.6764705882352942,0.9973262032085561,0.9331550802139037
1,euclidean,mean_std_0.0,nearest_sphere,0.25,1.95,0.6657754010695187,1.0,0.9331550802139037
1,euclidean,mean_std_0.0,nearest_sphere,0.25,2.0,0.6657754010695187,1.0,0.9331550802139037
1,euclidean,mean_std_0.0,nearest_sphere,0.25,2.05,0.6657754010695187,1.0,0.9331550802139037
1,euclidean,mean_std_0.0,nearest_sphere,0.25,2.1,0.6657754010695187,1.0,0.9331550802139037
1,euclidean,mean_std_0.0,nearest_sphere,0.25,2.15,0.6657754010695187,1.0,0.9331550802139037
1,euclidean,mean_std_0.0,nearest_sphere,0.25,2.2,0.6657754010695187,1.0,0.9331550802139037
1,euclidean,mean_std_0.0,nearest_sphere,0.25,2.25,0.6657754010695187,1.0,0.9331550802139037
1,euclidean,mean_std_0.0,nearest_sphere,0.25,2.3,0.6657754010695187,1.0,0.9331550802139037
1,euclidean,mean_std_0.0,nearest_sphere,0.25,2.35,0.6657754010695187,1.0,0.9331550802139037
1,euclidean,mean_std_0.0,nearest_sphere,0.25,2.4,0.6657754010695187,1.0,0.9331550802139037
1,euclidean,mean_std_0.0,nearest_sphere,0.5,0.4,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.5,0.45,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.5,0.5,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.5,0.55,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.5,0.6,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.5,0.65,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.5,0.7,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.5,0.75,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.5,0.8,0.00267379679144385,0.00267379679144385,0.00267379679144385
1,euclidean,mean_std_0.0,nearest_sphere,0.5,0.85,0.00267379679144385,0.00267379679144385,0.00267379679144385
1,euclidean,mean_std_0.0,nearest_sphere,0.5,0.9,0.00267379679144385,0.00267379679144385,0.00267379679144385
1,euclidean,mean_std_0.0,nearest_sphere,0.5,0.95,0.0053475935828877,0.0053475935828877,0.0053475935828877
1,euclidean,mean_std_0.0,nearest_sphere,0.5,1.0,0.02406417112299465,0.02406417112299465,0.02406417112299465
1,euclidean,mean_std_0.0,nearest_sphere,0.5,1.05,0.045454545454545456,0.045454545454545456,0.045454545454545456
1,euclidean,mean_std_0.0,nearest_sphere,0.5,1.1,0.06951871657754011,0.08288770053475936,0.08021390374331551
1,euclidean,mean_std_0.0,nearest_sphere,0.5,1.15,0.13368983957219252,0.14705882352941177,0.1443850267379679
1,euclidean,mean_std_0.0,nearest_sphere,0.5,1.2,0.21122994652406418,0.22459893048128343,0.22192513368983957
1,euclidean,mean_std_0.0,nearest_sphere,0.5,1.25,0.28342245989304815,0.2967914438502674,0.29411764705882354
1,euclidean,mean_std_0.0,nearest_sphere,0.5,1.3,0.3689839572192513,0.38235294117647056,0.37967914438502676
1,euclidean,mean_std_0.0,nearest_sphere,0.5,1.35,0.3716577540106952,0.4385026737967914,0.42513368983957217
1,euclidean,mean_std_0.0,nearest_sphere,0.5,1.4,0.46524064171123,0.5320855614973262,0.5187165775401069
1,euclidean,mean_std_0.0,nearest_sphere,0.5,1.45,0.5481283422459893,0.6283422459893048,0.6122994652406417
1,euclidean,mean_std_0.0,nearest_sphere,0.5,1.5,0.6096256684491979,0.6898395721925134,0.6737967914438503
1,euclidean,mean_std_0.0,nearest_sphere,0.5,1.55,0.660427807486631,0.7540106951871658,0.7352941176470589
1,euclidean,mean_std_0.0,nearest_sphere,0.5,1.6,0.7165775401069518,0.8101604278074866,0.7914438502673797
1,euclidean,mean_std_0.0,nearest_sphere,0.5,1.65,0.7085561497326203,0.8422459893048129,0.8155080213903744
1,euclidean,mean_std_0.0,nearest_sphere,0.5,1.7,0.6844919786096256,0.8850267379679144,0.8449197860962567
1,euclidean,mean_std_0.0,nearest_sphere,0.5,1.75,0.6818181818181818,0.9224598930481284,0.8743315508021391
1,euclidean,mean_std_0.0,nearest_sphere,0.5,1.8,0.6844919786096256,0.9385026737967914,0.8877005347593583
1,euclidean,mean_std_0.0,nearest_sphere,0.5,1.85,0.6764705882352942,0.9572192513368984,0.9010695187165776
