dataset,kir,n_known_mean,n_oos_mean,net_known_correct_gain_mean,net_known_correct_gain_std,net_oos_correct_gain_mean,net_oos_correct_gain_std,known_trainable_recovers_mogb_reject_mean,known_trainable_fixes_mogb_wrong_mean,known_mogb_recovers_trainable_reject_mean,known_mogb_fixes_trainable_wrong_mean,trainable_f1_all_mean,mogb_f1_all_mean,f1_all_delta_mean,f1_all_delta_std,n_seeds,net_known_correct_gain_rate,net_oos_correct_gain_rate
banking77,0.25,760.0,2320.0,312.8,15.006665185843255,-204.8,72.53068316236929,314.8,0.0,2.0,0.0,0.7851015718978599,0.5587572321670984,0.22634433973076148,0.03133658633913604,5,0.41157894736842104,-0.08827586206896552
banking77,0.5,1520.0,1560.0,710.8,24.78305872970486,-228.6,46.48978382397578,713.8,0.4,3.4,0.0,0.8167355797722488,0.48600815327809965,0.3307274264941491,0.023472396101378846,5,0.4676315789473684,-0.14653846153846153
banking77,0.75,2320.0,760.0,1181.0,26.504716561397142,-143.2,34.332200628564436,1187.6,0.2,6.2,0.6,0.8413111725848881,0.42392825044969384,0.41738292213519407,0.018386144778745474,5,0.509051724137931,-0.18842105263157893
clinc150,0.25,1140.0,4560.0,413.8,26.376125568399925,-117.6,44.92549387597202,417.2,0.0,3.4,0.0,0.7968993956538231,0.5224035964713533,0.2744957991824699,0.026948088532755606,5,0.3629824561403509,-0.025789473684210525
clinc150,0.5,2250.0,3450.0,949.0,24.2074368738204,-96.2,26.20496136230695,953.8,1.0,5.4,0.4,0.8181661694793956,0.44953800389890197,0.3686281655804936,0.011409693469170165,5,0.42177777777777775,-0.027884057971014495
clinc150,0.75,3360.0,2340.0,1513.4,20.767763480933645,-74.6,10.23718711365578,1520.6,2.6,9.2,0.6,0.8291245798894671,0.4179709109786164,0.41115366891085064,0.010716116633297695,5,0.4504166666666667,-0.031880341880341875
stackoverflow,0.25,1500.0,4500.0,767.8,72.43410798788095,-131.0,87.75819050094412,768.4,0.2,0.6,0.2,0.8763726851882934,0.540703865522772,0.33566881966552137,0.05135451336573526,5,0.5118666666666666,-0.029111111111111112
stackoverflow,0.5,3000.0,3000.0,1681.8,84.0458208360178,-256.4,90.43671820671071,1681.0,2.2,0.6,0.8,0.8655077750537565,0.43298039378929865,0.43252738126445794,0.04267434671428842,5,0.5606,-0.08546666666666666
stackoverflow,0.75,4500.0,1500.0,2755.2,98.19979633380099,-122.0,83.39364484179835,2752.8,5.2,0.8,2.0,0.87280021593395,0.33093232311807846,0.5418678928158714,0.02591895593070677,5,0.6122666666666666,-0.08133333333333333
