dataset,kir,seed,n_samples,n_known,n_oos,known_trainable_only_correct,known_mogb_only_correct,oos_trainable_only_correct,oos_mogb_only_correct,known_trainable_recovers_mogb_reject,known_trainable_fixes_mogb_wrong,known_mogb_recovers_trainable_reject,known_mogb_fixes_trainable_wrong,trainable_f1_all,mogb_f1_all,net_known_correct_gain,net_oos_correct_gain,net_total_correct_gain,f1_all_delta
clinc150,0.25,13,5700,1140,4560,387,6,0,97,387,0,6,0,0.8010298070270483,0.5527994208886718,381,-97,284,0.24823038613837645
clinc150,0.25,42,5700,1140,4560,451,1,0,136,451,0,1,0,0.7837064085470472,0.46901886073036625,450,-136,314,0.31468754781668096
clinc150,0.25,87,5700,1140,4560,425,1,1,161,425,0,1,0,0.7856815672130489,0.5165800461524818,424,-160,264,0.2691015210605672
clinc150,0.25,100,5700,1140,4560,420,3,5,54,420,0,3,0,0.8293119919847214,0.5427412747637941,417,-49,368,0.2865707172209273
clinc150,0.25,123,5700,1140,4560,403,6,0,146,403,0,6,0,0.7847672034972499,0.5308783798214524,397,-146,251,0.25388882367579757
clinc150,0.5,13,5700,2250,3450,971,9,2,77,966,5,9,0,0.8261993158424225,0.4490273375575833,962,-75,887,0.37717197828483917
clinc150,0.5,42,5700,2250,3450,979,8,1,136,979,0,7,1,0.8075141354234162,0.4275814690032287,971,-135,836,0.3799326664201875
clinc150,0.5,87,5700,2250,3450,914,4,4,75,914,0,3,1,0.8234017136184872,0.4714741018932011,910,-71,839,0.35192761172528614
clinc150,0.5,100,5700,2250,3450,948,6,4,96,948,0,6,0,0.824919460048002,0.4621121291551101,942,-92,850,0.3628073308928919
clinc150,0.5,123,5700,2250,3450,962,2,0,108,962,0,2,0,0.8087962224646499,0.43749498188538666,960,-108,852,0.3713012405792632
clinc150,0.75,13,5700,3360,2340,1539,10,0,90,1535,4,9,1,0.8206112737544196,0.40441353203797437,1529,-90,1439,0.4161977417164452
