dataset,kir,representation,oos_f1,false_accept_rate,known_recall,auroc
banking77,0.25,frozen,0.8918193469989266,0.15008620689655172,0.8305263157894738,0.9092328720508167
banking77,0.25,trainable,0.9165382964914104,0.10327586206896547,0.8184210526315789,0.922975612522686
banking77,0.5,frozen,0.7884855089381205,0.2488461538461538,0.8426315789473684,0.8737626518218624
banking77,0.5,trainable,0.8356406184886493,0.15743589743589742,0.8221052631578948,0.9014173414304993
banking77,0.75,frozen,0.617117473114796,0.35315789473684206,0.853103448275862,0.8452072368421053
banking77,0.75,trainable,0.6865343253584566,0.1960526315789473,0.8241379310344827,0.8890411751361162
clinc150,0.25,frozen,0.9471329806114899,0.044078947368421016,0.7496491228070176,0.9410235457063711
clinc150,0.25,trainable,0.9516427437131567,0.03236842105263154,0.7363157894736843,0.9588536088027085
clinc150,0.5,frozen,0.893220368395799,0.0656811594202898,0.7581333333333333,0.9278020225442833
clinc150,0.5,trainable,0.9043941395821135,0.036927536231884016,0.7444444444444445,0.9532673752012881
clinc150,0.75,frozen,0.814740502971995,0.07401709401709397,0.7582142857142857,0.9168220390720391
clinc150,0.75,trainable,0.828493223497581,0.040170940170940125,0.7511904761904762,0.9500434472934473
stackoverflow,0.25,frozen,0.9041894994081593,0.12839999999999996,0.8352,0.9203150814814816
stackoverflow,0.25,trainable,0.9547969095009252,0.038488888888888836,0.8429333333333332,0.9529569185185185
stackoverflow,0.5,frozen,0.7812258420202773,0.25026666666666664,0.8346666666666668,0.8826348888888889
stackoverflow,0.5,trainable,0.8767066651336372,0.09339999999999998,0.8389333333333333,0.9235181333333333
stackoverflow,0.75,frozen,0.6580314641723235,0.2713333333333333,0.8398222222222224,0.8810727407407407
stackoverflow,0.75,trainable,0.7630378449085173,0.08799999999999997,0.8411555555555555,0.9290362370370371
