dataset,representation,n,score_p10,score_p50,score_p90,score_p95,score_p99,score_leq_1_rate
banking77,frozen,1560.0,0.9120924733253408,1.0856152419061065,1.2821820095469676,1.336127402054904,1.4347867946444972,0.2488461538461538
banking77,trainable,1560.0,0.955062112960668,1.1604772748448107,1.38359712327913,1.436967082750606,1.5194826057233415,0.15743589743589742
clinc150,frozen,3450.0,1.0322810249835512,1.1630212157970625,1.237415761852223,1.2522399204397674,1.2755063797349182,0.0656811594202898
clinc150,trainable,3450.0,1.108310361117892,1.3167803455170741,1.4665976926514857,1.5019478308296002,1.5565258959516008,0.036927536231884016
stackoverflow,frozen,3000.0,0.9755765020867114,1.0241919709878773,1.0602116368626278,1.0674220768315994,1.0781337751723794,0.25026666666666664
stackoverflow,trainable,3000.0,1.0037226708974565,1.1938363561554681,1.3540969828677485,1.3980773882412496,1.468339176406208,0.09339999999999998
