dataset,kir,f1_all,known_recall,oos_f1,delta_known_rejected_rate,delta_oos_false_accept_rate,mechanism
banking77,0.2500000000,9.9334532064,-5.6315789474,8.8532750782,0.0563157895,-0.1607758621,conservative_rejection
banking77,0.5000000000,2.8863495054,-6.9342105263,8.5958577990,0.0693421053,-0.1792307692,conservative_rejection
banking77,0.7500000000,-1.7601057533,-7.9396551724,2.3861219708,0.0793965517,-0.1621052632,conservative_rejection
clinc150,0.2500000000,3.0827367703,-17.3508771930,3.5653755082,0.1735087719,-0.1034649123,conservative_rejection
clinc150,0.5000000000,-3.6712281788,-16.4000000000,1.0509699882,0.1640000000,-0.1065507246,conservative_rejection
clinc150,0.7500000000,-5.6107007844,-16.4166666667,-1.9112110464,0.1641666667,-0.1347008547,conservative_rejection
stackoverflow,0.2500000000,4.5196524070,0.7733333333,2.3441209539,-0.0077333333,-0.0418222222,coverage_recovery
stackoverflow,0.5000000000,0.7457264378,2.5200000000,0.4587685885,-0.0252000000,0.0107333333,coverage_false_accept_tradeoff
stackoverflow,0.7500000000,1.2942134788,3.2711111111,2.6042448423,-0.0327111111,0.0068000000,coverage_false_accept_tradeoff
