ci95_high,ci95_low,dataset,losses,mean_delta,method,metric,n,std_delta,ties,wins
0.010250135079299505,0.0007944910256482141,banking77,0,0.004206775107158352,fixed_k2,oos_f1,3,0.0052482588897683575,0,3
0.0022769338063893807,-0.011266042881614147,banking77,2,-0.006167762572022044,fixed_k2,f1_all,3,0.007365590931635484,0,1
-0.019078947368421084,-0.02894736842105272,banking77,3,-0.022587719298245656,fixed_k2,known_recall,3,0.005517432291846147,0,0
-0.014102564102564108,-0.03397435897435899,banking77,3,-0.021153846153846162,fixed_k2,false_accept_rate,3,0.011121379213395824,0,0
0.05839733945680581,0.0188482960584615,banking77,0,0.0389571969937342,fixed_k4,oos_f1,3,0.019783001209412992,0,3
0.014159404636095663,-0.016407098084655902,banking77,2,-0.0008726972286631218,fixed_k4,f1_all,3,0.01528944081226891,0,1
-0.07565789473684204,-0.08486842105263159,banking77,3,-0.0807017543859649,fixed_k4,known_recall,3,0.004667499266182671,0,0
-0.08846153846153847,-0.15256410256410258,banking77,3,-0.1200854700854701,fixed_k4,false_accept_rate,3,0.03205982792053172,0,0
0.002791717060413479,-0.00068493150684934,banking77,1,0.0012436094394135584,BRAK,oos_f1,3,0.0017692705986622392,0,2
0.003942659746638433,-0.006603794709946098,banking77,2,-0.0018333785724519158,BRAK,f1_all,3,0.005344659238931104,0,1
0.005921052631578938,-0.0006578947368421906,banking77,1,0.0037280701754385617,BRAK,known_recall,3,0.0037983570341423183,0,2
0.0012820512820512775,-0.0006410256410256387,banking77,1,0.00042735042735042583,BRAK,false_accept_rate,3,0.0009791828408025264,0,2
0.005160188588187231,-0.017411114877880052,banking77,1,-0.003906851698671961,URCSG-primary,oos_f1,3,0.011921939661255382,0,2
0.0011079768355752861,-0.011962749518205307,banking77,1,-0.0035069336708448695,URCSG-primary,f1_all,3,0.007333170339791741,0,2
0.003289473684210509,-0.007894736842105288,banking77,2,-0.0019736842105263497,URCSG-primary,known_recall,3,0.00562105509560364,0,1
0.02756410256410255,-0.01282051282051283,banking77,1,0.0053418803418803324,URCSG-primary,false_accept_rate,3,0.020496120338666598,0,2
0.04179157540830347,0.0014543648017483202,banking77,0,0.01647050980352079,URCSG-largest-feasible,oos_f1,3,0.022054844849945205,0,3
0.0023211476546532994,-0.02245384780661741,banking77,2,-0.00843151413657861,URCSG-largest-feasible,f1_all,3,0.0127070124605586,0,1
-0.026973684210526372,-0.03815789473684217,banking77,3,-0.034210526315789504,URCSG-largest-feasible,known_recall,3,0.006275915798795677,0,0
-0.020512820512820523,-0.09166666666666667,banking77,3,-0.04893162393162393,URCSG-largest-feasible,false_accept_rate,3,0.03767536976250106,0,0
0.005160188588187231,-0.017411114877880052,banking77,1,-0.003906851698671961,URCSG-shuffled-primary,oos_f1,3,0.011921939661255382,0,2
0.0011079768355752861,-0.011962749518205307,banking77,1,-0.0035069336708448695,URCSG-shuffled-primary,f1_all,3,0.007333170339791741,0,2
0.003289473684210509,-0.007894736842105288,banking77,2,-0.0019736842105263497,URCSG-shuffled-primary,known_recall,3,0.00562105509560364,0,1
0.02756410256410255,-0.01282051282051283,banking77,1,0.0053418803418803324,URCSG-shuffled-primary,false_accept_rate,3,0.020496120338666598,0,2
-0.08280082964809865,-0.13137340603950098,stackoverflow,3,-0.10141701041768325,fixed_k2,oos_f1,3,0.026196834713296195,0,0
-0.04798979218410804,-0.05487460884513895,stackoverflow,3,-0.05055359076241539,fixed_k2,f1_all,3,0.0037637800684986586,0,0
0.04533333333333334,0.03400000000000003,stackoverflow,0,0.03933333333333333,fixed_k2,known_recall,3,0.005696002496878344,0,3
0.22099999999999997,0.12833333333333335,stackoverflow,0,0.1661111111111111,fixed_k2,false_accept_rate,3,0.04864535301927995,0,3
-0.10834114369333692,-0.19643490374495332,stackoverflow,3,-0.1474442849504722,fixed_k4,oos_f1,3,0.044871475338421625,0,0
-0.06428804542449185,-0.09955971185096679,stackoverflow,3,-0.08044784707538462,fixed_k4,f1_all,3,0.017820174540229484,0,0
0.07433333333333336,0.05233333333333334,stackoverflow,0,0.060777777777777785,fixed_k4,known_recall,3,0.011857174730625884,0,3
0.2873333333333333,0.16466666666666674,stackoverflow,0,0.23199999999999998,fixed_k4,false_accept_rate,3,0.062207537949815775,0,3
0.0,0.0,stackoverflow,0,0.0,BRAK,oos_f1,3,0.0,3,0
0.0,0.0,stackoverflow,0,0.0,BRAK,f1_all,3,0.0,3,0
0.0,0.0,stackoverflow,0,0.0,BRAK,known_recall,3,0.0,3,0
0.0,0.0,stackoverflow,0,0.0,BRAK,false_accept_rate,3,0.0,3,0
-0.011029894015262887,-0.1081651911263447,stackoverflow,3,-0.06095747329493573,URCSG-primary,oos_f1,3,0.048624733633592786,0,0
-0.009598722531437898,-0.039396525161579876,stackoverflow,3,-0.026668304445913133,URCSG-primary,f1_all,3,0.015365963139032776,0,0
0.07000000000000006,0.007333333333333303,stackoverflow,0,0.0421111111111111,URCSG-primary,known_recall,3,0.03189624382855092,0,3
0.16300000000000003,0.021666666666666667,stackoverflow,0,0.10933333333333334,URCSG-primary,false_accept_rate,3,0.07655571681969792,0,3
-0.007230639912249592,-0.11825347180311618,stackoverflow,3,-0.05819385461656897,URCSG-largest-feasible,oos_f1,3,0.056067599412280136,0,0
-0.01258996965245851,-0.04589702733515011,stackoverflow,3,-0.029655914102891184,URCSG-largest-feasible,f1_all,3,0.0166688416746153,0,0
0.06333333333333335,0.0033333333333332993,stackoverflow,0,0.03733333333333333,URCSG-largest-feasible,known_recall,3,0.030789608636681336,0,3
0.17300000000000004,0.013333333333333308,stackoverflow,0,0.10155555555555557,URCSG-largest-feasible,false_accept_rate,3,0.08114481795827437,0,3
-0.1402530876259669,-0.1984891584406283,stackoverflow,3,-0.1629667850647628,URCSG-shuffled-primary,oos_f1,3,0.031159374519207122,0,0
-0.05320504805803106,-0.090513708410625,stackoverflow,3,-0.06718542621392747,URCSG-shuffled-primary,f1_all,3,0.02033522846671076,0,0
0.08433333333333337,0.06233333333333335,stackoverflow,0,0.07322222222222223,URCSG-shuffled-primary,known_recall,3,0.011001683372876955,0,3
0.2923333333333333,0.20900000000000007,stackoverflow,0,0.25533333333333336,URCSG-shuffled-primary,false_accept_rate,3,0.04244342639849472,0,3
