candidate_k,dataset,feasible_fraction,ineligible_fraction,intent,mean_coverage_delta,mean_delta_union_risk,mean_union_risk_ucb95,n_seeds,selected_k,selected_k_largest_mode,selected_k_mode,selected_k_primary_mode,selected_k_shuffled_primary_mode,selection_reason
1,banking77,1.0,0.0,Refund_not_showing_up,0.0,0.0,0.0,3,1,5,1,1,1,min_q95_among_feasible
2,banking77,1.0,0.0,Refund_not_showing_up,0.0625,0.0,0.007978026572486417,3,1,5,1,1,1,min_q95_among_feasible
3,banking77,1.0,0.0,Refund_not_showing_up,0.0625,0.0,0.007978026572486417,3,1,5,1,1,1,min_q95_among_feasible
4,banking77,1.0,0.0,Refund_not_showing_up,0.0625,0.0,0.007978026572486417,3,1,5,1,1,1,min_q95_among_feasible
5,banking77,1.0,0.0,Refund_not_showing_up,0.08333333333333333,0.0,0.007978026572486417,3,1,5,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,activate_my_card,0.0,0.0,0.0,1,1,5,1,1,1,min_q95_among_feasible
2,banking77,1.0,0.0,activate_my_card,0.0,0.0,0.008005683439974685,1,1,5,1,1,1,min_q95_among_feasible
3,banking77,1.0,0.0,activate_my_card,0.0,0.0,0.008005683439974685,1,1,5,1,1,1,min_q95_among_feasible
4,banking77,1.0,0.0,activate_my_card,0.0,0.0,0.008005683439974685,1,1,5,1,1,1,min_q95_among_feasible
5,banking77,1.0,0.0,activate_my_card,0.0,0.0,0.008005683439974685,1,1,5,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,age_limit,0.0,0.0,0.0,1,1,5,1,1,1,min_q95_among_feasible
2,banking77,1.0,0.0,age_limit,0.09090909090909094,0.0,0.007923123633110731,1,1,5,1,1,1,min_q95_among_feasible
3,banking77,1.0,0.0,age_limit,0.09090909090909094,0.0,0.007923123633110731,1,1,5,1,1,1,min_q95_among_feasible
4,banking77,1.0,0.0,age_limit,0.0,0.0,0.007923123633110731,1,1,5,1,1,1,min_q95_among_feasible
5,banking77,1.0,0.0,age_limit,0.0,0.0,0.007923123633110731,1,1,5,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,apple_pay_or_google_pay,0.0,0.0,0.0,2,3,4,3,3,3,min_q95_among_feasible
2,banking77,1.0,0.0,apple_pay_or_google_pay,0.0,0.0,0.007939533002042021,2,3,4,3,3,3,min_q95_among_feasible
3,banking77,1.0,0.0,apple_pay_or_google_pay,0.0,0.0,0.007939533002042021,2,3,4,3,3,3,min_q95_among_feasible
4,banking77,0.5,0.0,apple_pay_or_google_pay,-0.03846153846153849,0.0,0.007939533002042021,2,3,4,3,3,3,min_q95_among_feasible
5,banking77,0.0,0.0,apple_pay_or_google_pay,-0.11538461538461542,0.0,0.007939533002042021,2,3,4,3,3,3,min_q95_among_feasible
1,banking77,1.0,0.0,atm_support,0.0,0.0,0.0,3,1,1,1,1,1,min_q95_among_feasible
2,banking77,0.0,0.0,atm_support,-0.11111111111111105,0.0006901311249137336,0.00911122011621726,3,1,1,1,1,1,min_q95_among_feasible
3,banking77,0.0,0.0,atm_support,-0.18518518518518515,0.0006901311249137336,0.00911122011621726,3,1,1,1,1,1,min_q95_among_feasible
4,banking77,0.0,0.0,atm_support,-0.2592592592592592,0.0006901311249137336,0.00911122011621726,3,1,1,1,1,1,min_q95_among_feasible
5,banking77,0.0,0.0,atm_support,-0.4074074074074074,0.0006901311249137336,0.00911122011621726,3,1,1,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,automatic_top_up,0.0,0.0,0.0,2,1,4,1,1,1,min_q95_among_feasible
2,banking77,1.0,0.0,automatic_top_up,0.0,0.0,0.007931378980303796,2,1,4,1,1,1,min_q95_among_feasible
3,banking77,1.0,0.0,automatic_top_up,0.0,0.0,0.007931378980303796,2,1,4,1,1,1,min_q95_among_feasible
4,banking77,1.0,0.0,automatic_top_up,0.038461538461538436,0.0,0.007931378980303796,2,1,4,1,1,1,min_q95_among_feasible
5,banking77,0.5,0.0,automatic_top_up,-0.03846153846153849,0.0,0.007931378980303796,2,1,4,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,balance_not_updated_after_cheque_or_cash_deposit,0.0,0.0,0.0,2,2,4,2,2,2,min_q95_among_feasible
2,banking77,1.0,0.0,balance_not_updated_after_cheque_or_cash_deposit,0.0,0.0010482180293501049,0.009908716013135414,2,2,4,2,2,2,min_q95_among_feasible
3,banking77,0.0,0.0,balance_not_updated_after_cheque_or_cash_deposit,-0.05555555555555558,0.0,0.008014112628413693,2,2,4,2,2,2,min_q95_among_feasible
4,banking77,1.0,0.0,balance_not_updated_after_cheque_or_cash_deposit,0.0,0.0010482180293501049,0.009908716013135414,2,2,4,2,2,2,min_q95_among_feasible
5,banking77,0.0,0.0,balance_not_updated_after_cheque_or_cash_deposit,-0.11111111111111116,0.0010482180293501049,0.009908716013135414,2,2,4,2,2,2,min_q95_among_feasible
1,banking77,1.0,0.0,beneficiary_not_allowed,0.0,0.0,0.0,1,3,3,3,3,3,min_q95_among_feasible
2,banking77,1.0,0.0,beneficiary_not_allowed,0.0,0.0020920502092050207,0.011753803038745458,1,3,3,3,3,3,min_q95_among_feasible
3,banking77,1.0,0.0,beneficiary_not_allowed,0.0,0.0,0.007972453906511256,1,3,3,3,3,3,min_q95_among_feasible
4,banking77,0.0,0.0,beneficiary_not_allowed,-0.0625,0.0,0.007972453906511256,1,3,3,3,3,3,min_q95_among_feasible
5,banking77,0.0,0.0,beneficiary_not_allowed,-0.1875,0.0,0.007972453906511256,1,3,3,3,3,3,min_q95_among_feasible
1,banking77,1.0,0.0,cancel_transfer,0.0,0.0,0.0,2,1,1,1,1,1,min_q95_among_feasible
2,banking77,0.0,0.0,cancel_transfer,-0.0625,0.0,0.007964198138742284,2,1,1,1,1,1,min_q95_among_feasible
3,banking77,0.0,0.0,cancel_transfer,-0.125,0.0,0.007964198138742284,2,1,1,1,1,1,min_q95_among_feasible
4,banking77,0.0,0.0,cancel_transfer,-0.1875,0.0,0.007964198138742284,2,1,1,1,1,1,min_q95_among_feasible
5,banking77,0.0,0.0,cancel_transfer,-0.1875,0.0,0.007964198138742284,2,1,1,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,card_about_to_expire,0.0,0.0,0.0,2,1,1,1,1,1,min_q95_among_feasible
2,banking77,0.0,0.0,card_about_to_expire,-0.23076923076923084,0.0,0.007914969611372506,2,1,1,1,1,1,min_q95_among_feasible
3,banking77,0.0,0.0,card_about_to_expire,-0.3461538461538462,0.0,0.007914969611372506,2,1,1,1,1,1,min_q95_among_feasible
4,banking77,0.0,0.0,card_about_to_expire,-0.38461538461538464,0.0,0.007914969611372506,2,1,1,1,1,1,min_q95_among_feasible
5,banking77,0.0,0.0,card_about_to_expire,-0.42307692307692313,0.0,0.007914969611372506,2,1,1,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,card_arrival,0.0,0.0,0.0,2,1,2,1,1,1,min_q95_among_feasible
2,banking77,0.5,0.0,card_arrival,-0.033333333333333326,0.0,0.007964266603498615,2,1,2,1,1,1,min_q95_among_feasible
3,banking77,0.0,0.0,card_arrival,-0.09999999999999998,0.0010482180293501049,0.009858869988220338,2,1,2,1,1,1,min_q95_among_feasible
4,banking77,0.0,0.0,card_arrival,-0.09999999999999998,0.0,0.007964266603498615,2,1,2,1,1,1,min_q95_among_feasible
5,banking77,0.0,0.0,card_arrival,-0.1333333333333333,0.0,0.007964266603498615,2,1,2,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,card_delivery_estimate,0.0,0.0,0.0,3,4,5,4,4,4,min_q95_among_feasible
2,banking77,1.0,0.0,card_delivery_estimate,0.0,0.0,0.007896032750379377,3,4,5,4,4,4,min_q95_among_feasible
3,banking77,1.0,0.0,card_delivery_estimate,0.09090909090909083,0.0,0.007896032750379377,3,4,5,4,4,4,min_q95_among_feasible
4,banking77,1.0,0.0,card_delivery_estimate,0.15151515151515146,0.0,0.007896032750379377,3,4,5,4,4,4,min_q95_among_feasible
5,banking77,1.0,0.0,card_delivery_estimate,0.12121212121212117,0.0,0.007896032750379377,3,4,5,4,4,4,min_q95_among_feasible
1,banking77,1.0,0.0,card_linking,0.0,0.0,0.0,1,2,5,2,2,2,min_q95_among_feasible
2,banking77,1.0,0.0,card_linking,0.07142857142857151,0.0,0.007939499087277936,1,2,5,2,2,2,min_q95_among_feasible
3,banking77,0.0,0.0,card_linking,-0.0714285714285714,0.0,0.007939499087277936,1,2,5,2,2,2,min_q95_among_feasible
4,banking77,0.0,0.0,card_linking,-0.1428571428571428,0.0,0.007939499087277936,1,2,5,2,2,2,min_q95_among_feasible
5,banking77,1.0,0.0,card_linking,0.0,0.0,0.007939499087277936,1,2,5,2,2,2,min_q95_among_feasible
1,banking77,1.0,0.0,card_payment_fee_charged,0.0,0.0,0.0,2,2,4,2,2,2,min_q95_among_feasible
2,banking77,1.0,0.0,card_payment_fee_charged,0.0,0.011574608701831683,0.025644638178183438,2,2,4,2,2,2,min_q95_among_feasible
3,banking77,1.0,0.0,card_payment_fee_charged,0.0,0.011574608701831683,0.025644638178183438,2,2,4,2,2,2,min_q95_among_feasible
4,banking77,1.0,0.0,card_payment_fee_charged,0.0,0.010524188533764457,0.024260063872173235,2,2,4,2,2,2,min_q95_among_feasible
5,banking77,0.0,0.0,card_payment_fee_charged,-0.05263157894736842,0.008410023628901878,0.020958806396357266,2,2,4,2,2,2,min_q95_among_feasible
1,banking77,1.0,0.0,card_payment_not_recognised,0.0,0.0,0.0,2,3,5,3,3,3,min_q95_among_feasible
2,banking77,1.0,0.0,card_payment_not_recognised,0.05882352941176472,0.006306962374489683,0.018303535207331967,2,3,5,3,3,3,min_q95_among_feasible
