dataset,seed,kir,method,oos_f1,false_accept_rate,known_recall,f1_all,overall_accuracy,known_macro_f1,false_reject_rate,router_error_rate,expert_error_rate,delta_oos_f1_vs_frozen_pp,delta_false_accept_vs_frozen_pp,delta_oos_f1_vs_partial_pp,delta_false_accept_vs_partial_pp,gate_metric_max_abs_delta,known_count,oos_count,test_used_for_selection,oos_used_for_training
clinc150,42,0.5,frozen_k1,0.8816362053959965,0.06492307692307692,0.7311111111111112,0.7518432592696991,0.8332727272727273,0.7863856697931784,0.2688888888888889,0.02796352583586626,0.03343465045592705,0.0,0.0,-1.3988615879382382,2.861538461538461,0.0,2250,3250,False,False
clinc150,42,0.5,partial_k1,0.8956248212753789,0.036307692307692305,0.728,0.7732284612704744,0.8518181818181818,0.792451659233587,0.272,0.023809523809523808,0.028083028083028084,1.3988615879382382,-2.861538461538461,0.0,0.0,0.0,2250,3250,False,False
clinc150,42,0.5,lora_k1,0.8875807609475951,0.04892307692307692,0.7226666666666667,0.7604952563942855,0.8416363636363636,0.7863031736300934,0.2773333333333333,0.023985239852398525,0.03013530135301353,0.5944555551598563,-1.5999999999999994,-0.804406032778382,1.261538461538462,0.0,2250,3250,False,False
stackoverflow,42,0.5,frozen_k1,0.8435800230756552,0.14614614614614616,0.8292682926829268,0.7844080802549502,0.8106844741235393,0.8384207068794064,0.17073170731707318,0.0,0.07453666398066076,0.0,0.0,-7.135676481259212,12.412412412412413,0.0,2993,2997,False,False
stackoverflow,42,0.5,partial_k1,0.9149367878882473,0.022022022022022022,0.8399599064483796,0.8541096942704243,0.8839732888146912,0.857561796507435,0.16004009355162044,0.0,0.059665871121718374,7.135676481259212,-12.412412412412413,0.0,0.0,0.0,2993,2997,False,False
stackoverflow,42,0.5,lora_k1,0.9091193983077405,0.03203203203203203,0.8382893417975276,0.845350813767427,0.8764607679465777,0.8529777346843318,0.16171065820247243,0.0,0.06377042646472698,6.55393752320853,-11.411411411411413,-0.5817389580506815,1.001001001001001,0.0,2993,2997,False,False
banking77,42,0.5,frozen_k1,0.789795918367347,0.25576923076923075,0.8559210526315789,0.7724311246716384,0.7727272727272727,0.8621763546760953,0.14407894736842106,0.0,0.06302843966179862,0.0,0.0,-4.011422283932831,8.46153846153846,0.0,1520,1560,False,False
banking77,42,0.5,partial_k1,0.8299101412066753,0.17115384615384616,0.8269736842105263,0.7915866669625824,0.8058441558441558,0.8538442884928019,0.1730263157894737,0.0,0.05409705648369133,4.011422283932831,-8.46153846153846,0.0,0.0,0.0,1520,1560,False,False
banking77,42,0.5,lora_k1,0.8349951752975233,0.16794871794871793,0.8348684210526316,0.7953667954222416,0.8103896103896104,0.8570743916985288,0.16513157894736843,0.0,0.05594956658786446,4.519925693017635,-8.782051282051281,0.508503409084804,-0.32051282051282215,0.0,1520,1560,False,False
