dataset,kir,method,oos_f1,known_recall
banking77,0.25,Trainable K=1,92.1700942110359,81.9298245614035
banking77,0.5,Trainable K=1,84.76968183476892,81.90789473684211
banking77,0.75,Trainable K=1,69.52825227774912,82.61494252873564
clinc150,0.25,Trainable K=1,94.9379906352469,73.33333333333334
clinc150,0.5,Trainable K=1,90.43025833372951,74.26666666666665
clinc150,0.75,Trainable K=1,82.54718838737372,74.5734126984127
stackoverflow,0.25,Trainable K=1,95.04615702473552,84.17777777777778
stackoverflow,0.5,Trainable K=1,86.70909818700716,83.92222222222222
stackoverflow,0.75,Trainable K=1,76.67789806300779,84.26666666666667
banking77,0.25,single_centroid,85.17237093485583,83.89473684210526
banking77,0.5,single_centroid,72.42801509490057,85.01315789473685
banking77,0.75,single_centroid,53.660717139782875,86.41379310344828
clinc150,0.25,single_centroid,94.2072251134667,77.94736842105263
clinc150,0.5,single_centroid,88.94333056826393,78.75555555555556
clinc150,0.75,single_centroid,81.74656812211403,79.07142857142857
stackoverflow,0.25,single_centroid,89.48207530022316,85.61333333333334
stackoverflow,0.5,single_centroid,76.54959559609912,87.14666666666666
stackoverflow,0.75,single_centroid,65.60530143222347,87.62222222222222
banking77,0.25,fixed_k2,85.77784166123713,81.89473684210526
banking77,0.5,fixed_k2,75.46157036165422,82.55263157894737
banking77,0.75,fixed_k2,59.31096142882415,83.13793103448276
clinc150,0.25,fixed_k2,94.47183904938935,74.35087719298245
clinc150,0.5,fixed_k2,89.2005798496586,75.13777777777777
clinc150,0.75,fixed_k2,81.50384507030115,75.80357142857143
stackoverflow,0.25,fixed_k2,86.66146611474034,85.21333333333332
stackoverflow,0.5,fixed_k2,63.52945072329976,86.88666666666667
stackoverflow,0.75,fixed_k2,43.63469767864571,88.02222222222221
banking77,0.25,mogb_minilm,90.29919725157673,39.97368421052631
banking77,0.5,mogb_minilm,74.99368546965275,33.4078947368421
banking77,0.75,mogb_minilm,47.63444315858617,28.767241379310338
clinc150,0.25,mogb_minilm,92.38361040438376,37.10526315789473
clinc150,0.5,mogb_minilm,81.31951016346012,31.57333333333333
clinc150,0.75,mogb_minilm,65.9315423050709,29.196428571428573
stackoverflow,0.25,mogb_minilm,89.44000569448455,32.61333333333333
stackoverflow,0.5,mogb_minilm,72.9199427573284,27.09333333333333
stackoverflow,0.75,mogb_minilm,45.58840331344417,21.17333333333333
banking77,0.25,mogb_partition_ours_boundary,92.05598966754222,61.684210526315795
banking77,0.5,mogb_partition_ours_boundary,79.39747596576892,52.18421052631579
banking77,0.75,mogb_partition_ours_boundary,53.133166838946586,45.862068965517246
clinc150,0.25,mogb_partition_ours_boundary,94.13139384002535,60.17543859649124
clinc150,0.5,mogb_partition_ours_boundary,85.55543863002325,53.342222222222226
clinc150,0.75,mogb_partition_ours_boundary,71.97434059711283,48.089285714285715
stackoverflow,0.25,mogb_partition_ours_boundary,92.59960799998362,59.10666666666666
stackoverflow,0.5,mogb_partition_ours_boundary,79.24706249591658,50.38666666666667
stackoverflow,0.75,mogb_partition_ours_boundary,51.56718868278516,39.06666666666666
