dataset,kir,n_seeds,oos_f1_mean,f1_all_mean,f1_k_mean,accuracy_mean,known_recall_mean,false_accept_rate_mean,false_reject_rate_mean,auroc_mean,aupr_oos_mean,oos_f1_std,f1_all_std,f1_k_std,accuracy_std,known_recall_std,false_accept_rate_std,false_reject_rate_std,auroc_std,aupr_oos_std,method
banking77,0.25,3,0.921700942110359,0.7926740021734607,0.7858831105978346,0.8824675324675324,0.8192982456140351,0.09454022988505746,0.18070175438596492,0.9286603901996372,0.9696329704233447,0.007829832752875635,0.02292138659983138,0.023739537585618,0.012012987012987038,0.007481895661943867,0.0161412678297034,0.007481895661943855,0.003926906151745821,0.002272056311835581,trainable_k1
banking77,0.5,3,0.8476968183476892,0.8230769867738129,0.8224290964692372,0.8318181818181819,0.8190789473684211,0.1346153846153846,0.18092105263157895,0.9080357343679712,0.8922386315593206,0.007122469721089224,0.008265884758620284,0.008298290363772063,0.007959513423461868,0.0017406258625424784,0.012229989761755716,0.0017406258625424992,0.006431324491320066,0.007273137783153509,trainable_k1
banking77,0.75,3,0.6952825227774913,0.841967233520775,0.8444962802577282,0.8001082251082251,0.8261494252873564,0.18333333333333335,0.17385057471264367,0.8917386947973381,0.7000727830154855,0.03368461985611142,0.010655397311489649,0.010360642400592536,0.015585542888520957,0.004186437438026847,0.058863505508096894,0.004186437438026861,0.022012609664214366,0.04549332011593026,trainable_k1
clinc150,0.25,3,0.949379906352469,0.7901392609290481,0.7859487176284317,0.9173684210526316,0.7333333333333334,0.036111111111111115,0.26666666666666666,0.9531843772442804,0.9855265857089316,0.002986841068013857,0.009483053763080191,0.009655640491534638,0.004890301706935635,0.006077371254627658,0.005359737654919109,0.006077371254627658,0.010292613608091724,0.0044542010928293775,trainable_k1
clinc150,0.5,3,0.9043025833372952,0.8190383882947754,0.8179015323608753,0.8739766081871346,0.7426666666666666,0.036135265700483095,0.25733333333333336,0.9513123778851315,0.9618995379320204,0.006248719696386619,0.010077844399131845,0.010131856497277403,0.008469039687029412,0.0032049344670791553,0.010572097055687176,0.003204934467079111,0.006073446334924924,0.006847737972599093,trainable_k1
clinc150,0.75,3,0.8254718838737372,0.8242638237950222,0.8242530375443193,0.8266666666666667,0.745734126984127,0.0405982905982906,0.25426587301587306,0.9479089930131597,0.9205284963000322,0.004151574719064913,0.0035947969149501824,0.003595076492419623,0.004254159878239411,0.005538700338177702,0.0050383872318596565,0.005538700338177727,0.004061453177043078,0.010602385343150778,trainable_k1
stackoverflow,0.25,3,0.9504615702473552,0.8658501537918392,0.8489278705007358,0.9237222222222222,0.8417777777777777,0.04644444444444445,0.15822222222222224,0.9486251358024692,0.9750730982399648,0.013995273887106202,0.025185847202619398,0.02742425033392003,0.01988392240908141,0.007581654270769746,0.024347281644093045,0.007581654270769763,0.018279468706253417,0.011105774084568906,trainable_k1
stackoverflow,0.5,3,0.8670909818700716,0.856539550407569,0.8554844072613187,0.8582222222222221,0.8392222222222222,0.11144444444444446,0.16077777777777777,0.9175097777777778,0.8877702922396726,0.009628993510880545,0.003713175493914943,0.0033284968616471094,0.007768049471559253,0.0038920621973637963,0.020180665481080138,0.0038920621973637794,0.010667097090274096,0.024782914420508163,trainable_k1
stackoverflow,0.75,3,0.7667789806300779,0.8706715063935598,0.877597674777792,0.8441111111111111,0.8426666666666667,0.08422222222222221,0.15733333333333333,0.9315802469135802,0.7880769689299215,0.015940381169081003,0.002935694558481484,0.0033747246370241187,0.004438885412319571,0.009051294157518359,0.04405215763833358,0.009051294157518366,0.004649128611559639,0.02252423779485001,trainable_k1
