epoch,phase,loss,classification_ce,intra_compactness,inter_margin,selection_score,calibration_f1_k,calibration_known_recall,dataset,kir,seed,test_oos_f1,test_known_recall,best_epoch_manifest
1,warmup,0.1094534205272793,0.0482618489380305,0.6038655151923498,0.0080502012654809,0.8584156278054982,0.8215735225423403,0.736842105263158,clinc150,0.25,13,0.9528118939883645,0.736842105263158,4
2,finetune,0.0822062864899635,0.0302773481079687,0.513841237127781,0.0054481391406928,0.8700734410334657,0.8329023884018868,0.743421052631579,clinc150,0.25,13,0.9528118939883645,0.736842105263158,4
3,finetune,0.0552935962875684,0.0154887111779923,0.3954460347692172,0.0026028026943095,0.8700440532937346,0.833004579609524,0.7407894736842106,clinc150,0.25,13,0.9528118939883645,0.736842105263158,4
4,finetune,0.0414754117839038,0.0111562915922453,0.301734547317028,0.0014566500554792,0.8747135474007648,0.8374109158218174,0.7460526315789473,clinc150,0.25,13,0.9528118939883645,0.736842105263158,4
1,warmup,0.1146771202484766,0.04988562882257,0.6382869154214859,0.0096279829430083,0.874440170447451,0.8368743809737669,0.7513157894736842,clinc150,0.25,42,0.9479594040164111,0.7263157894736842,2
2,finetune,0.0862141064057747,0.0307503785084312,0.5479161486029624,0.0067211170409185,0.8815757583596083,0.8440099688859242,0.7513157894736842,clinc150,0.25,42,0.9479594040164111,0.7263157894736842,2
3,finetune,0.0634884387875596,0.0198235122098897,0.4329115077853203,0.003737744623019,0.8746076085147486,0.8374365558831697,0.743421052631579,clinc150,0.25,42,0.9479594040164111,0.7263157894736842,2
4,finetune,0.0493364932015538,0.0146522278897464,0.3444976061582565,0.0023450403396661,0.8735057506483886,0.8365320664378624,0.7394736842105263,clinc150,0.25,42,0.9479594040164111,0.7263157894736842,2
1,warmup,0.1257385129729906,0.0648707053624093,0.5968855758508046,0.0117924839529829,0.8739224642259257,0.8363566747522415,0.7513157894736842,clinc150,0.25,87,0.9473684210526315,0.736842105263158,2
2,finetune,0.0998358767479658,0.045350087309877,0.5367236902316411,0.0081341932721746,0.8867231705805048,0.8488942232120837,0.756578947368421,clinc150,0.25,87,0.9473684210526315,0.736842105263158,2
3,finetune,0.0699890750149885,0.0253659866051748,0.441598812242349,0.0046320629927019,0.8859506213749514,0.8481874634802146,0.7552631578947369,clinc150,0.25,87,0.9473684210526315,0.736842105263158,2
4,finetune,0.0541726254547635,0.0176144098242123,0.3623929033676783,0.0031892435896831,0.8845177523087054,0.8470177523087055,0.75,clinc150,0.25,87,0.9473684210526315,0.736842105263158,2
1,warmup,0.118897769972682,0.0576935958738128,0.6013712227344513,0.0106705004310545,0.8440809649980845,0.8084230702612424,0.7131578947368421,clinc150,0.25,100,0.9625347891243845,0.7491228070175439,4
2,finetune,0.0994143723199764,0.0448073032932976,0.5380563174684843,0.0080143721386169,0.839346121834444,0.804346121834444,0.7,clinc150,0.25,100,0.9625347891243845,0.7491228070175439,4
3,finetune,0.0694727120300134,0.025300130729253,0.4372640386223793,0.0044617678970098,0.8445615452036886,0.8092983873089518,0.7052631578947368,clinc150,0.25,100,0.9625347891243845,0.7491228070175439,4
4,finetune,0.0522780491039156,0.0168176848751803,0.3519970864057541,0.0026065462385304,0.8494950794850663,0.8140345531692769,0.7092105263157895,clinc150,0.25,100,0.9625347891243845,0.7491228070175439,4
1,warmup,0.1039765825495123,0.0446567771801104,0.5853324075539906,0.0078656367234846,0.8467804721481218,0.8111225774112797,0.7131578947368421,clinc150,0.25,123,0.9475392103839914,0.7324561403508771,3
2,finetune,0.077805782854557,0.0271667147016463,0.5012816374500593,0.0051090306680028,0.8579895420643482,0.8218711210117166,0.7223684210526315,clinc150,0.25,123,0.9475392103839914,0.7324561403508771,3
3,finetune,0.055170366478463,0.0166150756568337,0.3828992784023285,0.002653625079741,0.8624661309607415,0.8259529730660047,0.7302631578947368,clinc150,0.25,123,0.9475392103839914,0.7324561403508771,3
4,finetune,0.0425489167682826,0.0125963452427337,0.2977138042449951,0.0018119064237301,0.8611326430046173,0.8246852745835647,0.7289473684210526,clinc150,0.25,123,0.9475392103839914,0.7324561403508771,3
1,warmup,0.1517024206913123,0.0913715161446292,0.5866325290526374,0.0166765088945532,0.8401477642465578,0.8032144309132244,0.7386666666666667,clinc150,0.5,13,0.9070904645476773,0.7453333333333334,4
2,finetune,0.1140433451066077,0.0618418134291166,0.5098707468832954,0.0121445618806627,0.8628089979502316,0.8255423312835649,0.7453333333333334,clinc150,0.5,13,0.9070904645476773,0.7453333333333334,4
3,finetune,0.0788295874845678,0.0362181222792399,0.4192766403242693,0.0068380071784535,0.8682778647360802,0.8309778647360802,0.746,clinc150,0.5,13,0.9070904645476773,0.7453333333333334,4
4,finetune,0.0611525746220249,0.0253251897392131,0.3535212940078671,0.0047525476833994,0.8683772142714583,0.8312772142714583,0.742,clinc150,0.5,13,0.9070904645476773,0.7453333333333334,4
1,warmup,0.1793244227261866,0.1159526629499712,0.6126710984666469,0.0210464847061025,0.8520509619679953,0.8153509619679954,0.734,clinc150,0.5,42,0.8971451987433411,0.739111111111111,3
2,finetune,0.1353977505685919,0.0795646903689129,0.5432023451489917,0.015128240399694,0.8675692215941582,0.8304025549274915,0.7433333333333334,clinc150,0.5,42,0.8971451987433411,0.739111111111111,3
3,finetune,0.0920909542779801,0.045835150468905,0.4536689327935041,0.0088890967634111,0.8686289575882408,0.8315289575882407,0.742,clinc150,0.5,42,0.8971451987433411,0.739111111111111,3
4,finetune,0.0707278633963758,0.0314594083544561,0.3867291280273663,0.0059554156121182,0.8649569165737692,0.8284569165737692,0.73,clinc150,0.5,42,0.8971451987433411,0.739111111111111,3
1,warmup,0.1795466775232452,0.1166999758047572,0.6074737618535252,0.0209932455327361,0.8802229439132915,0.8415229439132915,0.774,clinc150,0.5,87,0.9086720867208672,0.7435555555555555,4
2,finetune,0.1341291703283786,0.0774953374797004,0.5512767936718665,0.0150615213857174,0.8924299945933035,0.8538299945933036,0.772,clinc150,0.5,87,0.9086720867208672,0.7435555555555555,4
3,finetune,0.0958092609830832,0.0478987462850192,0.4696811275967097,0.0094240128409938,0.8933597481658619,0.8548264148325286,0.7706666666666666,clinc150,0.5,87,0.9086720867208672,0.7435555555555555,4
4,finetune,0.0736638539612798,0.0328237044909116,0.4020590183593459,0.0063424694620199,0.8978959587414496,0.8592959587414496,0.772,clinc150,0.5,87,0.9086720867208672,0.7435555555555555,4
1,warmup,0.1634448718721583,0.1007772687096464,0.6097319787841732,0.0169440390171199,0.8599719725284227,0.8229719725284227,0.74,clinc150,0.5,100,0.9051512673753066,0.748,3
2,finetune,0.1197698805796898,0.0649959886312421,0.5362073996309507,0.011531512722594,0.8689355135468276,0.8317355135468276,0.744,clinc150,0.5,100,0.9051512673753066,0.748,3
3,finetune,0.083629414155069,0.038770438617853,0.4419216061547651,0.0066681464076421,0.8703422094355671,0.8330422094355671,0.746,clinc150,0.5,100,0.9051512673753066,0.748,3
4,finetune,0.0654256396248179,0.0282402844878576,0.3668792752896325,0.0049742691049162,0.8701879236158517,0.833021256949185,0.7433333333333334,clinc150,0.5,100,0.9051512673753066,0.748,3
1,warmup,0.1806949723701355,0.1183195695186318,0.6018528640270233,0.0219011593558746,0.8549107897359195,0.8178441230692528,0.7413333333333334,clinc150,0.5,123,0.9039116805233747,0.7462222222222222,2
2,finetune,0.1284980686791872,0.0740355975862781,0.5293266172126189,0.0152980791033892,0.8732123207290534,0.8356123207290534,0.752,clinc150,0.5,123,0.9039116805233747,0.7462222222222222,2
3,finetune,0.0902354227284253,0.0445442422987672,0.4476648392313618,0.0092469578297114,0.8717793709249627,0.8343793709249627,0.748,clinc150,0.5,123,0.9039116805233747,0.7462222222222222,2
4,finetune,0.071767005974711,0.0328634510613914,0.3825622819742914,0.0064732608902347,0.8689323309398459,0.8319989976065125,0.7386666666666667,clinc150,0.5,123,0.9039116805233747,0.7462222222222222,2
1,warmup,0.1942585315023149,0.1315684563347271,0.6034042286872864,0.0234965185900884,0.852630552016361,0.8153314448735038,0.7459821428571429,clinc150,0.75,13,0.8230088495575221,0.7464285714285714,2
2,finetune,0.1431652516339506,0.0886754700115748,0.5287004162584032,0.0161973951969827,0.8730450908780283,0.835321876592314,0.7544642857142857,clinc150,0.75,13,0.8230088495575221,0.7464285714285714,2
