dataset,kir,configuration,known_f1,legacy_known_subset_f1,oos_f1,accuracy,delta_known_vs_external,delta_oos_vs_external,delta_acc_vs_external
clinc150,0.25,trainable_k1,74.88725144841472,78.99456283160454,95.09719525763333,91.19393939393939,-4.682748551585277,1.5371952576333285,1.3239393939393835
clinc150,0.5,recipe:last2_no_inter;recipe:last2_temp10,82.44684578063396,86.5325376158878,91.93478987737734,88.02424242424243,-3.133154219366034,1.8347898773773466,0.0942424242424238
clinc150,0.75,trainable_k1_direct,78.0305195608381,79.1502979296976,80.79670665609406,79.56363636363636,-10.939480439161898,-5.203293343905941,-7.826363636363638
stackoverflow,0.25,trainable_k1,80.06533076350874,84.63536682236528,95.37650825651619,91.58041179744018,-0.8046692364912644,2.7265082565161833,2.5104117974401845
stackoverflow,0.5,adaptive_centers_overall,83.45142988195961,85.2348894108923,89.95730226173829,86.93934335002783,-3.2585701180403817,1.0973022617382924,-0.8406566499721748
stackoverflow,0.75,trainable_k1_direct,84.84768644764998,86.1732988396816,75.16147502152334,81.91986644407345,-2.8123135523500196,0.6114750215233471,-1.6401335559265533
banking77_oos,0.25,trainable_k1,60.41722713465375,85.29816438862112,92.57821477215701,86.91176470588235,-12.632772865346247,6.008214772157018,5.72176470588235
banking77_oos,0.5,adaptive_centers_overall,65.25644528133539,71.1944528417361,91.88696032622391,85.95588235294117,-17.283554718664618,11.956960326223907,4.445882352941169
banking77_oos,0.75,trainable_k1_direct,69.66846072385796,79.63459500246834,86.60493396225402,79.44444444444444,-16.771539276142036,17.23493396225402,-1.9455555555555577
