dataset,method,method_label,majority_label,observed_cells,mean_ball_count,mean_train_support,mean_radius,mean_oos_assignment_share,mean_false_accept_share,mean_known_false_reject_share,total_oos_false_accepts,total_known_false_rejects
banking77,mogb_minilm,MOGB-Fair,Refund_not_showing_up,11,1.8181818181818181,119.54545454545455,0.5431152510140412,0.02669484175836263,0.12130387728213815,0.02023625042896569,16,234
banking77,mogb_minilm,MOGB-Fair,activate_my_card,7,2.4285714285714284,119.85714285714286,0.4347277777410877,0.01985143561822328,0.0,0.014557404712740103,0,113
banking77,mogb_minilm,MOGB-Fair,age_limit,3,2.3333333333333335,90.0,0.5486239642276467,0.005431848852901484,0.0,0.01558028148716425,0,64
banking77,mogb_minilm,MOGB-Fair,apple_pay_or_google_pay,8,2.25,74.125,0.520906822546193,0.02052154590720834,0.0,0.023131933993398794,0,212
banking77,mogb_minilm,MOGB-Fair,atm_support,12,2.3333333333333335,53.75,0.4523155411900451,0.015618698326275458,0.0,0.02281508134019407,0,261
banking77,mogb_minilm,MOGB-Fair,automatic_top_up,11,2.3636363636363638,84.18181818181819,0.478656879510539,0.044018292657131135,0.0,0.029957920667147173,0,301
banking77,mogb_minilm,MOGB-Fair,balance_not_updated_after_bank_transfer,7,3.142857142857143,46.714285714285715,0.4344736749346784,0.04201900640194651,0.043171114599686033,0.034838126054872146,7,255
banking77,mogb_minilm,MOGB-Fair,balance_not_updated_after_cheque_or_cash_deposit,7,2.7142857142857144,99.85714285714286,0.5042419834805552,0.02807300080439826,0.0,0.03614335129585756,0,280
banking77,mogb_minilm,MOGB-Fair,beneficiary_not_allowed,6,2.5,69.83333333333333,0.4922494714955124,0.026821571501698546,0.020396270396270396,0.018755235644659547,4,117
banking77,mogb_minilm,MOGB-Fair,cancel_transfer,8,3.125,91.125,0.4948054292867629,0.03256418981804644,0.0,0.02787366823922592,0,194
banking77,mogb_minilm,MOGB-Fair,card_about_to_expire,7,2.142857142857143,80.14285714285714,0.4467626449184599,0.013278471377382448,0.0,0.021394605826562663,0,160
banking77,mogb_minilm,MOGB-Fair,card_acceptance,3,1.3333333333333333,19.666666666666668,0.5142683620067147,0.03634979912203143,0.023809523809523808,0.0395797854025331,1,98
banking77,mogb_minilm,MOGB-Fair,card_arrival,11,3.4545454545454546,67.63636363636364,0.46564986967965366,0.08814885205538564,0.04230190099755317,0.04389885094085374,10,477
banking77,mogb_minilm,MOGB-Fair,card_delivery_estimate,9,2.0,39.0,0.4946014907466526,0.010106462738041685,0.03258547008547009,0.016198939887706734,7,186
banking77,mogb_minilm,MOGB-Fair,card_linking,6,3.1666666666666665,80.5,0.43934094195220474,0.05138026044332759,0.0,0.03369200281322989,0,204
banking77,mogb_minilm,MOGB-Fair,card_not_working,4,2.25,39.25,0.4151739243751157,0.018918690958164643,0.041666666666666664,0.023840708783724393,1,136
banking77,mogb_minilm,MOGB-Fair,card_payment_fee_charged,7,1.8571428571428572,87.14285714285714,0.44772106495838876,0.027449841447119126,0.0,0.03178036772497738,0,220
banking77,mogb_minilm,MOGB-Fair,card_payment_not_recognised,7,2.4285714285714284,46.42857142857143,0.41747669794604264,0.055571621361095044,0.0,0.02441414777519601,0,219
banking77,mogb_minilm,MOGB-Fair,card_payment_wrong_exchange_rate,10,3.0,73.4,0.4374335925026176,0.00663083438038066,0.008333333333333333,0.02525693263082987,2,295
banking77,mogb_minilm,MOGB-Fair,card_swallowed,5,1.2,34.6,0.45024293540543825,0.002564102564102564,0.0,0.016631888754814982,0,114
banking77,mogb_minilm,MOGB-Fair,cash_withdrawal_charge,6,3.0,105.83333333333333,0.4607630870789981,0.03727759939193696,0.0,0.02675133451741034,0,171
banking77,mogb_minilm,MOGB-Fair,cash_withdrawal_not_recognised,3,2.3333333333333335,52.333333333333336,0.5074210233756024,0.042926225820962664,0.0,0.025084500421588732,0,101
banking77,mogb_minilm,MOGB-Fair,change_pin,6,1.8333333333333333,89.16666666666667,0.463472688589728,0.018454790823211876,0.0,0.023520417425769147,0,176
banking77,mogb_minilm,MOGB-Fair,compromised_card,9,1.4444444444444444,28.444444444444443,0.48584441164031933,0.02117517489568306,0.004273504273504274,0.03576133809785084,1,261
banking77,mogb_minilm,MOGB-Fair,contactless_not_working,6,1.0,22.166666666666668,0.5803979036990962,0.0012175803124078986,0.0,0.024369369233448377,0,117
banking77,mogb_minilm,MOGB-Fair,country_support,6,3.1666666666666665,83.16666666666667,0.5274280048613773,0.02703737958955745,0.0,0.027660025385133985,0,190
banking77,mogb_minilm,MOGB-Fair,declined_card_payment,6,3.0,46.5,0.3764457018471372,0.03302968960863698,0.007246376811594203,0.02993653126264915,1,252
