dataset,kir,seed,method,selected_balls,predictor,outcome,spearman_rho
clinc150,0.25,42,mogb_partition_ours_boundary,77,structural_radius,oos_false_accept,0.3954377756479277
clinc150,0.25,42,mogb_partition_ours_boundary,77,structural_radius,known_false_reject,0.6362683523292096
clinc150,0.25,42,mogb_partition_ours_boundary,77,tree_depth,oos_assignment,-0.3294150552893977
clinc150,0.25,42,mogb_partition_ours_boundary,77,tree_depth,oos_false_accept,-0.16926991084029602
clinc150,0.25,42,mogb_partition_ours_boundary,77,tree_depth,known_false_reject,-0.3036095525275429
clinc150,0.25,87,mogb_minilm,63,train_support,oos_assignment,0.44176550295673334
clinc150,0.25,87,mogb_minilm,63,train_support,oos_false_accept,0.14555788053248342
clinc150,0.25,87,mogb_minilm,63,train_support,known_false_reject,0.5712225501688966
clinc150,0.25,87,mogb_minilm,63,structural_radius,oos_assignment,0.7555193197267908
clinc150,0.25,87,mogb_minilm,63,structural_radius,oos_false_accept,0.3668341594847009
clinc150,0.25,87,mogb_minilm,63,structural_radius,known_false_reject,0.48612643012428675
clinc150,0.25,87,mogb_minilm,63,tree_depth,oos_assignment,-0.4415081327856637
clinc150,0.25,87,mogb_minilm,63,tree_depth,oos_false_accept,-0.20870630613507754
clinc150,0.25,87,mogb_minilm,63,tree_depth,known_false_reject,-0.3230795262409369
clinc150,0.25,87,mogb_partition_ours_boundary,63,train_support,oos_assignment,0.4007576712836468
clinc150,0.25,87,mogb_partition_ours_boundary,63,train_support,oos_false_accept,0.205780870425287
clinc150,0.25,87,mogb_partition_ours_boundary,63,train_support,known_false_reject,0.4435680344052071
clinc150,0.25,87,mogb_partition_ours_boundary,63,structural_radius,oos_assignment,0.7246992403986299
clinc150,0.25,87,mogb_partition_ours_boundary,63,structural_radius,oos_false_accept,0.33130316983609465
clinc150,0.25,87,mogb_partition_ours_boundary,63,structural_radius,known_false_reject,0.6484450748925145
clinc150,0.25,87,mogb_partition_ours_boundary,63,tree_depth,oos_assignment,-0.37550087701909135
clinc150,0.25,87,mogb_partition_ours_boundary,63,tree_depth,oos_false_accept,-0.14714643868679123
clinc150,0.25,87,mogb_partition_ours_boundary,63,tree_depth,known_false_reject,-0.34526669370262597
clinc150,0.25,100,mogb_minilm,67,train_support,oos_assignment,0.5530759191171405
clinc150,0.25,100,mogb_minilm,67,train_support,oos_false_accept,0.19609936584353352
clinc150,0.25,100,mogb_minilm,67,train_support,known_false_reject,0.7102346227390433
clinc150,0.25,100,mogb_minilm,67,structural_radius,oos_assignment,0.7472701564234584
clinc150,0.25,100,mogb_minilm,67,structural_radius,oos_false_accept,0.18365345963641655
clinc150,0.25,100,mogb_minilm,67,structural_radius,known_false_reject,0.5287917255503387
clinc150,0.25,100,mogb_minilm,67,tree_depth,oos_assignment,-0.5788086469343601
clinc150,0.25,100,mogb_minilm,67,tree_depth,oos_false_accept,-0.003222694825403007
clinc150,0.25,100,mogb_minilm,67,tree_depth,known_false_reject,-0.4602288631631153
clinc150,0.25,100,mogb_partition_ours_boundary,67,train_support,oos_assignment,0.5289561920854097
clinc150,0.25,100,mogb_partition_ours_boundary,67,train_support,oos_false_accept,0.28730098179562136
clinc150,0.25,100,mogb_partition_ours_boundary,67,train_support,known_false_reject,0.5785713796547063
clinc150,0.25,100,mogb_partition_ours_boundary,67,structural_radius,oos_assignment,0.7044897832262632
clinc150,0.25,100,mogb_partition_ours_boundary,67,structural_radius,oos_false_accept,0.2985307004878202
clinc150,0.25,100,mogb_partition_ours_boundary,67,structural_radius,known_false_reject,0.6464640493609256
clinc150,0.25,100,mogb_partition_ours_boundary,67,tree_depth,oos_assignment,-0.5570923253914557
clinc150,0.25,100,mogb_partition_ours_boundary,67,tree_depth,oos_false_accept,-0.17534198380068367
clinc150,0.25,100,mogb_partition_ours_boundary,67,tree_depth,known_false_reject,-0.5608107542363823
clinc150,0.25,123,mogb_minilm,66,train_support,oos_assignment,0.48011738731766695
clinc150,0.25,123,mogb_minilm,66,train_support,oos_false_accept,0.14732800514681127
clinc150,0.25,123,mogb_minilm,66,train_support,known_false_reject,0.7264772188079971
clinc150,0.25,123,mogb_minilm,66,structural_radius,oos_assignment,0.6860495628855209
clinc150,0.25,123,mogb_minilm,66,structural_radius,oos_false_accept,0.23919632709697425
clinc150,0.25,123,mogb_minilm,66,structural_radius,known_false_reject,0.4661320029703556
clinc150,0.25,123,mogb_minilm,66,tree_depth,oos_assignment,-0.4299714746666636
clinc150,0.25,123,mogb_minilm,66,tree_depth,oos_false_accept,-0.13764354123270817
clinc150,0.25,123,mogb_minilm,66,tree_depth,known_false_reject,-0.4670610538585362
clinc150,0.25,123,mogb_partition_ours_boundary,66,train_support,oos_assignment,0.47857573903297695
clinc150,0.25,123,mogb_partition_ours_boundary,66,train_support,oos_false_accept,0.25034730526574434
clinc150,0.25,123,mogb_partition_ours_boundary,66,train_support,known_false_reject,0.5594867353053771
clinc150,0.25,123,mogb_partition_ours_boundary,66,structural_radius,oos_assignment,0.6097437494687168
clinc150,0.25,123,mogb_partition_ours_boundary,66,structural_radius,oos_false_accept,0.4093067996046902
clinc150,0.25,123,mogb_partition_ours_boundary,66,structural_radius,known_false_reject,0.6108415741125169
clinc150,0.25,123,mogb_partition_ours_boundary,66,tree_depth,oos_assignment,-0.5098769324104253
clinc150,0.25,123,mogb_partition_ours_boundary,66,tree_depth,oos_false_accept,-0.33624516158761497
clinc150,0.25,123,mogb_partition_ours_boundary,66,tree_depth,known_false_reject,-0.48223392557452227
clinc150,0.5,13,mogb_minilm,126,train_support,oos_assignment,0.4078076234122288
clinc150,0.5,13,mogb_minilm,126,train_support,oos_false_accept,0.05707894401688467
clinc150,0.5,13,mogb_minilm,126,train_support,known_false_reject,0.5766901445674717
clinc150,0.5,13,mogb_minilm,126,structural_radius,oos_assignment,0.6117066906412587
clinc150,0.5,13,mogb_minilm,126,structural_radius,oos_false_accept,0.1669197109734888
clinc150,0.5,13,mogb_minilm,126,structural_radius,known_false_reject,0.4246780822578887
clinc150,0.5,13,mogb_minilm,126,tree_depth,oos_assignment,-0.31047781952346576
clinc150,0.5,13,mogb_minilm,126,tree_depth,oos_false_accept,0.14642272352470556
clinc150,0.5,13,mogb_minilm,126,tree_depth,known_false_reject,-0.3323622377787844
clinc150,0.5,13,mogb_partition_ours_boundary,126,train_support,oos_assignment,0.4163961133020257
clinc150,0.5,13,mogb_partition_ours_boundary,126,train_support,oos_false_accept,0.15518908503086554
clinc150,0.5,13,mogb_partition_ours_boundary,126,train_support,known_false_reject,0.544837810588139
clinc150,0.5,13,mogb_partition_ours_boundary,126,structural_radius,oos_assignment,0.5830333275027006
clinc150,0.5,13,mogb_partition_ours_boundary,126,structural_radius,oos_false_accept,0.1641650438693554
clinc150,0.5,13,mogb_partition_ours_boundary,126,structural_radius,known_false_reject,0.565045556251211
clinc150,0.5,13,mogb_partition_ours_boundary,126,tree_depth,oos_assignment,-0.33319778931288196
clinc150,0.5,13,mogb_partition_ours_boundary,126,tree_depth,oos_false_accept,0.09735150511512863
clinc150,0.5,13,mogb_partition_ours_boundary,126,tree_depth,known_false_reject,-0.3342171649405064
clinc150,0.5,42,mogb_minilm,129,train_support,oos_assignment,0.31392228437917985
clinc150,0.5,42,mogb_minilm,129,train_support,oos_false_accept,0.14876143607396283
