dataset,kir,method,method_label,selected_balls_mean,selected_balls_std,selected_intents_mean,selected_intents_std,median_ball_size_mean,median_ball_size_std,tiny_support_lt20_ratio_mean,tiny_support_lt20_ratio_std,zero_test_assignment_ratio_mean,zero_test_assignment_ratio_std,oos_assignment_gini_mean,oos_assignment_gini_std,false_accept_gini_mean,false_accept_gini_std,known_false_reject_gini_mean,known_false_reject_gini_std,top1_false_accept_share_mean,top1_false_accept_share_std,top10pct_false_accept_share_mean,top10pct_false_accept_share_std,top10pct_known_false_reject_share_mean,top10pct_known_false_reject_share_std,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std,trainable_minus_mogb_oos_f1_mean,trainable_minus_mogb_oos_f1_std,trainable_minus_mogb_f1_all_mean,trainable_minus_mogb_f1_all_std
banking77,0.25,mogb_minilm,MOGB-Fair,43.4,5.683308895353129,19.0,0.0,24.5,5.634713834792322,0.40059523809523806,0.11020710266981353,0.0,0.0,0.5189655478112009,0.05288849348068224,0.9236180925149473,0.01955382222032923,0.31874069123061444,0.010947120974664503,0.5736918878223226,0.09449065312592113,0.9045219273480143,0.07496073107990033,0.2197087750763714,0.018814773682726875,0.9029919725157672,0.004345545482740991,0.5587572321670984,0.029774536226248104,0.39973684210526317,0.022626223356528172,0.015000000000000003,0.0064106870491648996,0.6002631578947368,0.022626223356528186,0.013546323975643194,0.0171499012520774,0.22634433973076148,0.03133658633913606
banking77,0.25,mogb_partition_ours_boundary,MOGB partition + S2C boundary,43.4,5.683308895353129,19.0,0.0,24.5,5.634713834792322,0.40059523809523806,0.11020710266981353,0.026187943262411344,0.034903733109520454,0.777400866436083,0.04099784529869392,0.8780046159189616,0.04529667803230873,0.5488171851039565,0.05760900649291613,0.43535226553964695,0.05945035571994559,0.8011854393427494,0.10242693843985241,0.37271469833916826,0.052384409694054494,0.9205598966754222,0.004509605546132444,0.7114966831111289,0.03032860301737084,0.616842105263158,0.03248961052773283,0.04017241379310345,0.0047354979196456105,0.3831578947368421,0.03248961052773283,-0.004021600184011742,0.014905978627360737,0.07360488878673092,0.024655724368983153
banking77,0.5,mogb_minilm,MOGB-Fair,95.0,8.336666000266533,38.0,0.0,18.4,0.8944271909999162,0.5438673136165691,0.027158146414574175,0.0,0.0,0.6011998194239789,0.01966129920328034,0.9495567484484525,0.019296651016009383,0.3459442087705209,0.014028588101774842,0.34618967988533206,0.16723843234090857,1.0,0.0,0.24871576973284273,0.015396947570637524,0.7499368546965275,0.006406834213942418,0.48600815327809965,0.025079511841738556,0.3340789473684211,0.021391192170916416,0.010897435897435897,0.004902903378454601,0.6659210526315789,0.021391192170916395,0.08570376379212186,0.017664379841200162,0.33072742649414905,0.023472396101378867
banking77,0.5,mogb_partition_ours_boundary,MOGB partition + S2C boundary,95.0,8.336666000266533,38.0,0.0,18.4,0.8944271909999162,0.5438673136165691,0.027158146414574175,0.03350748369780781,0.02192467291820935,0.8487704021842385,0.004136663677388262,0.9398188240535792,0.021675079324102644,0.6307438169696156,0.027789157721915862,0.328980072961205,0.17150243663907755,0.9723899632578877,0.020351104043269206,0.4554378817196857,0.022430303697261077,0.7939747596576892,0.007797331809627128,0.6480972658162543,0.019765373642870485,0.5218421052631579,0.020199618424305323,0.034999999999999996,0.008702380518741133,0.47815789473684217,0.020199618424305302,0.04166585883096015,0.01580660197293649,0.16863831395599443,0.018577622316829284
banking77,0.75,mogb_minilm,MOGB-Fair,141.4,11.545561917897283,57.0,1.2247448713915896,17.3,1.2041594578792296,0.5767753670732194,0.03384043780125109,0.0,0.0,0.6976164943346566,0.027996359187516775,0.9764908802558564,0.011627306409626918,0.35473670657989226,0.030725854855563842,0.44666666666666666,0.18348478592697176,1.0,0.0,0.2453125257198646,0.022275721271299533,0.4763444315858617,0.004103773735430719,0.42392825044969384,0.016952957950860655,0.2876724137931035,0.012201397797159093,0.0076315789473684215,0.003767847648230619,0.7123275862068965,0.012201397797159093,0.21018989377259484,0.027763709488211098,0.41738292213519407,0.01838614477874543
banking77,0.75,mogb_partition_ours_boundary,MOGB partition + S2C boundary,141.4,11.545561917897283,57.0,1.2247448713915896,17.3,1.2041594578792296,0.5767753670732194,0.03384043780125109,0.039584162686037185,0.022571221805732716,0.8742000167871721,0.021035374348773207,0.9741941403967607,0.005935773000029589,0.6546854895783383,0.023841945119584734,0.4623316042043092,0.14787812589136673,1.0,0.0,0.4769401783073846,0.055045472877564235,0.5313316683894659,0.005918725520325323,0.5860713489392462,0.023848313965377746,0.45862068965517244,0.024356308956183893,0.04052631578947368,0.019302232443044468,0.5413793103448276,0.024356308956183896,0.15520265696899074,0.027705375581473995,0.25523982364564174,0.02340309025324332
clinc150,0.25,mogb_minilm,MOGB-Fair,66.8,6.180614856144977,38.0,0.0,39.9,13.566502865514016,0.32406560625302977,0.03972343394525413,0.0030303030303030303,0.00677596356818118,0.577936805878933,0.03590563699024716,0.9341863543849336,0.026683723969393367,0.3689743368366297,0.02656417900130901,0.40838833094213295,0.11634576379998633,0.9520803443328552,0.05486609147589429,0.23224254480197493,0.013938476926414256,0.9238361040438378,0.002953427786593953,0.5224035964713533,0.03276123090490434,0.37105263157894736,0.02669320009597006,0.006578947368421052,0.00217647294312272,0.6289473684210527,0.02669320009597005,0.027806639669318955,0.005124942391131931,0.2744957991824698,0.026948088532755623
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + S2C boundary,66.8,6.180614856144977,38.0,0.0,39.9,13.566502865514016,0.32406560625302977,0.03972343394525413,0.10602967703530464,0.044994284213146586,0.920985450378101,0.013237268143857936,0.8952041928912864,0.039007360873624414,0.6350199682788376,0.018587381865881304,0.31646136868985775,0.15703852297767673,0.8618598526916278,0.07589519108113954,0.4548208541964064,0.03516957552325434,0.9413139384002536,0.004982739043636001,0.7016229766010627,0.03478368488471803,0.6017543859649124,0.04404784186583784,0.02236842105263158,0.006138392544858949,0.39824561403508774,0.04404784186583786,0.010328805312903033,0.004360051195755388,0.09527641905276044,0.030111278140090705
clinc150,0.5,mogb_minilm,MOGB-Fair,135.2,9.418067742376882,74.4,0.5477225575051684,29.4,4.774934554525329,0.3512791719778043,0.028030927558695476,0.0043874803287287985,0.004025524096287085,0.6036329802696784,0.011579186361750366,0.9604262321287962,0.018463782720401136,0.36955449248911315,0.01173908584878293,0.38264182296440363,0.12793219300427933,1.0,0.0,0.22928485417098124,0.003807396413381296,0.8131951016346013,0.0029937394053626406,0.44953800389890197,0.017795263450771044,0.3157333333333333,0.013693649965685407,0.009043478260869566,0.0015255301295003794,0.6842666666666666,0.013693649965685424,0.09119903794751208,0.0026488079063496568,0.36862816558049366,0.011409693469170153
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + S2C boundary,135.2,9.418067742376882,74.4,0.5477225575051684,29.4,4.774934554525329,0.3512791719778043,0.028030927558695476,0.12228846805250404,0.016129445752482503,0.9374694946282144,0.01615894184647357,0.9403618957733579,0.014657035072244936,0.7067287141902525,0.024224475080690023,0.299670951021162,0.11482160115196945,0.947779175036559,0.029802089743954187,0.535933860314848,0.03849060251872145,0.8555543863002324,0.004191319483426528,0.645981713026754,0.02172674348257144,0.5334222222222222,0.018977309387922688,0.024985507246376812,0.003249739459286717,0.46657777777777776,0.01897730938792268,0.04883975328188104,0.0015476565346521256,0.1721844564526416,0.012995454461734451
